#
 0,              RRP_0.2,  0.36,  0.43, --------------------|*---               ,  0.00,  0.67
 0, intelligent_pruning0.7_0.4,  0.29,  0.18,          --------*--|                   ,  0.00,  0.67
 0, random_oversampling_0.4,  0.29,  0.14,          --------*  |                   ,  0.00,  0.67
 0, intelligent_pruning0.7_0.6,  0.27,  0.15,             ---*----|                   ,  0.00,  0.67
 0, intelligent_pruning0.9_0.6,  0.27,  0.15,        --------*-   |                   ,  0.00,  0.67
 0, random_oversampling_0.6,  0.27,  0.11,             ---*--  |                   ,  0.00,  0.67
 0, intelligent_pruning0.5_0.6,  0.25,  0.07,             ---*    |                   ,  0.00,  0.67
 0, intelligent_pruning1.0_0.4,  0.25,  0.15,        --------*-   |                   ,  0.00,  0.67
 0, intelligent_pruning1.0_0.6,  0.25,  0.14,          ------*--  |                   ,  0.00,  0.67
 0,   random_pruning_0.6,  0.25,  0.20,             ---*----|---                ,  0.00,  0.67
 0, random_oversampling_0.2,  0.24,  0.18,          -----*-----|                   ,  0.00,  0.67
 0, random_oversampling_0.8,  0.24,  0.24,           ----*-----|----               ,  0.00,  0.67
 0, random_oversampling_1.0,  0.24,  0.22,        -------*-----|                   ,  0.00,  0.67
 0,   random_pruning_0.4,  0.24,  0.33, --------------*-----|                   ,  0.00,  0.67
 0, intelligent_pruning0.5_0.4,  0.22,  0.15,        ------*-     |                   ,  0.00,  0.67
 0,        svm_smote_0.2,  0.22,  0.07,           ---*-     |                   ,  0.00,  0.67
 0, intelligent_pruning0.9_0.8,  0.22,  0.06,           ---*      |                   ,  0.00,  0.67
 0, intelligent_pruning1.0_0.8,  0.22,  0.06,           ---*      |                   ,  0.00,  0.67
 0,              RRP_0.4,  0.20,  0.20,        -----*------ |                   ,  0.00,  0.67
 0,              RRP_1.0,  0.20,  0.13,        -----*--     |                   ,  0.00,  0.67
#
 1, intelligent_pruning0.7_0.8,  0.19,  0.08,         ---*-       |                   ,  0.00,  0.67
 1,        svm_smote_0.6,  0.19,  0.13,        ----*---     |                   ,  0.00,  0.67
 1,      No_Sampling_0.0,  0.18,  0.20, ----------*-        |                   ,  0.00,  0.67
 1,  gaussian_copula_0.4,  0.18,  0.33, ----------*---------|                   ,  0.00,  0.67
 1, intelligent_pruning0.5_1.0,  0.18,  0.08,        ---*-        |                   ,  0.00,  0.67
 1, intelligent_pruning0.7_1.0,  0.18,  0.08,        ---*-        |                   ,  0.00,  0.67
 1, intelligent_pruning0.9_0.4,  0.18,  0.13,        ---*----     |                   ,  0.00,  0.67
 1, intelligent_pruning0.9_1.0,  0.18,  0.08,        ---*-        |                   ,  0.00,  0.67
 1, intelligent_pruning1.0_1.0,  0.18,  0.08,        ---*-        |                   ,  0.00,  0.67
 1,   random_pruning_0.8,  0.18,  0.15,          -*-------  |                   ,  0.00,  0.67
 1,        svm_smote_0.8,  0.18,  0.32, ----------*-------  |                   ,  0.00,  0.67
 1,              RRP_0.6,  0.17,  0.13,        --*-----     |                   ,  0.00,  0.67
 1,              RRP_0.8,  0.17,  0.20,        --*----------|                   ,  0.00,  0.67
 1, intelligent_pruning0.5_0.2,  0.17,  0.29, ---------*-------   |                   ,  0.00,  0.67
 1, intelligent_pruning0.7_0.2,  0.17,  0.20, ---------*--        |                   ,  0.00,  0.67
 1,   random_pruning_0.2,  0.17,  0.31, ---------*--------  |                   ,  0.00,  0.67
 1,        svm_smote_1.0,  0.17,  0.21,       ---*--------  |                   ,  0.00,  0.67
 1,            smote_0.6,  0.16,  0.11,     -----*-         |                   ,  0.00,  0.67
 1,  gaussian_copula_0.6,  0.15,  0.33, ---------*----------|                   ,  0.00,  0.67
 1,  gaussian_copula_0.8,  0.15,  0.18, ---------*          |                   ,  0.00,  0.67
 1,  gaussian_copula_1.0,  0.15,  0.18, ---------*          |                   ,  0.00,  0.67
 1, intelligent_pruning0.9_0.2,  0.15,  0.33, ---------*----------|                   ,  0.00,  0.67
 1, intelligent_pruning1.0_0.2,  0.15,  0.18, ---------*          |                   ,  0.00,  0.67
 1,            smote_0.4,  0.15,  0.07,       ---*          |                   ,  0.00,  0.67
 1,        svm_smote_0.4,  0.15,  0.28,        --*----------|---                ,  0.00,  0.67
#
 2, intelligent_pruning0.5_0.8,  0.15,  0.10,     ----*           |                   ,  0.00,  0.67
 2,  gaussian_copula_0.2,  0.14,  0.18, --------*-          |                   ,  0.00,  0.67
 2,            smote_0.2,  0.14,  0.08,      ---*-          |                   ,  0.00,  0.67
 2,   random_pruning_1.0,  0.12,  0.09,    ----*-           |                   ,  0.00,  0.67
 2,            smote_1.0,  0.11,  0.12,    ---*----         |                   ,  0.00,  0.67
 2,            smote_0.8,  0.10,  0.15,    ---*-----        |                   ,  0.00,  0.67
