#
 0,        svm_smote_0.6,  0.05,  0.00,                     |                   *,  0.02,  0.05
#
 1,        svm_smote_0.4,  0.04,  0.00,                     |                *   ,  0.02,  0.05
#
 2,        svm_smote_1.0,  0.04,  0.00,                     |              *     ,  0.02,  0.05
#
 3,        svm_smote_0.8,  0.04,  0.00,                     |             *      ,  0.02,  0.05
#
 4,            smote_1.0,  0.04,  0.00,                     |             *      ,  0.02,  0.05
#
 5,      No_Sampling_0.0,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
 6,              RRP_0.2,  0.02,  0.00,     -*              |                    ,  0.02,  0.05
#
 7,              RRP_0.4,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
 8,              RRP_0.6,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
 9,              RRP_0.8,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
10,              RRP_1.0,  0.02,  0.00,     -*              |                    ,  0.02,  0.05
10,  gaussian_copula_0.4,  0.02,  0.00,     -*              |                    ,  0.02,  0.05
10,  gaussian_copula_0.6,  0.02,  0.00,     -*              |                    ,  0.02,  0.05
10,  gaussian_copula_0.8,  0.02,  0.00,      *              |                    ,  0.02,  0.05
10, intelligent_pruning0.5_0.2,  0.02,  0.00,      *              |                    ,  0.02,  0.05
10, intelligent_pruning0.7_0.4,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
11, intelligent_pruning0.9_0.6,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
12, intelligent_pruning1.0_0.4,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
13, random_oversampling_0.2,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
14, random_oversampling_0.6,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
15, random_oversampling_0.8,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
16, random_oversampling_1.0,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
17,            smote_0.2,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
18,            smote_0.6,  0.02,  0.00,      *              |                    ,  0.02,  0.05
#
19,        svm_smote_0.2,  0.02,  0.00,      *              |                    ,  0.02,  0.05
19,  gaussian_copula_0.2,  0.02,  0.00,     *               |                    ,  0.02,  0.05
19,  gaussian_copula_1.0,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
20, intelligent_pruning0.5_0.6,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
21, intelligent_pruning0.7_0.2,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
22, intelligent_pruning0.7_0.6,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
23, intelligent_pruning0.9_0.2,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
24, intelligent_pruning0.9_0.4,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
25, intelligent_pruning1.0_0.2,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
26, intelligent_pruning1.0_0.6,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
27, random_oversampling_0.4,  0.02,  0.00,     *               |                    ,  0.02,  0.05
#
28,   random_pruning_0.2,  0.02,  0.00,     *               |                    ,  0.02,  0.05
28,   random_pruning_0.4,  0.02,  0.00,     *               |                    ,  0.02,  0.05
28,   random_pruning_0.6,  0.02,  0.00,     *               |                    ,  0.02,  0.05
28,            smote_0.4,  0.02,  0.00,     *               |                    ,  0.02,  0.05
28, intelligent_pruning0.5_0.4,  0.02,  0.00,     *               |                    ,  0.02,  0.05
28,   random_pruning_0.8,  0.02,  0.00,    -*               |                    ,  0.02,  0.05
#
29, intelligent_pruning0.5_0.8,  0.02,  0.00,    *                |                    ,  0.02,  0.05
#
30, intelligent_pruning0.7_0.8,  0.02,  0.00,    *                |                    ,  0.02,  0.05
#
31, intelligent_pruning0.9_0.8,  0.02,  0.00,    *                |                    ,  0.02,  0.05
#
32, intelligent_pruning1.0_0.8,  0.02,  0.00,    *                |                    ,  0.02,  0.05
#
33,   random_pruning_1.0,  0.02,  0.00,    *                |                    ,  0.02,  0.05
33,            smote_0.8,  0.02,  0.00,    *                |                    ,  0.02,  0.05
33, intelligent_pruning0.7_1.0,  0.02,  0.00,    *                |                    ,  0.02,  0.05
#
34, intelligent_pruning0.5_1.0,  0.02,  0.00,   *                 |                    ,  0.02,  0.05
#
35, intelligent_pruning0.9_1.0,  0.02,  0.00, *                   |                    ,  0.02,  0.05
#
36, intelligent_pruning1.0_1.0,  0.02,  0.00, *                   |                    ,  0.02,  0.05
