algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.625,0.05128205128205128,0.8,0.09638554216867469,0.8738461538461539
smote,0.2,82,SVM,0.625,0.05128205128205128,0.8,0.09638554216867469,0.761025641025641
smote,0.2,82,DT,0.61,0.0379746835443038,0.6,0.07142857142857144,0.6051282051282052
smote,0.4,82,LR,0.625,0.05128205128205128,0.8,0.09638554216867469,0.8615384615384616
smote,0.4,82,SVM,0.625,0.05128205128205128,0.8,0.09638554216867469,0.7548717948717949
smote,0.4,82,DT,0.6,0.04819277108433735,0.8,0.09090909090909091,0.6974358974358974
smote,0.6,82,LR,0.62,0.05063291139240506,0.8,0.09523809523809523,0.8605128205128205
smote,0.6,82,SVM,0.63,0.05194805194805195,0.8,0.0975609756097561,0.7384615384615384
smote,0.6,82,DT,0.61,0.0379746835443038,0.6,0.07142857142857144,0.6051282051282052
smote,0.8,82,LR,0.63,0.05194805194805195,0.8,0.0975609756097561,0.8605128205128205
smote,0.8,82,SVM,0.615,0.05,0.8,0.09411764705882354,0.7374358974358974
smote,0.8,82,DT,0.605,0.0375,0.6,0.07058823529411765,0.6025641025641026
smote,1.0,82,LR,0.625,0.05128205128205128,0.8,0.09638554216867469,0.8461538461538461
smote,1.0,82,SVM,0.615,0.05,0.8,0.09411764705882354,0.7446153846153847
smote,1.0,82,DT,0.605,0.0375,0.6,0.07058823529411765,0.6025641025641026
smote,0.2,15,LR,0.435,0.034482758620689655,0.8,0.06611570247933884,0.7615384615384616
smote,0.2,15,SVM,0.495,0.04716981132075472,1.0,0.09009009009009009,0.7794871794871795
smote,0.2,15,DT,0.445,0.04310344827586207,1.0,0.08264462809917356,0.7153846153846154
smote,0.4,15,LR,0.44,0.034782608695652174,0.8,0.06666666666666667,0.7615384615384615
smote,0.4,15,SVM,0.49,0.04672897196261682,1.0,0.08928571428571429,0.7692307692307693
smote,0.4,15,DT,0.455,0.043859649122807015,1.0,0.08403361344537816,0.7205128205128205
smote,0.6,15,LR,0.44,0.034782608695652174,0.8,0.06666666666666667,0.7620512820512821
smote,0.6,15,SVM,0.49,0.04672897196261682,1.0,0.08928571428571429,0.7651282051282051
smote,0.6,15,DT,0.45,0.043478260869565216,1.0,0.08333333333333333,0.717948717948718
smote,0.8,15,LR,0.44,0.034782608695652174,0.8,0.06666666666666667,0.7610256410256411
smote,0.8,15,SVM,0.5,0.047619047619047616,1.0,0.0909090909090909,0.7569230769230769
smote,0.8,15,DT,0.445,0.04310344827586207,1.0,0.08264462809917356,0.7153846153846154
smote,1.0,15,LR,0.445,0.03508771929824561,0.8,0.06722689075630252,0.7605128205128205
smote,1.0,15,SVM,0.49,0.04672897196261682,1.0,0.08928571428571429,0.7651282051282051
smote,1.0,15,DT,0.45,0.043478260869565216,1.0,0.08333333333333333,0.717948717948718
smote,0.2,4,LR,0.69,0.07462686567164178,1.0,0.13888888888888887,0.9569230769230769
smote,0.2,4,SVM,0.705,0.078125,1.0,0.14492753623188406,0.8482051282051282
smote,0.2,4,DT,0.665,0.05714285714285714,0.8,0.10666666666666666,0.7307692307692308
smote,0.4,4,LR,0.68,0.07246376811594203,1.0,0.13513513513513511,0.9641025641025641
smote,0.4,4,SVM,0.69,0.07462686567164178,1.0,0.13888888888888887,0.8615384615384615
smote,0.4,4,DT,0.645,0.05405405405405406,0.8,0.10126582278481013,0.7205128205128205
smote,0.6,4,LR,0.67,0.07042253521126761,1.0,0.13157894736842107,0.961025641025641
smote,0.6,4,SVM,0.68,0.07246376811594203,1.0,0.13513513513513511,0.8441025641025641
smote,0.6,4,DT,0.66,0.056338028169014086,0.8,0.10526315789473684,0.7282051282051283
smote,0.8,4,LR,0.67,0.07042253521126761,1.0,0.13157894736842107,0.9651282051282052
smote,0.8,4,SVM,0.67,0.07042253521126761,1.0,0.13157894736842107,0.8
smote,0.8,4,DT,0.645,0.06578947368421052,1.0,0.12345679012345677,0.8179487179487179
smote,1.0,4,LR,0.665,0.06944444444444445,1.0,0.12987012987012989,0.9579487179487179
smote,1.0,4,SVM,0.675,0.07142857142857142,1.0,0.13333333333333333,0.7917948717948718
smote,1.0,4,DT,0.64,0.06493506493506493,1.0,0.12195121951219512,0.8153846153846154
smote,0.2,95,LR,0.52,0.04950495049504951,1.0,0.09433962264150944,0.9061538461538462
smote,0.2,95,SVM,0.54,0.05154639175257732,1.0,0.0980392156862745,0.762051282051282
smote,0.2,95,DT,0.52,0.04950495049504951,1.0,0.09433962264150944,0.7538461538461538
smote,0.4,95,LR,0.52,0.04950495049504951,1.0,0.09433962264150944,0.9056410256410257
smote,0.4,95,SVM,0.54,0.05154639175257732,1.0,0.0980392156862745,0.762051282051282
smote,0.4,95,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
smote,0.6,95,LR,0.52,0.04950495049504951,1.0,0.09433962264150944,0.9056410256410257
smote,0.6,95,SVM,0.54,0.05154639175257732,1.0,0.0980392156862745,0.7405128205128205
smote,0.6,95,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
smote,0.8,95,LR,0.52,0.04950495049504951,1.0,0.09433962264150944,0.9056410256410257
smote,0.8,95,SVM,0.54,0.05154639175257732,1.0,0.0980392156862745,0.7446153846153846
smote,0.8,95,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
smote,1.0,95,LR,0.52,0.04950495049504951,1.0,0.09433962264150944,0.9056410256410257
smote,1.0,95,SVM,0.545,0.052083333333333336,1.0,0.09900990099009901,0.7466666666666667
smote,1.0,95,DT,0.53,0.050505050505050504,1.0,0.09615384615384615,0.7589743589743589
smote,0.2,36,LR,0.685,0.07352941176470588,1.0,0.13698630136986303,0.8902564102564103
smote,0.2,36,SVM,0.69,0.07462686567164178,1.0,0.13888888888888887,0.877948717948718
smote,0.2,36,DT,0.66,0.0684931506849315,1.0,0.1282051282051282,0.8256410256410256
