algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.6,0.058823529411764705,1.0,0.1111111111111111,0.8574358974358973
No_Sampling,0,82,SVM,0.61,0.060240963855421686,1.0,0.11363636363636363,0.762051282051282
No_Sampling,0,82,DT,0.605,0.04878048780487805,0.8,0.09195402298850576,0.7000000000000001
No_Sampling,0,15,LR,0.64,0.05333333333333334,0.8,0.1,0.7733333333333333
No_Sampling,0,15,SVM,0.675,0.07142857142857142,1.0,0.13333333333333333,0.8758974358974358
No_Sampling,0,15,DT,0.64,0.05333333333333334,0.8,0.1,0.717948717948718
No_Sampling,0,4,LR,0.63,0.06329113924050633,1.0,0.11904761904761907,0.9533333333333334
No_Sampling,0,4,SVM,0.63,0.06329113924050633,1.0,0.11904761904761907,0.8492307692307692
No_Sampling,0,4,DT,0.64,0.06493506493506493,1.0,0.12195121951219512,0.8153846153846154
No_Sampling,0,95,LR,0.57,0.054945054945054944,1.0,0.10416666666666666,0.9394871794871795
No_Sampling,0,95,SVM,0.605,0.05952380952380952,1.0,0.11235955056179775,0.8410256410256409
No_Sampling,0,95,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
No_Sampling,0,36,LR,0.525,0.04081632653061224,0.8,0.07766990291262134,0.8317948717948718
No_Sampling,0,36,SVM,0.54,0.05154639175257732,1.0,0.0980392156862745,0.838974358974359
No_Sampling,0,36,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
No_Sampling,0,32,LR,0.6,0.058823529411764705,1.0,0.1111111111111111,0.8984615384615384
No_Sampling,0,32,SVM,0.625,0.0625,1.0,0.11764705882352941,0.8256410256410256
No_Sampling,0,32,DT,0.605,0.05952380952380952,1.0,0.11235955056179775,0.7974358974358975
No_Sampling,0,29,LR,0.575,0.05555555555555555,1.0,0.10526315789473684,0.8994871794871795
No_Sampling,0,29,SVM,0.59,0.05747126436781609,1.0,0.10869565217391304,0.8307692307692308
No_Sampling,0,29,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
No_Sampling,0,18,LR,0.56,0.053763440860215055,1.0,0.10204081632653061,0.9538461538461538
No_Sampling,0,18,SVM,0.55,0.05263157894736842,1.0,0.1,0.8625641025641025
No_Sampling,0,18,DT,0.555,0.05319148936170213,1.0,0.10101010101010102,0.7717948717948718
No_Sampling,0,14,LR,0.625,0.0625,1.0,0.11764705882352941,0.9066666666666666
No_Sampling,0,14,SVM,0.635,0.0641025641025641,1.0,0.12048192771084336,0.8697435897435898
No_Sampling,0,14,DT,0.62,0.06172839506172839,1.0,0.11627906976744184,0.8051282051282052
No_Sampling,0,87,LR,0.695,0.04838709677419355,0.6,0.08955223880597016,0.7297435897435898
No_Sampling,0,87,SVM,0.685,0.06060606060606061,0.8,0.11267605633802819,0.7907692307692308
No_Sampling,0,87,DT,0.695,0.0625,0.8,0.11594202898550725,0.7461538461538462
