algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.62,0.06172839506172839,1.0,0.11627906976744184,0.8461538461538461
RRP,0.2,82,SVM,0.63,0.06329113924050633,1.0,0.11904761904761907,0.8164102564102564
RRP,0.2,82,DT,0.62,0.06172839506172839,1.0,0.11627906976744184,0.8051282051282052
RRP,0.4,82,LR,0.6,0.058823529411764705,1.0,0.1111111111111111,0.8471794871794871
RRP,0.4,82,SVM,0.62,0.06172839506172839,1.0,0.11627906976744184,0.8635897435897436
RRP,0.4,82,DT,0.6,0.058823529411764705,1.0,0.1111111111111111,0.7948717948717949
RRP,0.6,82,LR,0.59,0.05747126436781609,1.0,0.10869565217391304,0.8953846153846153
RRP,0.6,82,SVM,0.625,0.0625,1.0,0.11764705882352941,0.8676923076923078
RRP,0.6,82,DT,0.61,0.060240963855421686,1.0,0.11363636363636363,0.8
RRP,0.8,82,LR,0.55,0.05263157894736842,1.0,0.1,0.8553846153846154
RRP,0.8,82,SVM,0.615,0.06097560975609756,1.0,0.11494252873563218,0.8923076923076924
RRP,0.8,82,DT,0.605,0.05952380952380952,1.0,0.11235955056179775,0.7974358974358975
RRP,1.0,82,LR,0.53,0.050505050505050504,1.0,0.09615384615384615,0.8605128205128205
RRP,1.0,82,SVM,0.605,0.05952380952380952,1.0,0.11235955056179775,0.8861538461538462
RRP,1.0,82,DT,0.6,0.058823529411764705,1.0,0.1111111111111111,0.7948717948717949
RRP,0.2,15,LR,0.675,0.058823529411764705,0.8,0.1095890410958904,0.7528205128205129
RRP,0.2,15,SVM,0.675,0.07142857142857142,1.0,0.13333333333333333,0.8912820512820513
RRP,0.2,15,DT,0.64,0.05333333333333334,0.8,0.1,0.717948717948718
RRP,0.4,15,LR,0.69,0.06153846153846154,0.8,0.1142857142857143,0.7589743589743589
RRP,0.4,15,SVM,0.69,0.07462686567164178,1.0,0.13888888888888887,0.9241025641025641
RRP,0.4,15,DT,0.64,0.05333333333333334,0.8,0.1,0.717948717948718
RRP,0.6,15,LR,0.67,0.057971014492753624,0.8,0.1081081081081081,0.7548717948717949
RRP,0.6,15,SVM,0.695,0.07575757575757576,1.0,0.14084507042253522,0.9415384615384614
RRP,0.6,15,DT,0.64,0.05333333333333334,0.8,0.1,0.717948717948718
RRP,0.8,15,LR,0.67,0.057971014492753624,0.8,0.1081081081081081,0.757948717948718
RRP,0.8,15,SVM,0.705,0.078125,1.0,0.14492753623188406,0.9446153846153846
RRP,0.8,15,DT,0.635,0.05263157894736842,0.8,0.09876543209876543,0.7153846153846154
RRP,1.0,15,LR,0.635,0.05263157894736842,0.8,0.09876543209876543,0.7651282051282052
RRP,1.0,15,SVM,0.705,0.078125,1.0,0.14492753623188406,0.9466666666666667
RRP,1.0,15,DT,0.64,0.05333333333333334,0.8,0.1,0.717948717948718
RRP,0.2,4,LR,0.655,0.06756756756756757,1.0,0.12658227848101267,0.9189743589743591
RRP,0.2,4,SVM,0.645,0.06578947368421052,1.0,0.12345679012345677,0.8697435897435898
RRP,0.2,4,DT,0.64,0.06493506493506493,1.0,0.12195121951219512,0.8153846153846154
RRP,0.4,4,LR,0.65,0.06666666666666667,1.0,0.125,0.9353846153846153
RRP,0.4,4,SVM,0.65,0.06666666666666667,1.0,0.125,0.921025641025641
RRP,0.4,4,DT,0.645,0.06578947368421052,1.0,0.12345679012345677,0.8179487179487179
RRP,0.6,4,LR,0.645,0.06578947368421052,1.0,0.12345679012345677,0.9476923076923076
RRP,0.6,4,SVM,0.635,0.0641025641025641,1.0,0.12048192771084336,0.9220512820512821
RRP,0.6,4,DT,0.64,0.06493506493506493,1.0,0.12195121951219512,0.8153846153846154
RRP,0.8,4,LR,0.62,0.06172839506172839,1.0,0.11627906976744184,0.9435897435897436
RRP,0.8,4,SVM,0.635,0.0641025641025641,1.0,0.12048192771084336,0.916923076923077
RRP,0.8,4,DT,0.645,0.06578947368421052,1.0,0.12345679012345677,0.8179487179487179
RRP,1.0,4,LR,0.61,0.060240963855421686,1.0,0.11363636363636363,0.9333333333333332
RRP,1.0,4,SVM,0.63,0.06329113924050633,1.0,0.11904761904761907,0.9241025641025641
RRP,1.0,4,DT,0.635,0.0641025641025641,1.0,0.12048192771084336,0.8128205128205128
RRP,0.2,95,LR,0.56,0.053763440860215055,1.0,0.10204081632653061,0.921025641025641
RRP,0.2,95,SVM,0.6,0.058823529411764705,1.0,0.1111111111111111,0.9261538461538462
RRP,0.2,95,DT,0.57,0.054945054945054944,1.0,0.10416666666666666,0.7794871794871795
RRP,0.4,95,LR,0.495,0.04716981132075472,1.0,0.09009009009009009,0.9435897435897436
RRP,0.4,95,SVM,0.595,0.05813953488372093,1.0,0.10989010989010987,0.9528205128205127
RRP,0.4,95,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
RRP,0.6,95,LR,0.47,0.04504504504504504,1.0,0.08620689655172413,0.8943589743589743
RRP,0.6,95,SVM,0.585,0.056818181818181816,1.0,0.1075268817204301,0.9630769230769232
RRP,0.6,95,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
RRP,0.8,95,LR,0.415,0.040983606557377046,1.0,0.07874015748031496,0.9435897435897436
RRP,0.8,95,SVM,0.575,0.05555555555555555,1.0,0.10526315789473684,0.9528205128205127
RRP,0.8,95,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
RRP,1.0,95,LR,0.32,0.03546099290780142,1.0,0.06849315068493152,0.9374358974358975
RRP,1.0,95,SVM,0.565,0.05434782608695652,1.0,0.10309278350515463,0.9630769230769229
RRP,1.0,95,DT,0.575,0.05555555555555555,1.0,0.10526315789473684,0.782051282051282
RRP,0.2,36,LR,0.455,0.03571428571428571,0.8,0.06837606837606837,0.6512820512820513
RRP,0.2,36,SVM,0.535,0.05102040816326531,1.0,0.09708737864077671,0.9312820512820513
RRP,0.2,36,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
RRP,0.4,36,LR,0.25,0.026143790849673203,0.8,0.05063291139240506,0.637948717948718
RRP,0.4,36,SVM,0.535,0.05102040816326531,1.0,0.09708737864077671,0.9517948717948718
RRP,0.4,36,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
RRP,0.6,36,LR,0.11,0.022099447513812154,0.8,0.043010752688172046,0.6800000000000002
RRP,0.6,36,SVM,0.525,0.05,1.0,0.09523809523809523,0.9579487179487179
RRP,0.6,36,DT,0.525,0.05,1.0,0.09523809523809523,0.7564102564102564
