algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.94,0.0,0.0,0.0,0.2353951890034364
No_Sampling,0,82,SVM,0.97,0.0,0.0,0.0,0.9432989690721649
No_Sampling,0,82,DT,0.965,0.0,0.0,0.0,0.49742268041237114
No_Sampling,0,15,LR,0.935,0.0,0.0,0.0,0.533678756476684
No_Sampling,0,15,SVM,0.965,0.0,0.0,0.0,0.688378978534419
No_Sampling,0,15,DT,0.945,0.0,0.0,0.0,0.4896373056994819
No_Sampling,0,4,LR,0.93,0.0,0.0,0.0,0.30078125
No_Sampling,0,4,SVM,0.96,0.0,0.0,0.0,0.7311197916666667
No_Sampling,0,4,DT,0.955,0.3333333333333333,0.125,0.18181818181818182,0.5572916666666666
No_Sampling,0,95,LR,0.94,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5854922279792747
No_Sampling,0,95,SVM,0.965,0.0,0.0,0.0,0.7490747594374537
No_Sampling,0,95,DT,0.945,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5584752035529238
No_Sampling,0,36,LR,0.97,0.0,0.0,0.0,0.44005102040816324
No_Sampling,0,36,SVM,0.98,0.0,0.0,0.0,0.8354591836734694
No_Sampling,0,36,DT,0.955,0.14285714285714285,0.25,0.18181818181818182,0.6096938775510204
No_Sampling,0,32,LR,0.95,0.0,0.0,0.0,0.08080808080808077
No_Sampling,0,32,SVM,0.99,0.0,0.0,0.0,0.9545454545454546
No_Sampling,0,32,DT,0.96,0.0,0.0,0.0,0.48484848484848486
No_Sampling,0,29,LR,0.955,0.0,0.0,0.0,0.35586734693877553
No_Sampling,0,29,SVM,0.98,0.0,0.0,0.0,0.7640306122448979
No_Sampling,0,29,DT,0.97,0.0,0.0,0.0,0.49489795918367346
No_Sampling,0,18,LR,0.955,0.0,0.0,0.0,0.38564102564102565
No_Sampling,0,18,SVM,0.975,0.0,0.0,0.0,0.604102564102564
No_Sampling,0,18,DT,0.965,0.3333333333333333,0.4,0.3636363636363636,0.6897435897435897
No_Sampling,0,14,LR,0.955,0.0,0.0,0.0,0.2871794871794872
No_Sampling,0,14,SVM,0.975,0.0,0.0,0.0,0.8810256410256411
No_Sampling,0,14,DT,0.96,0.2,0.2,0.20000000000000004,0.5897435897435896
No_Sampling,0,87,LR,0.92,0.0,0.0,0.0,0.6389743589743591
No_Sampling,0,87,SVM,0.975,0.0,0.0,0.0,0.8964102564102564
No_Sampling,0,87,DT,0.96,0.2857142857142857,0.4,0.3333333333333333,0.6871794871794871
