algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.92,0.0,0.0,0.0,0.1761168384879725
RRP,0.2,82,SVM,0.965,0.0,0.0,0.0,0.8144329896907216
RRP,0.2,82,DT,0.97,0.5,0.3333333333333333,0.4,0.6615120274914089
RRP,0.4,82,LR,0.92,0.0,0.0,0.0,0.3556701030927836
RRP,0.4,82,SVM,0.955,0.0,0.0,0.0,0.770618556701031
RRP,0.4,82,DT,0.95,0.3,0.5,0.37499999999999994,0.7319587628865979
RRP,0.6,82,LR,0.9,0.0,0.0,0.0,0.3084192439862543
RRP,0.6,82,SVM,0.955,0.0,0.0,0.0,0.5721649484536083
RRP,0.6,82,DT,0.945,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.6486254295532645
RRP,0.8,82,LR,0.9,0.0,0.0,0.0,0.31443298969072164
RRP,0.8,82,SVM,0.945,0.0,0.0,0.0,0.4905498281786942
RRP,0.8,82,DT,0.965,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.8204467353951889
RRP,1.0,82,LR,0.885,0.0,0.0,0.0,0.30584192439862545
RRP,1.0,82,SVM,0.94,0.0,0.0,0.0,0.44072164948453607
RRP,1.0,82,DT,0.96,0.4,0.6666666666666666,0.5,0.81786941580756
RRP,0.2,15,LR,0.915,0.0,0.0,0.0,0.5188749074759437
RRP,0.2,15,SVM,0.955,0.0,0.0,0.0,0.7387120651369355
RRP,0.2,15,DT,0.94,0.0,0.0,0.0,0.48704663212435234
RRP,0.4,15,LR,0.915,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.5418208734270911
RRP,0.4,15,SVM,0.955,0.0,0.0,0.0,0.7483345669874167
RRP,0.4,15,DT,0.935,0.125,0.14285714285714285,0.13333333333333333,0.5532938564026647
RRP,0.6,15,LR,0.91,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.5351591413767579
RRP,0.6,15,SVM,0.955,0.0,0.0,0.0,0.7290895632864545
RRP,0.6,15,DT,0.935,0.125,0.14285714285714285,0.13333333333333333,0.5532938564026647
RRP,0.8,15,LR,0.91,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.5351591413767579
