algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.575,0.0,0.0,0.0,0.1466666666666666
gaussian_copula,0.2,82,SVM,0.605,0.0375,0.6,0.07058823529411765,0.6082051282051282
gaussian_copula,0.2,82,DT,0.54,0.011235955056179775,0.2,0.02127659574468085,0.3743589743589744
gaussian_copula,0.2,82,GB,0.585,0.0125,0.2,0.023529411764705882,0.3635897435897435
gaussian_copula,0.2,82,lightGBM,0.56,0.011764705882352941,0.2,0.022222222222222223,0.38666666666666666
gaussian_copula,0.4,82,LR,0.56,0.0,0.0,0.0,0.20307692307692307
gaussian_copula,0.4,82,SVM,0.585,0.03571428571428571,0.6,0.06741573033707865,0.6133333333333333
gaussian_copula,0.4,82,DT,0.545,0.011363636363636364,0.2,0.021505376344086023,0.3769230769230769
gaussian_copula,0.4,82,GB,0.56,0.011764705882352941,0.2,0.022222222222222223,0.3548717948717948
gaussian_copula,0.4,82,lightGBM,0.585,0.0125,0.2,0.023529411764705882,0.35589743589743594
gaussian_copula,0.6,82,LR,0.57,0.0,0.0,0.0,0.2112820512820513
gaussian_copula,0.6,82,SVM,0.57,0.034482758620689655,0.6,0.06521739130434782,0.6123076923076922
gaussian_copula,0.6,82,DT,0.545,0.011363636363636364,0.2,0.021505376344086023,0.3769230769230769
gaussian_copula,0.6,82,GB,0.56,0.011764705882352941,0.2,0.022222222222222223,0.37948717948717947
gaussian_copula,0.6,82,lightGBM,0.575,0.012195121951219513,0.2,0.022988505747126436,0.3384615384615385
gaussian_copula,0.8,82,LR,0.57,0.0,0.0,0.0,0.2071794871794872
gaussian_copula,0.8,82,SVM,0.565,0.03409090909090909,0.6,0.06451612903225806,0.6164102564102565
gaussian_copula,0.8,82,DT,0.545,0.011363636363636364,0.2,0.021505376344086023,0.3769230769230769
gaussian_copula,0.8,82,GB,0.56,0.011764705882352941,0.2,0.022222222222222223,0.36923076923076925
gaussian_copula,0.8,82,lightGBM,0.58,0.012345679012345678,0.2,0.023255813953488372,0.3487179487179487
gaussian_copula,1.0,82,LR,0.575,0.0,0.0,0.0,0.18666666666666665
gaussian_copula,1.0,82,SVM,0.57,0.034482758620689655,0.6,0.06521739130434782,0.6225641025641026
gaussian_copula,1.0,82,DT,0.55,0.011494252873563218,0.2,0.021739130434782608,0.37948717948717947
gaussian_copula,1.0,82,GB,0.575,0.012195121951219513,0.2,0.022988505747126436,0.36769230769230765
gaussian_copula,1.0,82,lightGBM,0.57,0.012048192771084338,0.2,0.022727272727272728,0.34461538461538466
gaussian_copula,0.2,15,LR,0.58,0.012345679012345678,0.2,0.023255813953488372,0.23384615384615384
gaussian_copula,0.2,15,SVM,0.595,0.036585365853658534,0.6,0.06896551724137931,0.6112820512820514
gaussian_copula,0.2,15,DT,0.555,0.011627906976744186,0.2,0.02197802197802198,0.382051282051282
gaussian_copula,0.2,15,GB,0.585,0.0125,0.2,0.023529411764705882,0.3651282051282051
gaussian_copula,0.2,15,lightGBM,0.575,0.012195121951219513,0.2,0.022988505747126436,0.37846153846153846
gaussian_copula,0.4,15,LR,0.58,0.012345679012345678,0.2,0.023255813953488372,0.23589743589743592
gaussian_copula,0.4,15,SVM,0.58,0.03529411764705882,0.6,0.06666666666666667,0.6143589743589744
gaussian_copula,0.4,15,DT,0.54,0.011235955056179775,0.2,0.02127659574468085,0.3743589743589744
gaussian_copula,0.4,15,GB,0.59,0.012658227848101266,0.2,0.023809523809523808,0.3707692307692308
gaussian_copula,0.4,15,lightGBM,0.57,0.012048192771084338,0.2,0.022727272727272728,0.3579487179487179
gaussian_copula,0.6,15,LR,0.58,0.0,0.0,0.0,0.13948717948717948
gaussian_copula,0.6,15,SVM,0.59,0.03614457831325301,0.6,0.06818181818181818,0.6184615384615384
gaussian_copula,0.6,15,DT,0.54,0.011235955056179775,0.2,0.02127659574468085,0.3743589743589744
gaussian_copula,0.6,15,GB,0.6,0.012987012987012988,0.2,0.024390243902439025,0.3712820512820513
gaussian_copula,0.6,15,lightGBM,0.565,0.011904761904761904,0.2,0.02247191011235955,0.3384615384615384
