algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc,per_cluster_pruning_ratio
intelligent_pruning,0.2,82,LR,0.955,0.0,0.0,0.0,0.33161512027491413,0.5
intelligent_pruning,0.2,82,SVM,0.97,0.0,0.0,0.0,0.9329896907216495,0.5
intelligent_pruning,0.2,82,DT,0.975,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.5
intelligent_pruning,0.4,82,LR,0.945,0.0,0.0,0.0,0.3161512027491408,0.5
intelligent_pruning,0.4,82,SVM,0.97,0.0,0.0,0.0,0.9252577319587628,0.5
intelligent_pruning,0.4,82,DT,0.96,0.0,0.0,0.0,0.4948453608247423,0.5
intelligent_pruning,0.6,82,LR,0.925,0.0,0.0,0.0,0.48539518900343637,0.5
intelligent_pruning,0.6,82,SVM,0.97,0.0,0.0,0.0,0.8951890034364262,0.5
intelligent_pruning,0.6,82,DT,0.94,0.2857142857142857,0.6666666666666666,0.4,0.8075601374570446,0.5
intelligent_pruning,0.8,82,LR,0.89,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.4690721649484536,0.5
intelligent_pruning,0.8,82,SVM,0.97,0.0,0.0,0.0,0.8943298969072165,0.5
intelligent_pruning,0.8,82,DT,0.655,0.029850746268656716,0.3333333333333333,0.05479452054794521,0.4991408934707904,0.5
intelligent_pruning,1.0,82,LR,0.81,0.029411764705882353,0.16666666666666666,0.05,0.24140893470790373,0.5
intelligent_pruning,1.0,82,SVM,0.965,0.0,0.0,0.0,0.879725085910653,0.5
intelligent_pruning,1.0,82,DT,0.9,0.15,0.5,0.23076923076923075,0.7061855670103093,0.5
intelligent_pruning,0.2,82,LR,0.94,0.0,0.0,0.0,0.2310996563573883,0.7
intelligent_pruning,0.2,82,SVM,0.97,0.0,0.0,0.0,0.9475945017182131,0.7
intelligent_pruning,0.2,82,DT,0.965,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5781786941580757,0.7
intelligent_pruning,0.4,82,LR,0.955,0.0,0.0,0.0,0.2121993127147766,0.7
intelligent_pruning,0.4,82,SVM,0.97,0.0,0.0,0.0,0.9029209621993127,0.7
intelligent_pruning,0.4,82,DT,0.975,0.6,0.5,0.5454545454545454,0.7448453608247423,0.7
intelligent_pruning,0.6,82,LR,0.925,0.0,0.0,0.0,0.29896907216494845,0.7
intelligent_pruning,0.6,82,SVM,0.97,0.0,0.0,0.0,0.9149484536082475,0.7
intelligent_pruning,0.6,82,DT,0.95,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8127147766323023,0.7
intelligent_pruning,0.8,82,LR,0.925,0.09090909090909091,0.16666666666666666,0.11764705882352942,0.27663230240549824,0.7
intelligent_pruning,0.8,82,SVM,0.97,0.0,0.0,0.0,0.9012027491408935,0.7
intelligent_pruning,0.8,82,DT,0.94,0.2857142857142857,0.6666666666666666,0.4,0.8075601374570446,0.7
intelligent_pruning,1.0,82,LR,0.81,0.029411764705882353,0.16666666666666666,0.05,0.24140893470790373,0.7
intelligent_pruning,1.0,82,SVM,0.965,0.0,0.0,0.0,0.879725085910653,0.7
intelligent_pruning,1.0,82,DT,0.9,0.15,0.5,0.23076923076923075,0.7061855670103093,0.7
intelligent_pruning,0.2,82,LR,0.94,0.0,0.0,0.0,0.20103092783505153,0.9
intelligent_pruning,0.2,82,SVM,0.97,0.0,0.0,0.0,0.9493127147766323,0.9
