algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.54,0.011235955056179775,0.2,0.02127659574468085,0.2328205128205128
smote,0.2,82,SVM,0.58,0.03529411764705882,0.6,0.06666666666666667,0.601025641025641
smote,0.2,82,DT,0.57,0.012048192771084338,0.2,0.022727272727272728,0.3897435897435897
smote,0.2,82,GB,0.585,0.0125,0.2,0.023529411764705882,0.3728205128205128
smote,0.2,82,lightGBM,0.575,0.012195121951219513,0.2,0.022988505747126436,0.32
smote,0.4,82,LR,0.55,0.011494252873563218,0.2,0.021739130434782608,0.24205128205128207
smote,0.4,82,SVM,0.575,0.03488372093023256,0.6,0.06593406593406594,0.5866666666666667
smote,0.4,82,DT,0.54,0.02197802197802198,0.4,0.041666666666666664,0.47179487179487184
smote,0.4,82,GB,0.57,0.012048192771084338,0.2,0.022727272727272728,0.3630769230769231
smote,0.4,82,lightGBM,0.57,0.012048192771084338,0.2,0.022727272727272728,0.3425641025641026
smote,0.6,82,LR,0.55,0.011494252873563218,0.2,0.021739130434782608,0.2041025641025641
smote,0.6,82,SVM,0.555,0.03333333333333333,0.6,0.06315789473684211,0.5856410256410256
smote,0.6,82,DT,0.535,0.021739130434782608,0.4,0.041237113402061855,0.46615384615384614
smote,0.6,82,GB,0.56,0.011764705882352941,0.2,0.022222222222222223,0.29282051282051286
smote,0.6,82,lightGBM,0.575,0.012195121951219513,0.2,0.022988505747126436,0.30769230769230765
smote,0.8,82,LR,0.56,0.011764705882352941,0.2,0.022222222222222223,0.22256410256410253
smote,0.8,82,SVM,0.54,0.03225806451612903,0.6,0.061224489795918366,0.5702564102564103
smote,0.8,82,DT,0.465,0.009615384615384616,0.2,0.01834862385321101,0.3317948717948718
smote,0.8,82,GB,0.56,0.011764705882352941,0.2,0.022222222222222223,0.28564102564102567
smote,0.8,82,lightGBM,0.555,0.011627906976744186,0.2,0.02197802197802198,0.3374358974358974
smote,1.0,82,LR,0.55,0.011494252873563218,0.2,0.021739130434782608,0.2112820512820513
smote,1.0,82,SVM,0.55,0.03296703296703297,0.6,0.0625,0.5774358974358974
smote,1.0,82,DT,0.51,0.020618556701030927,0.4,0.0392156862745098,0.45333333333333337
smote,1.0,82,GB,0.54,0.011235955056179775,0.2,0.02127659574468085,0.30153846153846153
smote,1.0,82,lightGBM,0.55,0.02247191011235955,0.4,0.0425531914893617,0.3323076923076923
smote,0.2,15,LR,0.54,0.011235955056179775,0.2,0.02127659574468085,0.2328205128205128
smote,0.2,15,SVM,0.58,0.03529411764705882,0.6,0.06666666666666667,0.601025641025641
smote,0.2,15,DT,0.565,0.023255813953488372,0.4,0.04395604395604396,0.48461538461538456
smote,0.2,15,GB,0.57,0.012048192771084338,0.2,0.022727272727272728,0.3769230769230769
smote,0.2,15,lightGBM,0.575,0.012195121951219513,0.2,0.022988505747126436,0.32
smote,0.4,15,LR,0.55,0.011494252873563218,0.2,0.021739130434782608,0.24205128205128207
smote,0.4,15,SVM,0.575,0.03488372093023256,0.6,0.06593406593406594,0.5866666666666667
smote,0.4,15,DT,0.53,0.01098901098901099,0.2,0.020833333333333332,0.3692307692307692
