algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_pruning,0.2,82,LR,0.474,0.1595744680851064,0.6338028169014085,0.254957507082153,0.573943661971831
random_pruning,0.2,82,SVM,0.518,0.18164794007490637,0.6830985915492958,0.2869822485207101,0.6396221149742277
random_pruning,0.2,82,DT,0.522,0.1830188679245283,0.6830985915492958,0.28869047619047616,0.5892182934436455
random_pruning,0.4,82,LR,0.483,0.16216216216216217,0.6338028169014085,0.2582496413199426,0.5740831938015036
random_pruning,0.4,82,SVM,0.518,0.18164794007490637,0.6830985915492958,0.2869822485207101,0.6392281427492695
random_pruning,0.4,82,DT,0.529,0.18666666666666668,0.6901408450704225,0.29385307346326833,0.5962359237007124
random_pruning,0.6,82,LR,0.485,0.16029143897996356,0.6197183098591549,0.25470332850940663,0.5722200334876391
random_pruning,0.6,82,SVM,0.52,0.1811320754716981,0.676056338028169,0.2857142857142857,0.638029810565022
random_pruning,0.6,82,DT,0.53,0.18582375478927204,0.6830985915492958,0.29216867469879515,0.5938802981056502
random_pruning,0.8,82,LR,0.489,0.16022099447513813,0.6126760563380281,0.25401459854014596,0.5736892215765456
random_pruning,0.8,82,SVM,0.521,0.18267419962335216,0.6830985915492958,0.28826151560178304,0.6383252897337404
random_pruning,0.8,82,DT,0.527,0.1835564053537285,0.676056338028169,0.2887218045112782,0.5891936701795857
random_pruning,1.0,82,LR,0.492,0.15858208955223882,0.5985915492957746,0.2507374631268437,0.5740339472733839
random_pruning,1.0,82,SVM,0.525,0.1840607210626186,0.6830985915492958,0.28998505231689087,0.6356085229324665
random_pruning,1.0,82,DT,0.538,0.188715953307393,0.6830985915492958,0.29573170731707316,0.5985423027676549
random_pruning,0.2,15,LR,0.545,0.14512471655328799,0.4507042253521127,0.2195540308747856,0.5023063790669424
random_pruning,0.2,15,SVM,0.557,0.16179775280898875,0.5070422535211268,0.24531516183986368,0.5629206474276897
random_pruning,0.2,15,DT,0.56,0.1688888888888889,0.5352112676056338,0.25675675675675674,0.5496569158540989
random_pruning,0.4,15,LR,0.538,0.14285714285714285,0.4507042253521127,0.21694915254237285,0.5014445648248466
random_pruning,0.4,15,SVM,0.557,0.16331096196868009,0.5140845070422535,0.24787775891341254,0.564061525329131
random_pruning,0.4,15,DT,0.564,0.17333333333333334,0.5492957746478874,0.2635135135135135,0.557864670540727
random_pruning,0.6,15,LR,0.536,0.14537444933920704,0.4647887323943662,0.22147651006711408,0.5024294953872418
random_pruning,0.6,15,SVM,0.558,0.16367713004484305,0.5140845070422535,0.24829931972789113,0.5651367411930792
random_pruning,0.6,15,DT,0.555,0.16849015317286653,0.5422535211267606,0.2570951585976628,0.5496815391181589
random_pruning,0.8,15,LR,0.529,0.14316702819956617,0.4647887323943662,0.21890547263681592,0.503217439837158
random_pruning,0.8,15,SVM,0.557,0.16331096196868009,0.5140845070422535,0.24787775891341254,0.56637611215076
random_pruning,0.8,15,DT,0.556,0.17173913043478262,0.5563380281690141,0.26245847176079734,0.5561410420565349
random_pruning,1.0,15,LR,0.529,0.14775160599571735,0.4859154929577465,0.22660098522167488,0.5037099051183558
random_pruning,1.0,15,SVM,0.554,0.16519823788546256,0.528169014084507,0.25167785234899326,0.5660806329820414
random_pruning,1.0,15,DT,0.565,0.17371937639198218,0.5492957746478874,0.2639593908629441,0.5584474211234776
random_pruning,0.2,4,LR,0.752,0.31338028169014087,0.6267605633802817,0.4178403755868545,0.7494829114547424
random_pruning,0.2,4,SVM,0.745,0.30716723549488056,0.6338028169014085,0.4137931034482759,0.7807790800748547
random_pruning,0.2,4,DT,0.72,0.27884615384615385,0.6126760563380281,0.3832599118942731,0.6752191470501329
random_pruning,0.4,4,LR,0.738,0.30132450331125826,0.6408450704225352,0.40990990990990994,0.7493433796250699
random_pruning,0.4,4,SVM,0.74,0.30333333333333334,0.6408450704225352,0.411764705882353,0.7791293213828425
random_pruning,0.4,4,DT,0.715,0.2744479495268139,0.6126760563380281,0.3790849673202614,0.67230539413638
random_pruning,0.6,4,LR,0.726,0.29245283018867924,0.6549295774647887,0.40434782608695646,0.7501559473390459
random_pruning,0.6,4,SVM,0.73,0.29874213836477986,0.6690140845070423,0.4130434782608695,0.7805246396795693
random_pruning,0.6,4,DT,0.719,0.2834890965732087,0.6408450704225352,0.3930885529157667,0.6863899011786335
random_pruning,0.8,4,LR,0.704,0.2761627906976744,0.6690140845070423,0.39094650205761317,0.749737351850028
random_pruning,0.8,4,SVM,0.721,0.2917933130699088,0.676056338028169,0.4076433121019108,0.7801717062280442
random_pruning,0.8,4,DT,0.71,0.27976190476190477,0.6619718309859155,0.3933054393305439,0.6899602744673167
random_pruning,1.0,4,LR,0.677,0.26370757180156656,0.7112676056338029,0.38476190476190475,0.7490396927016646
random_pruning,1.0,4,SVM,0.71,0.2861271676300578,0.6971830985915493,0.40573770491803274,0.7794986703437408
random_pruning,1.0,4,DT,0.686,0.266304347826087,0.6901408450704225,0.3843137254901961,0.6877277651925539
random_pruning,0.2,95,LR,0.69,0.2627118644067797,0.6549295774647887,0.37500000000000006,0.7340277093798221
random_pruning,0.2,95,SVM,0.701,0.27635327635327633,0.6830985915492958,0.3935091277890466,0.7684674480449127
random_pruning,0.2,95,DT,0.685,0.2693333333333333,0.7112676056338029,0.390715667311412,0.6959601431432418
random_pruning,0.4,95,LR,0.685,0.26301369863013696,0.676056338028169,0.378698224852071,0.7335926983814306
random_pruning,0.4,95,SVM,0.698,0.2777777777777778,0.704225352112676,0.398406374501992,0.7685166945730326
random_pruning,0.4,95,DT,0.669,0.25831202046035806,0.7112676056338029,0.3789868667917448,0.6866361338192324
random_pruning,0.6,95,LR,0.673,0.2546419098143236,0.676056338028169,0.36994219653179194,0.7333546734955185
random_pruning,0.6,95,SVM,0.691,0.27371273712737126,0.7112676056338029,0.39530332681017616,0.766587872221675
random_pruning,0.6,95,DT,0.664,0.2575,0.7253521126760564,0.38007380073800745,0.6895991332611051
random_pruning,0.8,95,LR,0.664,0.25380710659898476,0.704225352112676,0.373134328358209,0.7323287041596901
random_pruning,0.8,95,SVM,0.687,0.27320954907161804,0.7253521126760564,0.396917148362235,0.7660871991857907
random_pruning,0.8,95,DT,0.65,0.2511961722488038,0.7394366197183099,0.37499999999999994,0.6873173774582225
random_pruning,1.0,95,LR,0.649,0.2469733656174334,0.7183098591549296,0.36756756756756753,0.7304162973177056
random_pruning,1.0,95,SVM,0.676,0.26666666666666666,0.7323943661971831,0.39097744360902253,0.7648806592468563
random_pruning,1.0,95,DT,0.64,0.2429245283018868,0.7253521126760564,0.36395759717314485,0.6756131192750912
random_pruning,0.2,36,LR,0.666,0.24603174603174602,0.6549295774647887,0.35769230769230764,0.7133605830788928
random_pruning,0.2,36,SVM,0.651,0.23929471032745592,0.6690140845070423,0.35250463821892397,0.6955990019370301
random_pruning,0.2,36,DT,0.646,0.24271844660194175,0.704225352112676,0.36101083032490977,0.6702944942381561
random_pruning,0.4,36,LR,0.661,0.2454780361757106,0.6690140845070423,0.3591682419659735,0.7139433336616435
random_pruning,0.4,36,SVM,0.651,0.24060150375939848,0.676056338028169,0.35489833641404805,0.6954923011261039
random_pruning,0.4,36,DT,0.65,0.24257425742574257,0.6901408450704225,0.358974358974359,0.6667487442135329
random_pruning,0.6,36,LR,0.657,0.24427480916030533,0.676056338028169,0.3588785046728972,0.7141649430381825
random_pruning,0.6,36,SVM,0.642,0.23658536585365852,0.6830985915492958,0.35144927536231885,0.6952378607308185
random_pruning,0.6,36,DT,0.637,0.23877068557919623,0.7112676056338029,0.35752212389380533,0.6679881151712137
random_pruning,0.8,36,LR,0.647,0.23950617283950618,0.6830985915492958,0.3546617915904936,0.714041826717883
random_pruning,0.8,36,SVM,0.64,0.23798076923076922,0.6971830985915493,0.3548387096774194,0.6938589579434649
random_pruning,0.8,36,DT,0.624,0.2304147465437788,0.704225352112676,0.3472222222222222,0.6574739814176433
random_pruning,1.0,36,LR,0.644,0.23774509803921567,0.6830985915492958,0.3527272727272727,0.715256574411504
random_pruning,1.0,36,SVM,0.635,0.2376470588235294,0.7112676056338029,0.3562610229276896,0.6937358416231656
random_pruning,1.0,36,DT,0.611,0.22371364653243847,0.704225352112676,0.3395585738539898,0.6498982238418858
random_pruning,0.2,32,LR,0.816,0.3581081081081081,0.3732394366197183,0.3655172413793104,0.7468728454643948
random_pruning,0.2,32,SVM,0.821,0.38650306748466257,0.44366197183098594,0.4131147540983606,0.7682704619324336
random_pruning,0.2,32,DT,0.821,0.3930635838150289,0.4788732394366197,0.4317460317460317,0.6782478085294986
random_pruning,0.4,32,LR,0.814,0.35714285714285715,0.3873239436619718,0.3716216216216216,0.7469056764831413
random_pruning,0.4,32,SVM,0.819,0.38323353293413176,0.4507042253521127,0.4142394822006473,0.7662513542795233
random_pruning,0.4,32,DT,0.818,0.38636363636363635,0.4788732394366197,0.4276729559748428,0.676499556781247
random_pruning,0.6,32,LR,0.81,0.35,0.39436619718309857,0.37086092715231783,0.7447798680193047
random_pruning,0.6,32,SVM,0.82,0.38823529411764707,0.4647887323943662,0.4230769230769231,0.7661036146951639
random_pruning,0.6,32,DT,0.814,0.37777777777777777,0.4788732394366197,0.42236024844720493,0.6741685544502446
random_pruning,0.8,32,LR,0.803,0.34285714285714286,0.4225352112676056,0.37854889589905366,0.7438195607209692
random_pruning,0.8,32,SVM,0.815,0.37988826815642457,0.4788732394366197,0.4236760124610592,0.7671542072950523
random_pruning,0.8,32,DT,0.806,0.3617021276595745,0.4788732394366197,0.41212121212121217,0.6695065497882399
random_pruning,1.0,32,LR,0.783,0.3222748815165877,0.4788732394366197,0.38526912181303113,0.7433106799303982
random_pruning,1.0,32,SVM,0.8,0.3564356435643564,0.5070422535211268,0.41860465116279066,0.7647821661906169
random_pruning,1.0,32,DT,0.791,0.3397129186602871,0.5,0.4045584045584046,0.6695804195804196
random_pruning,0.2,29,LR,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.6875718178535082
random_pruning,0.2,29,SVM,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.7070652352342494
random_pruning,0.2,29,DT,0.842,0.42727272727272725,0.33098591549295775,0.37301587301587297,0.6287796710331921
random_pruning,0.4,29,LR,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.6893446928658197
random_pruning,0.4,29,SVM,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.7028628648346957
random_pruning,0.4,29,DT,0.841,0.4247787610619469,0.3380281690140845,0.37647058823529406,0.6311352966282543
random_pruning,0.6,29,LR,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.6886798647362027
random_pruning,0.6,29,SVM,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.7021980367050791
random_pruning,0.6,29,DT,0.838,0.41379310344827586,0.3380281690140845,0.37209302325581395,0.6293870448800026
random_pruning,0.8,29,LR,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.6849289208444139
random_pruning,0.8,29,SVM,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.7051446206375782
random_pruning,0.8,29,DT,0.833,0.4,0.352112676056338,0.37453183520599254,0.6323500443218752
random_pruning,1.0,29,LR,0.84,0.4166666666666667,0.31690140845070425,0.36,0.6888850586033686
random_pruning,1.0,29,SVM,0.839,0.411214953271028,0.30985915492957744,0.3534136546184739,0.7039709117173905
random_pruning,1.0,29,DT,0.832,0.3984375,0.3591549295774648,0.37777777777777777,0.6347056699169376
random_pruning,0.2,18,LR,0.674,0.25135135135135134,0.6549295774647887,0.36328125,0.7147723168849929
random_pruning,0.2,18,SVM,0.662,0.23796791443850268,0.6267605633802817,0.34496124031007747,0.7059736038609279
random_pruning,0.2,18,DT,0.667,0.24396782841823056,0.6408450704225352,0.3533980582524272,0.6560868708756032
random_pruning,0.4,18,LR,0.669,0.2493368700265252,0.6619718309859155,0.3622350674373796,0.7154535605239831
random_pruning,0.4,18,SVM,0.66,0.23809523809523808,0.6338028169014085,0.3461538461538461,0.7082471519091237
random_pruning,0.4,18,DT,0.663,0.2440944881889764,0.6549295774647887,0.355640535372849,0.6596326209002266
random_pruning,0.6,18,LR,0.662,0.24479166666666666,0.6619718309859155,0.3574144486692015,0.7146245773006336
random_pruning,0.6,18,SVM,0.655,0.23636363636363636,0.6408450704225352,0.34535104364326374,0.7070488197248761
random_pruning,0.6,18,DT,0.655,0.2390745501285347,0.6549295774647887,0.3502824858757062,0.6549706162382218
random_pruning,0.8,18,LR,0.647,0.23690773067331672,0.6690140845070423,0.3499079189686925,0.7140910732460028
random_pruning,0.8,18,SVM,0.645,0.22900763358778625,0.6338028169014085,0.33644859813084116,0.7047588561673069
random_pruning,0.8,18,DT,0.653,0.23785166240409208,0.6549295774647887,0.3489681050656661,0.6538051150727208
random_pruning,1.0,18,LR,0.632,0.22966507177033493,0.676056338028169,0.34285714285714286,0.7116862011228209
random_pruning,1.0,18,SVM,0.64,0.22613065326633167,0.6338028169014085,0.33333333333333337,0.7032322137955941
random_pruning,1.0,18,DT,0.649,0.24449877750611246,0.704225352112676,0.36297640653357527,0.6720427459864078
random_pruning,0.2,14,LR,0.674,0.21428571428571427,0.4859154929577465,0.2974137931034483,0.6912160609343707
random_pruning,0.2,14,SVM,0.673,0.2153846153846154,0.49295774647887325,0.29978586723768735,0.670434026067829
random_pruning,0.2,14,DT,0.682,0.23333333333333334,0.5422535211267606,0.326271186440678,0.6236908631274828
random_pruning,0.4,14,LR,0.674,0.21604938271604937,0.49295774647887325,0.30042918454935624,0.69348140122788
random_pruning,0.4,14,SVM,0.674,0.21779141104294478,0.5,0.3034188034188034,0.6737909977346597
random_pruning,0.4,14,DT,0.684,0.23952095808383234,0.5633802816901409,0.3361344537815126,0.6336714928264224
random_pruning,0.6,14,LR,0.674,0.21604938271604937,0.49295774647887325,0.30042918454935624,0.6940887750746905
random_pruning,0.6,14,SVM,0.673,0.21712538226299694,0.5,0.30277185501066095,0.6782231852654388
random_pruning,0.6,14,DT,0.683,0.2403560830860534,0.5704225352112676,0.33820459290187893,0.6360271184214845
random_pruning,0.8,14,LR,0.672,0.21646341463414634,0.5,0.3021276595744681,0.69562362520109
random_pruning,0.8,14,SVM,0.673,0.2188449848024316,0.5070422535211268,0.3057324840764331,0.6864309399520667
random_pruning,0.8,14,DT,0.678,0.23837209302325582,0.5774647887323944,0.3374485596707819,0.6360517416855445
random_pruning,1.0,14,LR,0.671,0.21580547112462006,0.5,0.3014861995753716,0.6974621622508946
random_pruning,1.0,14,SVM,0.674,0.22289156626506024,0.5211267605633803,0.31223628691983124,0.6929807281919957
random_pruning,1.0,14,DT,0.679,0.2375366568914956,0.5704225352112676,0.33540372670807456,0.6336961160904823
random_pruning,0.2,87,LR,0.458,0.1453900709219858,0.5774647887323944,0.23229461756373934,0.5215207327883384
random_pruning,0.2,87,SVM,0.53,0.19402985074626866,0.7323943661971831,0.3067846607669617,0.6053875701763026
random_pruning,0.2,87,DT,0.511,0.19073083778966132,0.7535211267605634,0.3044096728307254,0.6121917988115171
random_pruning,0.4,87,LR,0.473,0.1493624772313297,0.5774647887323944,0.23733719247467439,0.5196083259463541
random_pruning,0.4,87,SVM,0.533,0.19626168224299065,0.7394366197183099,0.310192023633678,0.6062329689090252
random_pruning,0.4,87,DT,0.521,0.19748653500897667,0.7746478873239436,0.3147353361945637,0.6268344331724613
random_pruning,0.6,87,LR,0.481,0.15157116451016636,0.5774647887323944,0.24011713030746706,0.5186726419120785
