algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.689,0.27586206896551724,0.7323943661971831,0.4007707129094412,0.7592829705505761
smote,0.2,82,SVM,0.686,0.2860696517412935,0.8098591549295775,0.4227941176470588,0.8048360090613612
smote,0.2,82,DT,0.687,0.2878411910669975,0.8169014084507042,0.4256880733944954,0.7412012869759349
smote,0.4,82,LR,0.675,0.2683544303797468,0.7464788732394366,0.39478584729981375,0.7582980399881808
smote,0.4,82,SVM,0.685,0.2853598014888337,0.8098591549295775,0.42201834862385323,0.8033996519912012
smote,0.4,82,DT,0.685,0.28428927680798005,0.8028169014084507,0.4198895027624309,0.7341590334548083
smote,0.6,82,LR,0.664,0.2634146341463415,0.7605633802816901,0.3913043478260869,0.7572392396336058
smote,0.6,82,SVM,0.679,0.28117359413202936,0.8098591549295775,0.4174228675136117,0.8038100397255327
smote,0.6,82,DT,0.685,0.28641975308641976,0.8169014084507042,0.4241316270566728,0.7400357858104337
smote,0.8,82,LR,0.654,0.2616822429906542,0.7887323943661971,0.3929824561403509,0.7580764306116419
smote,0.8,82,SVM,0.676,0.279126213592233,0.8098591549295775,0.4151624548736462,0.8036951311599198
smote,0.8,82,DT,0.687,0.28888888888888886,0.823943661971831,0.4277879341864717,0.7441396631537477
smote,1.0,82,LR,0.634,0.25,0.7887323943661971,0.37966101694915255,0.757395186972652
smote,1.0,82,SVM,0.677,0.2798053527980535,0.8098591549295775,0.4159132007233273,0.8046308151941954
smote,1.0,82,DT,0.687,0.28992628992628994,0.8309859154929577,0.42987249544626593,0.7470780393315605
smote,0.2,15,LR,0.713,0.2809667673716012,0.6549295774647887,0.39323467230443976,0.734052332643882
smote,0.2,15,SVM,0.7,0.25914634146341464,0.5985915492957746,0.3617021276595745,0.7512311632029942
smote,0.2,15,DT,0.699,0.2668621700879765,0.6408450704225352,0.37681159420289856,0.6747348895236219
smote,0.4,15,LR,0.706,0.27647058823529413,0.6619718309859155,0.3900414937759336,0.7326898453659018
smote,0.4,15,SVM,0.7,0.25914634146341464,0.5985915492957746,0.3617021276595745,0.7503693489608982
smote,0.4,15,DT,0.7,0.2676470588235294,0.6408450704225352,0.37759336099585067,0.6753176401063725
smote,0.6,15,LR,0.699,0.2722063037249284,0.6690140845070423,0.38696537678207743,0.734536590170393
smote,0.6,15,SVM,0.696,0.2560240963855422,0.5985915492957746,0.3586497890295359,0.7490150694376047
smote,0.6,15,DT,0.701,0.26843657817109146,0.6408450704225352,0.3783783783783784,0.6759003906891231
smote,0.8,15,LR,0.687,0.2644628099173554,0.676056338028169,0.3801980198019802,0.7340851636626284
smote,0.8,15,SVM,0.696,0.25748502994011974,0.6056338028169014,0.361344537815126,0.7493105486063233
smote,0.8,15,DT,0.701,0.27113702623906705,0.6549295774647887,0.3835051546391752,0.6817771430447487
smote,1.0,15,LR,0.675,0.256,0.676056338028169,0.3713733075435203,0.7368101382185889
smote,1.0,15,SVM,0.696,0.2603550295857988,0.6197183098591549,0.36666666666666664,0.7482845792704947
smote,1.0,15,DT,0.705,0.27299703264094954,0.647887323943662,0.38413361169102295,0.6811697691979383
smote,0.2,4,LR,0.741,0.3211009174311927,0.7394366197183099,0.4477611940298508,0.7884369151974786
smote,0.2,4,SVM,0.734,0.3208092485549133,0.7816901408450704,0.4549180327868852,0.8129616862011227
smote,0.2,4,DT,0.725,0.3147632311977716,0.795774647887324,0.4510978043912176,0.7545306805870187
smote,0.4,4,LR,0.727,0.30903790087463556,0.7464788732394366,0.4371134020618556,0.7862700679602088
smote,0.4,4,SVM,0.731,0.3211267605633803,0.8028169014084507,0.4587525150905433,0.8163350733773269
smote,0.4,4,DT,0.733,0.323943661971831,0.8098591549295775,0.4627766599597586,0.7650694376046488
smote,0.6,4,LR,0.713,0.298050139275766,0.7535211267605634,0.4271457085828343,0.7846038937588234
smote,0.6,4,SVM,0.727,0.31754874651810583,0.8028169014084507,0.45508982035928147,0.8142256804228636
smote,0.6,4,DT,0.73,0.3202247191011236,0.8028169014084507,0.4578313253012048,0.7603828096785844
smote,0.8,4,LR,0.703,0.29110512129380056,0.7605633802816901,0.4210526315789474,0.7828063954824518
smote,0.8,4,SVM,0.725,0.3137254901960784,0.7887323943661971,0.44889779559118226,0.8140451098197576
smote,0.8,4,DT,0.727,0.31754874651810583,0.8028169014084507,0.45508982035928147,0.7586345579303326
smote,1.0,4,LR,0.696,0.2857142857142857,0.7605633802816901,0.41538461538461535,0.7831347056699168
smote,1.0,4,SVM,0.723,0.31197771587743733,0.7887323943661971,0.4471057884231537,0.812781115598017
smote,1.0,4,DT,0.728,0.3194444444444444,0.8098591549295775,0.45816733067729076,0.762155684690896
smote,0.2,95,LR,0.597,0.2054176072234763,0.6408450704225352,0.3111111111111111,0.7058258642765685
smote,0.2,95,SVM,0.615,0.23413566739606126,0.7535211267605634,0.3572621035058431,0.7292836271709512
smote,0.2,95,DT,0.624,0.2422907488986784,0.7746478873239436,0.3691275167785235,0.6868577431957714
smote,0.4,95,LR,0.59,0.20353982300884957,0.647887323943662,0.30976430976430974,0.7060228503890477
smote,0.4,95,SVM,0.615,0.23296703296703297,0.7464788732394366,0.3551088777219431,0.7295873140943563
smote,0.4,95,DT,0.619,0.23736263736263735,0.7605633802816901,0.36180904522613067,0.6780672379263928
smote,0.6,95,LR,0.586,0.20175438596491227,0.647887323943662,0.3076923076923077,0.7049640500344726
smote,0.6,95,SVM,0.614,0.23593073593073594,0.7676056338028169,0.3609271523178808,0.7312781115598016
smote,0.6,95,DT,0.614,0.23819742489270387,0.7816901408450704,0.3651315789473685,0.6839686135460784
smote,0.8,95,LR,0.585,0.20518358531317496,0.6690140845070423,0.3140495867768595,0.7067369250467842
smote,0.8,95,SVM,0.616,0.23695652173913043,0.7676056338028169,0.36212624584717606,0.7319101086706721
smote,0.8,95,DT,0.62,0.24242424242424243,0.7887323943661971,0.3708609271523179,0.6904034932203945
smote,1.0,95,LR,0.578,0.20212765957446807,0.6690140845070423,0.31045751633986923,0.7078860107029121
smote,1.0,95,SVM,0.614,0.23593073593073594,0.7676056338028169,0.3609271523178808,0.7318526543878656
smote,1.0,95,DT,0.616,0.23922413793103448,0.7816901408450704,0.3663366336633664,0.6851341147115796
smote,0.2,36,LR,0.72,0.28164556962025317,0.6267605633802817,0.38864628820960706,0.7263288354837651
smote,0.2,36,SVM,0.707,0.27596439169139464,0.6549295774647887,0.3883089770354906,0.7398470074526413
smote,0.2,36,DT,0.704,0.2774566473988439,0.676056338028169,0.3934426229508196,0.6923405233264388
smote,0.4,36,LR,0.708,0.2727272727272727,0.6338028169014085,0.3813559322033898,0.7287501231163204
smote,0.4,36,SVM,0.707,0.27596439169139464,0.6549295774647887,0.3883089770354906,0.7389934009652319
smote,0.4,36,DT,0.705,0.27953890489913547,0.6830985915492958,0.3967280163599182,0.6958616500870022
smote,0.6,36,LR,0.698,0.26608187134502925,0.6408450704225352,0.3760330578512397,0.7288322006631864
smote,0.6,36,SVM,0.706,0.27647058823529413,0.6619718309859155,0.3900414937759336,0.7383778193637349
smote,0.6,36,DT,0.698,0.2727272727272727,0.676056338028169,0.388663967611336,0.6888440198299354
smote,0.8,36,LR,0.681,0.2548476454293629,0.647887323943662,0.3658051689860835,0.7280852949867033
smote,0.8,36,SVM,0.704,0.27485380116959063,0.6619718309859155,0.3884297520661157,0.7395761515479825
smote,0.8,36,DT,0.701,0.27887323943661974,0.6971830985915493,0.3983903420523139,0.6994074001116255
smote,1.0,36,LR,0.675,0.25336927223719674,0.6619718309859155,0.3664717348927875,0.7270675334055616
smote,1.0,36,SVM,0.702,0.2745664739884393,0.6690140845070423,0.38934426229508196,0.7393627499261302
smote,1.0,36,DT,0.706,0.28034682080924855,0.6830985915492958,0.3975409836065574,0.6964444006697528
smote,0.2,32,LR,0.84,0.42105263157894735,0.3380281690140845,0.375,0.7456088512426542
smote,0.2,32,SVM,0.839,0.4188034188034188,0.34507042253521125,0.37837837837837834,0.7459289536754327
smote,0.2,32,DT,0.846,0.453125,0.4084507042253521,0.42962962962962964,0.6634328113201352
smote,0.4,32,LR,0.839,0.42016806722689076,0.352112676056338,0.38314176245210724,0.7470205850487541
smote,0.4,32,SVM,0.84,0.423728813559322,0.352112676056338,0.3846153846153846,0.7422929183492564
smote,0.4,32,DT,0.844,0.4444444444444444,0.39436619718309857,0.417910447761194,0.6563905577990085
smote,0.6,32,LR,0.839,0.42016806722689076,0.352112676056338,0.38314176245210724,0.7463393414097639
smote,0.6,32,SVM,0.84,0.4262295081967213,0.36619718309859156,0.393939393939394,0.74505893167865
smote,0.6,32,DT,0.843,0.44,0.3873239436619718,0.41198501872659177,0.6528694310384451
smote,0.8,32,LR,0.838,0.4180327868852459,0.3591549295774648,0.38636363636363635,0.7490561082110377
smote,0.8,32,SVM,0.844,0.4444444444444444,0.39436619718309857,0.417910447761194,0.7535047112511901
smote,0.8,32,DT,0.846,0.4523809523809524,0.4014084507042254,0.4253731343283582,0.6604944351423225
smote,1.0,32,LR,0.836,0.4112903225806452,0.3591549295774648,0.3834586466165414,0.7435897435897435
smote,1.0,32,SVM,0.841,0.4330708661417323,0.3873239436619718,0.40892193308550184,0.7514035260514135
smote,1.0,32,DT,0.843,0.44,0.3873239436619718,0.41198501872659177,0.6528694310384451
smote,0.2,29,LR,0.712,0.2877906976744186,0.6971830985915493,0.4074074074074074,0.7738106963459075
smote,0.2,29,SVM,0.705,0.2880886426592798,0.7323943661971831,0.4135188866799205,0.7941577202140582
smote,0.2,29,DT,0.711,0.2975206611570248,0.7605633802816901,0.4277227722772277,0.7316802915394465
smote,0.4,29,LR,0.696,0.27624309392265195,0.704225352112676,0.39682539682539686,0.7752060146426343
smote,0.4,29,SVM,0.701,0.2872628726287263,0.7464788732394366,0.41487279843444236,0.7939935651203257
smote,0.4,29,DT,0.712,0.29608938547486036,0.7464788732394366,0.424,0.7263862897665714
smote,0.6,29,LR,0.687,0.2755905511811024,0.7394366197183099,0.40152963671128106,0.7756492333957123
smote,0.6,29,SVM,0.697,0.2853333333333333,0.7535211267605634,0.413926499032882,0.7921714435798942
smote,0.6,29,DT,0.705,0.2892561983471074,0.7394366197183099,0.4158415841584158,0.7193686595095047
smote,0.8,29,LR,0.677,0.26854219948849106,0.7394366197183099,0.3939962476547843,0.7774139006533372
smote,0.8,29,SVM,0.697,0.2853333333333333,0.7535211267605634,0.413926499032882,0.7930742965954232
smote,0.8,29,DT,0.712,0.29945054945054944,0.7676056338028169,0.4308300395256917,0.73520141830001
smote,1.0,29,LR,0.667,0.26184538653366585,0.7394366197183099,0.3867403314917128,0.778677894875078
smote,1.0,29,SVM,0.696,0.2857142857142857,0.7605633802816901,0.41538461538461535,0.7928198562001381
smote,1.0,29,DT,0.702,0.2914438502673797,0.7676056338028169,0.4224806201550388,0.729373912472504
smote,0.2,18,LR,0.699,0.26409495548961426,0.6267605633802817,0.37160751565762007,0.7213138973702354
smote,0.2,18,SVM,0.69,0.26,0.6408450704225352,0.3699186991869919,0.7432860566663383
smote,0.2,18,DT,0.694,0.27348066298342544,0.6971830985915493,0.39285714285714285,0.6953281460323714
smote,0.4,18,LR,0.687,0.2564102564102564,0.6338028169014085,0.36511156186612576,0.720238681506287
smote,0.4,18,SVM,0.681,0.25210084033613445,0.6338028169014085,0.36072144288577157,0.7404051347713319
smote,0.4,18,DT,0.694,0.2696629213483146,0.676056338028169,0.38554216867469876,0.686513017498933
smote,0.6,18,LR,0.678,0.25,0.6338028169014085,0.35856573705179284,0.7200909419219278
smote,0.6,18,SVM,0.68,0.2554945054945055,0.6549295774647887,0.3675889328063241,0.7400686168291801
smote,0.6,18,DT,0.689,0.26975476839237056,0.6971830985915493,0.38899803536345773,0.6924143931186184
smote,0.8,18,LR,0.67,0.24594594594594596,0.6408450704225352,0.35546875,0.7200006566203749
smote,0.8,18,SVM,0.679,0.2547945205479452,0.6549295774647887,0.36686390532544383,0.7378935618372239
smote,0.8,18,DT,0.688,0.26902173913043476,0.6971830985915493,0.388235294117647,0.6918316425358678
smote,1.0,18,LR,0.66,0.24083769633507854,0.647887323943662,0.35114503816793896,0.7211907810499361
smote,1.0,18,SVM,0.675,0.2506811989100817,0.647887323943662,0.3614931237721022,0.7338225155126563
smote,1.0,18,DT,0.693,0.27019498607242337,0.6830985915492958,0.38722554890219557,0.6888686430939952
smote,0.2,14,LR,0.712,0.27607361963190186,0.6338028169014085,0.38461538461538464,0.7197790472438359
smote,0.2,14,SVM,0.701,0.27246376811594203,0.6619718309859155,0.3860369609856263,0.7287665386256935
smote,0.2,14,DT,0.699,0.26956521739130435,0.6549295774647887,0.38193018480492813,0.6806116418792474
smote,0.4,14,LR,0.704,0.2708333333333333,0.6408450704225352,0.3807531380753138,0.7199103713188221
smote,0.4,14,SVM,0.701,0.2737752161383285,0.6690140845070423,0.3885480572597137,0.7293821202271906
smote,0.4,14,DT,0.695,0.2664756446991404,0.6549295774647887,0.3788187372708758,0.6782806395482451
smote,0.6,14,LR,0.698,0.26878612716763006,0.6549295774647887,0.3811475409836066,0.7215765455202074
smote,0.6,14,SVM,0.695,0.2704225352112676,0.676056338028169,0.386317907444668,0.7307528152598576
smote,0.6,14,DT,0.699,0.27089337175792505,0.6619718309859155,0.38445807770961143,0.6835500180570603
smote,0.8,14,LR,0.694,0.26704545454545453,0.6619718309859155,0.3805668016194332,0.7205095374109458
smote,0.8,14,SVM,0.695,0.2704225352112676,0.676056338028169,0.386317907444668,0.7302111034505401
smote,0.8,14,DT,0.696,0.2658959537572254,0.647887323943662,0.3770491803278688,0.6759250139531829
smote,1.0,14,LR,0.686,0.2650273224043716,0.6830985915492958,0.3818897637795276,0.7213631438983552
smote,1.0,14,SVM,0.693,0.2689075630252101,0.676056338028169,0.3847695390781563,0.7274286746117731
smote,1.0,14,DT,0.695,0.2664756446991404,0.6549295774647887,0.3788187372708758,0.6782806395482451
smote,0.2,87,LR,0.758,0.32014388489208634,0.6267605633802817,0.42380952380952386,0.763124199743918
smote,0.2,87,SVM,0.746,0.31456953642384106,0.6690140845070423,0.42792792792792794,0.7703880626415838
smote,0.2,87,DT,0.704,0.2735294117647059,0.6549295774647887,0.3858921161825727,0.6835253947930005
smote,0.4,87,LR,0.743,0.3089700996677741,0.6549295774647887,0.4198645598194131,0.7618602055221775
smote,0.4,87,SVM,0.74,0.30718954248366015,0.6619718309859155,0.41964285714285715,0.7662595620342099
smote,0.4,87,DT,0.716,0.27388535031847133,0.6056338028169014,0.3771929824561403,0.6699497685413178
smote,0.6,87,LR,0.723,0.2923076923076923,0.6690140845070423,0.40685224839400425,0.7620571916346565
smote,0.6,87,SVM,0.732,0.2980769230769231,0.6549295774647887,0.4096916299559471,0.762483994878361
smote,0.6,87,DT,0.707,0.2691131498470948,0.6197183098591549,0.37526652452025583,0.6705817656521882
smote,0.8,87,LR,0.704,0.2824858757062147,0.704225352112676,0.4032258064516129,0.7624593716143011
smote,0.8,87,SVM,0.729,0.2939297124600639,0.647887323943662,0.4043956043956044,0.7617617124659379
smote,0.8,87,DT,0.717,0.28307692307692306,0.647887323943662,0.3940042826552463,0.6881627761909452
smote,1.0,87,LR,0.681,0.2677165354330709,0.7183098591549296,0.3900573613766731,0.7613102859581733
smote,1.0,87,SVM,0.725,0.29411764705882354,0.6690140845070423,0.40860215053763443,0.7621064381627762
smote,1.0,87,DT,0.699,0.26822157434402333,0.647887323943662,0.3793814432989691,0.6776732657014347
