algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.504,0.17550274223034734,0.6808510638297872,0.27906976744186046,0.6211824734352167
No_Sampling,0,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5845821052023217
No_Sampling,0,82,DT,0.51,0.1750465549348231,0.6666666666666666,0.27728613569321536,0.5754753589445091
No_Sampling,0,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6324145105767524
No_Sampling,0,15,SVM,0.472,0.16234887737478412,0.6861313868613139,0.2625698324022347,0.5440620480246298
No_Sampling,0,15,DT,0.476,0.1634782608695652,0.6861313868613139,0.26404494382022475,0.5643866667794403
No_Sampling,0,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.4410276172125883
No_Sampling,0,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.5464525797473774
No_Sampling,0,4,DT,0.649,0.09701492537313433,0.1925925925925926,0.12903225806451613,0.4564119032327125
No_Sampling,0,95,LR,0.496,0.1826086956521739,0.7553956834532374,0.29411764705882354,0.6717469230190761
No_Sampling,0,95,SVM,0.514,0.19507908611599298,0.7985611510791367,0.31355932203389836,0.664360497664586
No_Sampling,0,95,DT,0.514,0.17929759704251386,0.697841726618705,0.2852941176470588,0.5910811420549972
No_Sampling,0,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4675862068965517
No_Sampling,0,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.49182139699381083
No_Sampling,0,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
No_Sampling,0,32,LR,0.478,0.16151202749140894,0.734375,0.26478873239436623,0.6477476347477064
No_Sampling,0,32,SVM,0.478,0.16151202749140894,0.734375,0.26478873239436623,0.5715757597477065
No_Sampling,0,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
No_Sampling,0,29,LR,0.652,0.16109422492401215,0.424,0.23348017621145378,0.5824548571428572
No_Sampling,0,29,SVM,0.651,0.15853658536585366,0.416,0.2295805739514349,0.5709988571428571
No_Sampling,0,29,DT,0.655,0.17261904761904762,0.464,0.2516268980477223,0.5731428571428572
No_Sampling,0,18,LR,0.357,0.14754098360655737,0.8503937007874016,0.25145518044237486,0.6948796348909995
No_Sampling,0,18,SVM,0.345,0.14611260053619302,0.8582677165354331,0.24971363115693013,0.5060656077784091
No_Sampling,0,18,DT,0.368,0.14685314685314685,0.8267716535433071,0.24940617577197147,0.5640158382264072
No_Sampling,0,14,LR,0.662,0.145985401459854,0.2777777777777778,0.1913875598086124,0.5613236630321911
No_Sampling,0,14,SVM,0.666,0.1875,0.3958333333333333,0.25446428571428575,0.6182502596053997
No_Sampling,0,14,DT,0.632,0.17630057803468208,0.4236111111111111,0.2489795918367347,0.5453335929387332
No_Sampling,0,87,LR,0.643,0.18475073313782991,0.44366197183098594,0.2608695652173913,0.5806658130601792
No_Sampling,0,87,SVM,0.62,0.19170984455958548,0.5211267605633803,0.2803030303030303,0.6173544765094061
No_Sampling,0,87,DT,0.62,0.19329896907216496,0.528169014084507,0.2830188679245283,0.5816835746413211
