algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.471,0.16923076923076924,0.6971830985915493,0.2723521320495186,0.6156800945533341
RRP,0.2,82,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.599133261105092
RRP,0.2,82,DT,0.478,0.17128027681660898,0.6971830985915493,0.275,0.5694540201582454
RRP,0.4,82,LR,0.469,0.1675213675213675,0.6901408450704225,0.2696011004126547,0.6063560852293246
RRP,0.4,82,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.6098033421977085
RRP,0.4,82,DT,0.478,0.17128027681660898,0.6971830985915493,0.275,0.5694540201582454
RRP,0.6,82,LR,0.469,0.1675213675213675,0.6901408450704225,0.2696011004126547,0.6113217768147345
RRP,0.6,82,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.6063396697199515
RRP,0.6,82,DT,0.479,0.17157712305025996,0.6971830985915493,0.2753824756606398,0.5700367707409961
RRP,0.8,82,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.6137102334285433
RRP,0.8,82,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.6010702912111362
RRP,0.8,82,DT,0.479,0.17157712305025996,0.6971830985915493,0.2753824756606398,0.5700367707409961
RRP,1.0,82,LR,0.469,0.1675213675213675,0.6901408450704225,0.2696011004126547,0.6073410157917201
RRP,1.0,82,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.6159591582126793
RRP,1.0,82,DT,0.48,0.171875,0.6971830985915493,0.2757660167130919,0.5706195213237466
RRP,0.2,15,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5995108178206769
RRP,0.2,15,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5631997110870349
RRP,0.2,15,DT,0.468,0.16723549488054607,0.6901408450704225,0.2692307692307692,0.560688138152927
RRP,0.4,15,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5938064283134705
RRP,0.4,15,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5814045109819758
RRP,0.4,15,DT,0.468,0.16723549488054607,0.6901408450704225,0.2692307692307692,0.560688138152927
RRP,0.6,15,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5963508322663251
RRP,0.6,15,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5718917233001739
RRP,0.6,15,DT,0.468,0.16723549488054607,0.6901408450704225,0.2692307692307692,0.560688138152927
RRP,0.8,15,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5880363767687711
RRP,0.8,15,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5809859154929577
RRP,0.8,15,DT,0.468,0.16723549488054607,0.6901408450704225,0.2692307692307692,0.560688138152927
RRP,1.0,15,LR,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5956039265898421
RRP,1.0,15,SVM,0.469,0.1686541737649063,0.6971830985915493,0.2716049382716049,0.5941347385009357
RRP,1.0,15,DT,0.468,0.16723549488054607,0.6901408450704225,0.2692307692307692,0.560688138152927
RRP,0.2,4,LR,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.4826570143471552
RRP,0.2,4,SVM,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.5189517055714239
RRP,0.2,4,DT,0.652,0.10384615384615385,0.19014084507042253,0.13432835820895522,0.4592895367543255
RRP,0.4,4,LR,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.48176236908631276
RRP,0.4,4,SVM,0.649,0.0933852140077821,0.16901408450704225,0.12030075187969926,0.4927033060835877
RRP,0.4,4,DT,0.651,0.10038610038610038,0.18309859154929578,0.12967581047381546,0.4557684099937621
RRP,0.6,4,LR,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.5027824288387669
RRP,0.6,4,SVM,0.649,0.0933852140077821,0.16901408450704225,0.12030075187969926,0.5103335631504646
RRP,0.6,4,DT,0.651,0.10038610038610038,0.18309859154929578,0.12967581047381546,0.4557684099937621
RRP,0.8,4,LR,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.5108916904691553
RRP,0.8,4,SVM,0.649,0.0933852140077821,0.16901408450704225,0.12030075187969926,0.4895679437932959
RRP,0.8,4,DT,0.652,0.10384615384615385,0.19014084507042253,0.13432835820895522,0.4592895367543255
RRP,1.0,4,LR,0.648,0.08984375,0.1619718309859155,0.11557788944723618,0.5232197380084704
RRP,1.0,4,SVM,0.649,0.0933852140077821,0.16901408450704225,0.12030075187969926,0.4898552152073279
RRP,1.0,4,DT,0.651,0.10038610038610038,0.18309859154929578,0.12967581047381546,0.4557684099937621
RRP,0.2,95,LR,0.431,0.17700453857791226,0.823943661971831,0.2914072229140723,0.6432581503004038
