algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_oversampling,0.2,82,LR,0.504,0.17550274223034734,0.6808510638297872,0.27906976744186046,0.6206870928590891
random_oversampling,0.2,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5835583186783246
random_oversampling,0.2,82,DT,0.51,0.1750465549348231,0.6666666666666666,0.27728613569321536,0.5754753589445091
random_oversampling,0.4,82,LR,0.504,0.17550274223034734,0.6808510638297872,0.27906976744186046,0.6179129616327743
random_oversampling,0.4,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5837894962805175
random_oversampling,0.4,82,DT,0.51,0.1750465549348231,0.6666666666666666,0.27728613569321536,0.5754753589445091
random_oversampling,0.6,82,LR,0.505,0.17582417582417584,0.6808510638297872,0.2794759825327511,0.6203238137699287
random_oversampling,0.6,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5833353974190671
random_oversampling,0.6,82,DT,0.513,0.1760299625468165,0.6666666666666666,0.27851851851851855,0.5772215754753589
random_oversampling,0.8,82,LR,0.504,0.1743119266055046,0.6737588652482269,0.27696793002915454,0.6206045294297343
random_oversampling,0.8,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5830299127304552
random_oversampling,0.8,82,DT,0.513,0.1760299625468165,0.6666666666666666,0.27851851851851855,0.5772215754753589
random_oversampling,1.0,82,LR,0.505,0.17582417582417584,0.6808510638297872,0.2794759825327511,0.6208109380031208
random_oversampling,1.0,82,SVM,0.503,0.17518248175182483,0.6808510638297872,0.27866473149492016,0.5831124761598098
random_oversampling,1.0,82,DT,0.515,0.17790262172284643,0.6737588652482269,0.28148148148148144,0.5813497469430889
random_oversampling,0.2,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6354678553002173
random_oversampling,0.2,15,SVM,0.472,0.16234887737478412,0.6861313868613139,0.2625698324022347,0.5445695291421032
random_oversampling,0.2,15,DT,0.475,0.16319444444444445,0.6861313868613139,0.26367461430575034,0.5638072925036581
random_oversampling,0.4,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6347573817357546
random_oversampling,0.4,15,SVM,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.5458889800475341
random_oversampling,0.4,15,DT,0.476,0.1634782608695652,0.6861313868613139,0.26404494382022475,0.5643866667794403
random_oversampling,0.6,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6363051991440485
random_oversampling,0.6,15,SVM,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.5437575593541457
random_oversampling,0.6,15,DT,0.475,0.16319444444444445,0.6861313868613139,0.26367461430575034,0.5638072925036581
random_oversampling,0.8,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6304184181813568
random_oversampling,0.8,15,SVM,0.472,0.16234887737478412,0.6861313868613139,0.2625698324022347,0.5430809178641811
random_oversampling,0.8,15,DT,0.475,0.16319444444444445,0.6861313868613139,0.26367461430575034,0.5638072925036581
random_oversampling,1.0,15,LR,0.473,0.16379310344827586,0.6934306569343066,0.2649930264993026,0.6251998206900051
random_oversampling,1.0,15,SVM,0.472,0.16234887737478412,0.6861313868613139,0.2625698324022347,0.5430217117338092
random_oversampling,1.0,15,DT,0.475,0.16319444444444445,0.6861313868613139,0.26367461430575034,0.5638072925036581
random_oversampling,0.2,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.4673774352387069
random_oversampling,0.2,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.5438835367159067
random_oversampling,0.2,4,DT,0.649,0.09701492537313433,0.1925925925925926,0.12903225806451613,0.4564119032327125
random_oversampling,0.4,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.4433568828944552
random_oversampling,0.4,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.543678013273389
random_oversampling,0.4,4,DT,0.65,0.10037174721189591,0.2,0.13366336633663367,0.4601156069364162
random_oversampling,0.6,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.4540441019053736
random_oversampling,0.6,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.538231642046671
random_oversampling,0.6,4,DT,0.649,0.09701492537313433,0.1925925925925926,0.12903225806451613,0.4564119032327125
random_oversampling,0.8,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.46334403767929777
random_oversampling,0.8,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.5301648469278526
random_oversampling,0.8,4,DT,0.649,0.1,0.2,0.13333333333333333,0.4595375722543352
random_oversampling,1.0,4,LR,0.649,0.08778625954198473,0.17037037037037037,0.1158690176322418,0.46528794690644404
random_oversampling,1.0,4,SVM,0.648,0.0842911877394636,0.16296296296296298,0.11111111111111112,0.5276214943266966
random_oversampling,1.0,4,DT,0.649,0.1,0.2,0.13333333333333333,0.4595375722543352
random_oversampling,0.2,95,LR,0.501,0.18421052631578946,0.7553956834532374,0.29619181946403383,0.6721062174650523
random_oversampling,0.2,95,SVM,0.517,0.1950354609929078,0.7913669064748201,0.31294452347083923,0.6650790865565387
random_oversampling,0.2,95,DT,0.523,0.18470149253731344,0.7122302158273381,0.2933333333333334,0.6023404273097202
random_oversampling,0.4,95,LR,0.51,0.18716577540106952,0.7553956834532374,0.3,0.6702763224960102
random_oversampling,0.4,95,SVM,0.52,0.19607843137254902,0.7913669064748201,0.3142857142857143,0.6662238153727889
random_oversampling,0.4,95,DT,0.521,0.1863468634686347,0.7266187050359713,0.2966226138032305,0.6072117915423758
random_oversampling,0.6,95,LR,0.513,0.18705035971223022,0.7482014388489209,0.2992805755395684,0.6708862874856909
random_oversampling,0.6,95,SVM,0.522,0.19569120287253142,0.7841726618705036,0.3132183908045977,0.6658227425028618
random_oversampling,0.6,95,DT,0.52,0.1860036832412523,0.7266187050359713,0.2961876832844575,0.6066310714494607
random_oversampling,0.8,95,LR,0.52,0.1882998171846435,0.7410071942446043,0.3002915451895044,0.6706773953659373
random_oversampling,0.8,95,SVM,0.53,0.1996370235934664,0.7913669064748201,0.31884057971014496,0.6693906199082545
random_oversampling,0.8,95,DT,0.525,0.1900369003690037,0.7410071942446043,0.302496328928047,0.6155674763325227
random_oversampling,1.0,95,LR,0.522,0.1889908256880734,0.7410071942446043,0.30116959064327486,0.6704183691374426
random_oversampling,1.0,95,SVM,0.535,0.20146520146520147,0.7913669064748201,0.3211678832116789,0.6712873603556179
random_oversampling,1.0,95,DT,0.524,0.186219739292365,0.7194244604316546,0.29585798816568043,0.6059375496118784
random_oversampling,0.2,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4674801061007957
random_oversampling,0.2,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4918125552608312
random_oversampling,0.2,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
random_oversampling,0.4,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4674889478337755
random_oversampling,0.4,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.49187444739168884
random_oversampling,0.4,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
random_oversampling,0.6,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4674005305039788
random_oversampling,0.6,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.49174182139699385
random_oversampling,0.6,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
random_oversampling,0.8,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.46779840848806364
random_oversampling,0.8,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.49180371352785146
random_oversampling,0.8,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
random_oversampling,1.0,36,LR,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.46782493368700273
random_oversampling,1.0,36,SVM,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4917948717948718
random_oversampling,1.0,36,DT,0.492,0.11740890688259109,0.4461538461538462,0.18589743589743588,0.4725022104332449
random_oversampling,0.2,32,LR,0.479,0.16179001721170397,0.734375,0.2651622002820875,0.6524512614678898
random_oversampling,0.2,32,SVM,0.478,0.16151202749140894,0.734375,0.26478873239436623,0.5723910550458715
random_oversampling,0.2,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
random_oversampling,0.4,32,LR,0.48,0.16206896551724137,0.734375,0.2655367231638418,0.6531232081422018
random_oversampling,0.4,32,SVM,0.478,0.16151202749140894,0.734375,0.26478873239436623,0.5719341313073395
random_oversampling,0.4,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
random_oversampling,0.6,32,LR,0.48,0.16206896551724137,0.734375,0.2655367231638418,0.6395140481651376
random_oversampling,0.6,32,SVM,0.479,0.16179001721170397,0.734375,0.2651622002820875,0.5743710579128442
random_oversampling,0.6,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
random_oversampling,0.8,32,LR,0.48,0.16206896551724137,0.734375,0.2655367231638418,0.6417090739678899
random_oversampling,0.8,32,SVM,0.479,0.16179001721170397,0.734375,0.2651622002820875,0.5738514191513762
random_oversampling,0.8,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
random_oversampling,1.0,32,LR,0.48,0.16206896551724137,0.734375,0.2655367231638418,0.6391646358944953
random_oversampling,1.0,32,SVM,0.478,0.16151202749140894,0.734375,0.26478873239436623,0.5718355791284404
random_oversampling,1.0,32,DT,0.481,0.1611785095320624,0.7265625,0.26382978723404255,0.5857583142201834
random_oversampling,0.2,29,LR,0.652,0.16109422492401215,0.424,0.23348017621145378,0.5860205714285714
random_oversampling,0.2,29,SVM,0.652,0.16109422492401215,0.424,0.23348017621145378,0.5730285714285714
random_oversampling,0.2,29,DT,0.653,0.16964285714285715,0.456,0.2472885032537961,0.5685714285714285
random_oversampling,0.4,29,LR,0.652,0.16314199395770393,0.432,0.23684210526315788,0.5879862857142857
random_oversampling,0.4,29,SVM,0.653,0.16363636363636364,0.432,0.23736263736263738,0.5720777142857143
random_oversampling,0.4,29,DT,0.652,0.16516516516516516,0.44,0.24017467248908297,0.5611428571428572
random_oversampling,0.6,29,LR,0.654,0.1661631419939577,0.44,0.2412280701754386,0.5875931428571428
random_oversampling,0.6,29,SVM,0.654,0.1661631419939577,0.44,0.2412280701754386,0.5746468571428571
random_oversampling,0.6,29,DT,0.65,0.16417910447761194,0.44,0.2391304347826087,0.5599999999999999
random_oversampling,0.8,29,LR,0.653,0.16566265060240964,0.44,0.24070021881838075,0.5891199999999999
random_oversampling,0.8,29,SVM,0.654,0.1661631419939577,0.44,0.2412280701754386,0.5746102857142857
random_oversampling,0.8,29,DT,0.649,0.16568047337278108,0.448,0.24190064794816418,0.5628571428571428
random_oversampling,1.0,29,LR,0.651,0.16467065868263472,0.44,0.23965141612200436,0.5875748571428571
random_oversampling,1.0,29,SVM,0.654,0.1661631419939577,0.44,0.2412280701754386,0.5739977142857142
random_oversampling,1.0,29,DT,0.649,0.16568047337278108,0.448,0.24190064794816418,0.5628571428571428
random_oversampling,0.2,18,LR,0.36,0.14814814814814814,0.8503937007874016,0.2523364485981308,0.6952584535180526
random_oversampling,0.2,18,SVM,0.35,0.14709851551956815,0.8582677165354331,0.2511520737327189,0.5021331096499535
random_oversampling,0.2,18,DT,0.369,0.14606741573033707,0.8188976377952756,0.2479141835518474,0.5612243057246711
random_oversampling,0.4,18,LR,0.361,0.14835164835164835,0.8503937007874016,0.25263157894736843,0.6964941238015351
random_oversampling,0.4,18,SVM,0.351,0.1472972972972973,0.8582677165354331,0.251441753171857,0.5040362222763393
random_oversampling,0.4,18,DT,0.369,0.14804469273743018,0.8346456692913385,0.2514827995255042,0.567952846100423
random_oversampling,0.6,18,LR,0.364,0.1479944674965422,0.84251968503937,0.25176470588235295,0.696169422121204
random_oversampling,0.6,18,SVM,0.355,0.1480978260869565,0.8582677165354331,0.2526071842410197,0.5070126543460418
random_oversampling,0.6,18,DT,0.372,0.14965034965034965,0.84251968503937,0.2541567695961995,0.5730353293467182
random_oversampling,0.8,18,LR,0.369,0.149025069637883,0.84251968503937,0.2532544378698225,0.6898016613902643
random_oversampling,0.8,18,SVM,0.36,0.14814814814814814,0.8503937007874016,0.2523364485981308,0.5150039234786373
random_oversampling,0.8,18,DT,0.368,0.1507607192254495,0.8582677165354331,0.2564705882352941,0.5774729189779113
random_oversampling,1.0,18,LR,0.372,0.14965034965034965,0.84251968503937,0.2541567695961995,0.6908118443957392
random_oversampling,1.0,18,SVM,0.363,0.1487603305785124,0.8503937007874016,0.2532239155920281,0.5237347908830984
random_oversampling,1.0,18,DT,0.379,0.15112994350282485,0.84251968503937,0.2562874251497006,0.5770444931496965
random_oversampling,0.2,14,LR,0.658,0.14893617021276595,0.2916666666666667,0.19718309859154928,0.5625567886812046
random_oversampling,0.2,14,SVM,0.663,0.19558359621451105,0.4305555555555556,0.2689804772234274,0.6155081775700935
random_oversampling,0.2,14,DT,0.63,0.17714285714285713,0.4305555555555556,0.25101214574898784,0.5470534787123572
