algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.871,0.6578947368421053,0.1773049645390071,0.2793296089385475,0.8449045979573807
No_Sampling,0,82,SVM,0.928,0.9259259259259259,0.5319148936170213,0.6756756756756757,0.915438535655017
No_Sampling,0,82,DT,0.907,0.6445783132530121,0.7588652482269503,0.6970684039087949,0.8450903656734285
No_Sampling,0,15,LR,0.863,0.5,0.16058394160583941,0.2430939226519337,0.8085950385262749
No_Sampling,0,15,SVM,0.926,0.9315068493150684,0.49635036496350365,0.6476190476190475,0.926432154003603
No_Sampling,0,15,DT,0.919,0.6891891891891891,0.7445255474452555,0.7157894736842104,0.8456115570366486
No_Sampling,0,4,LR,0.876,0.627906976744186,0.2,0.30337078651685395,0.8254592164418754
No_Sampling,0,4,SVM,0.925,0.9285714285714286,0.48148148148148145,0.6341463414634146,0.9408691928923143
No_Sampling,0,4,DT,0.917,0.6857142857142857,0.7111111111111111,0.6981818181818182,0.8301220295439949
No_Sampling,0,95,LR,0.865,0.5526315789473685,0.1510791366906475,0.23728813559322032,0.8013268827446753
No_Sampling,0,95,SVM,0.926,0.9452054794520548,0.49640287769784175,0.6509433962264152,0.9112459161590587
No_Sampling,0,95,DT,0.906,0.6415094339622641,0.7338129496402878,0.6845637583892618,0.8338054295239766
No_Sampling,0,36,LR,0.878,0.5909090909090909,0.2,0.29885057471264365,0.8415649867374005
No_Sampling,0,36,SVM,0.928,0.9027777777777778,0.5,0.6435643564356436,0.9255260831122899
No_Sampling,0,36,DT,0.93,0.734375,0.7230769230769231,0.7286821705426355,0.8419982316534041
No_Sampling,0,32,LR,0.875,0.5333333333333333,0.1875,0.27745664739884396,0.8311980361238531
No_Sampling,0,32,SVM,0.926,0.8552631578947368,0.5078125,0.6372549019607844,0.9296158256880734
No_Sampling,0,32,DT,0.911,0.6274509803921569,0.75,0.6832740213523132,0.8423165137614679
No_Sampling,0,29,LR,0.891,0.6739130434782609,0.248,0.36257309941520466,0.8534308571428572
No_Sampling,0,29,SVM,0.941,0.9230769230769231,0.576,0.7093596059113301,0.9241325714285713
No_Sampling,0,29,DT,0.913,0.6217948717948718,0.776,0.6903914590747331,0.8542857142857143
No_Sampling,0,18,LR,0.879,0.5652173913043478,0.2047244094488189,0.30057803468208094,0.8265822442297807
No_Sampling,0,18,SVM,0.943,0.926829268292683,0.5984251968503937,0.7272727272727273,0.9379819790567416
No_Sampling,0,18,DT,0.913,0.631578947368421,0.7559055118110236,0.6881720430107526,0.8458794454816859
No_Sampling,0,14,LR,0.861,0.5454545454545454,0.20833333333333334,0.3015075376884422,0.8185520508826585
No_Sampling,0,14,SVM,0.929,0.8762886597938144,0.5902777777777778,0.7053941908713695,0.9093733774662512
No_Sampling,0,14,DT,0.917,0.6993464052287581,0.7430555555555556,0.7205387205387205,0.8446586188992732
No_Sampling,0,87,LR,0.86,0.515625,0.2323943661971831,0.3203883495145631,0.8134295282182606
No_Sampling,0,87,SVM,0.916,0.8222222222222222,0.5211267605633803,0.6379310344827586,0.8990856561279098
No_Sampling,0,87,DT,0.911,0.6625766871165644,0.7605633802816901,0.7081967213114754,0.848230408089563
