algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.872,0.696969696969697,0.16312056737588654,0.26436781609195403,0.8382747545802063
gaussian_copula,0.2,82,SVM,0.913,0.7872340425531915,0.524822695035461,0.6297872340425531,0.9017660317538949
gaussian_copula,0.2,82,DT,0.909,0.654320987654321,0.75177304964539,0.6996699669966997,0.8432904829134983
gaussian_copula,0.4,82,LR,0.87,0.6666666666666666,0.15602836879432624,0.25287356321839083,0.8297872340425532
gaussian_copula,0.4,82,SVM,0.911,0.7653061224489796,0.5319148936170213,0.6276150627615062,0.8964737159322649
gaussian_copula,0.4,82,DT,0.91,0.6583850931677019,0.75177304964539,0.7019867549668873,0.8438725550904482
gaussian_copula,0.6,82,LR,0.87,0.6486486486486487,0.1702127659574468,0.2696629213483146,0.8239087178725055
gaussian_copula,0.6,82,SVM,0.908,0.7578947368421053,0.5106382978723404,0.6101694915254237,0.8948884980886566
gaussian_copula,0.6,82,DT,0.909,0.654320987654321,0.75177304964539,0.6996699669966997,0.8432904829134983
gaussian_copula,0.8,82,LR,0.869,0.631578947368421,0.1702127659574468,0.2681564245810056,0.8201273128080648
gaussian_copula,0.8,82,SVM,0.905,0.7395833333333334,0.5035460992907801,0.5991561181434598,0.8931794351010163
gaussian_copula,0.8,82,DT,0.91,0.6583850931677019,0.75177304964539,0.7019867549668873,0.8438725550904482
gaussian_copula,1.0,82,LR,0.868,0.6216216216216216,0.16312056737588654,0.25842696629213485,0.8170311842072672
gaussian_copula,1.0,82,SVM,0.905,0.7395833333333334,0.5035460992907801,0.5991561181434598,0.8927005672107596
gaussian_copula,1.0,82,DT,0.909,0.654320987654321,0.75177304964539,0.6996699669966997,0.8432904829134983
gaussian_copula,0.2,15,LR,0.844,0.36619718309859156,0.1897810218978102,0.25,0.7614162106384958
gaussian_copula,0.2,15,SVM,0.921,0.9027777777777778,0.4744525547445255,0.6220095693779903,0.9248420465021863
gaussian_copula,0.2,15,DT,0.917,0.6753246753246753,0.7591240875912408,0.7147766323024055,0.8505933300065127
gaussian_copula,0.4,15,LR,0.836,0.3291139240506329,0.1897810218978102,0.24074074074074073,0.7400343395556157
gaussian_copula,0.4,15,SVM,0.922,0.8933333333333333,0.48905109489051096,0.6320754716981132,0.9229474503302856
gaussian_copula,0.4,15,DT,0.916,0.6709677419354839,0.7591240875912408,0.7123287671232876,0.8500139557307306
