algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_pruning,0.2,82,LR,0.875,0.66,0.23404255319148937,0.3455497382198953,0.8456146434498304
random_pruning,0.2,82,SVM,0.934,0.9120879120879121,0.5886524822695035,0.7155172413793104,0.9152073580528242
random_pruning,0.2,82,DT,0.902,0.6214689265536724,0.7801418439716312,0.6918238993710693,0.8510720861301695
random_pruning,0.4,82,LR,0.873,0.6029411764705882,0.2907801418439716,0.3923444976076555,0.8452183389889282
random_pruning,0.4,82,SVM,0.935,0.8725490196078431,0.6312056737588653,0.7325102880658437,0.9164540658360786
random_pruning,0.4,82,DT,0.909,0.6404494382022472,0.8085106382978723,0.7147335423197492,0.8670026998241399
random_pruning,0.6,82,LR,0.865,0.53,0.375886524822695,0.4398340248962656,0.8466219172879564
random_pruning,0.6,82,SVM,0.939,0.8333333333333334,0.7092198581560284,0.7662835249042146,0.915727507657758
random_pruning,0.6,82,DT,0.886,0.5671641791044776,0.8085106382978723,0.6666666666666666,0.8536150397542913
random_pruning,0.8,82,LR,0.835,0.43258426966292135,0.5460992907801419,0.48275862068965514,0.8448137781850906
random_pruning,0.8,82,SVM,0.919,0.7027027027027027,0.7375886524822695,0.7197231833910034,0.9128377876303471
random_pruning,0.8,82,DT,0.854,0.48936170212765956,0.8156028368794326,0.6117021276595745,0.8379527572057233
random_pruning,1.0,82,LR,0.768,0.3573667711598746,0.8085106382978723,0.49565217391304345,0.8453669531617666
random_pruning,1.0,82,SVM,0.868,0.5194805194805194,0.851063829787234,0.6451612903225805,0.9101214508045806
random_pruning,1.0,82,DT,0.804,0.4080267558528428,0.8652482269503546,0.5545454545454545,0.8295973381550377
random_pruning,0.2,15,LR,0.853,0.4107142857142857,0.1678832116788321,0.23834196891191708,0.8103204743256845
random_pruning,0.2,15,SVM,0.927,0.872093023255814,0.5474452554744526,0.6726457399103138,0.9225414654363068
random_pruning,0.2,15,DT,0.913,0.6644736842105263,0.7372262773722628,0.6989619377162629,0.8390650506212414
