algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.866,0.5333333333333333,0.3971631205673759,0.45528455284552843,0.8467375060890528
smote,0.2,82,SVM,0.93,0.8198198198198198,0.6453900709219859,0.7222222222222222,0.9156036625137263
smote,0.2,82,DT,0.916,0.6770186335403726,0.7730496453900709,0.7218543046357615,0.8562570694936386
smote,0.4,82,LR,0.836,0.43783783783783786,0.574468085106383,0.49693251533742333,0.8467953004896013
smote,0.4,82,SVM,0.924,0.76,0.6737588652482269,0.7142857142857142,0.9137212163244411
smote,0.4,82,DT,0.917,0.6746987951807228,0.7943262411347518,0.729641693811075,0.8657312230120792
smote,0.6,82,LR,0.815,0.4067796610169492,0.6808510638297872,0.5092838196286473,0.8466219172879565
smote,0.6,82,SVM,0.921,0.7152777777777778,0.7304964539007093,0.7228070175438596,0.9114589783601251
smote,0.6,82,DT,0.914,0.6627218934911243,0.7943262411347518,0.7225806451612903,0.8639850064812292
smote,0.8,82,LR,0.794,0.38095238095238093,0.7375886524822695,0.5024154589371981,0.8459201281384424
smote,0.8,82,SVM,0.914,0.6821192052980133,0.7304964539007093,0.7054794520547947,0.9053162592161428
smote,0.8,82,DT,0.909,0.6344086021505376,0.8368794326241135,0.7217125382262998,0.8788588082794606
smote,1.0,82,LR,0.777,0.3660130718954248,0.7943262411347518,0.5011185682326621,0.8461430493976998
smote,1.0,82,SVM,0.912,0.6709677419354839,0.7375886524822695,0.7027027027027026,0.906199687910237
smote,1.0,82,DT,0.896,0.5978835978835979,0.8014184397163121,0.6848484848484849,0.8564717344099605
smote,0.2,15,LR,0.852,0.44554455445544555,0.3284671532846715,0.37815126050420167,0.8125956813356903
smote,0.2,15,SVM,0.93,0.8383838383838383,0.6058394160583942,0.7033898305084745,0.9259077568488805
smote,0.2,15,DT,0.916,0.6666666666666666,0.7737226277372263,0.7162162162162162,0.856154477252159
smote,0.4,15,LR,0.829,0.39634146341463417,0.4744525547445255,0.4318936877076412,0.8157758963385238
smote,0.4,15,SVM,0.925,0.7672413793103449,0.6496350364963503,0.7035573122529645,0.921949404132588
smote,0.4,15,DT,0.914,0.660377358490566,0.7664233576642335,0.7094594594594593,0.8519254679398803
smote,0.6,15,LR,0.814,0.3901345291479821,0.635036496350365,0.48333333333333334,0.8163848736794916
smote,0.6,15,SVM,0.917,0.7045454545454546,0.6788321167883211,0.6914498141263941,0.918168669807411
smote,0.6,15,DT,0.903,0.6176470588235294,0.7664233576642335,0.6840390879478828,0.8455523509062766
smote,0.8,15,LR,0.791,0.36259541984732824,0.6934306569343066,0.47619047619047616,0.8172053014860738
smote,0.8,15,SVM,0.913,0.6838235294117647,0.6788321167883211,0.6813186813186813,0.9171621655910887
smote,0.8,15,DT,0.911,0.6481481481481481,0.7664233576642335,0.7023411371237458,0.8501873451125338
smote,1.0,15,LR,0.771,0.3466666666666667,0.7591240875912408,0.47597254004576656,0.8161649651952535
smote,1.0,15,SVM,0.911,0.6690140845070423,0.6934306569343066,0.6810035842293908,0.9141764850166201
smote,1.0,15,DT,0.916,0.6687898089171974,0.7664233576642335,0.7142857142857142,0.8530842164914446
smote,0.2,4,LR,0.853,0.4444444444444444,0.35555555555555557,0.3950617283950617,0.8270605865981587
smote,0.2,4,SVM,0.937,0.8461538461538461,0.6518518518518519,0.7364016736401673,0.9357824876900022
smote,0.2,4,DT,0.909,0.6466666666666666,0.7185185185185186,0.6807017543859649,0.8286234211089702
smote,0.4,4,LR,0.827,0.3869047619047619,0.48148148148148145,0.429042904290429,0.8282252194390923
smote,0.4,4,SVM,0.923,0.7416666666666667,0.6592592592592592,0.6980392156862745,0.922646114322415
smote,0.4,4,DT,0.91,0.6490066225165563,0.725925925925926,0.6853146853146853,0.8323271248126738
smote,0.6,4,LR,0.807,0.37606837606837606,0.6518518518518519,0.47696476964769646,0.8290216227788482
smote,0.6,4,SVM,0.921,0.7258064516129032,0.6666666666666666,0.6949806949806949,0.9173453222008136
smote,0.6,4,DT,0.921,0.6818181818181818,0.7777777777777778,0.726643598615917,0.8605651894669235
smote,0.8,4,LR,0.787,0.35447761194029853,0.7037037037037037,0.47146401985111663,0.8307086277028473
smote,0.8,4,SVM,0.918,0.6992481203007519,0.6888888888888889,0.6940298507462687,0.9127296082209376
smote,0.8,4,DT,0.905,0.6282051282051282,0.725925925925926,0.6735395189003437,0.8294369514022694
smote,1.0,4,LR,0.773,0.3466666666666667,0.7703703703703704,0.47816091954022993,0.8292357096981375
smote,1.0,4,SVM,0.9,0.6190476190476191,0.674074074074074,0.6453900709219859,0.9041490044958254
smote,1.0,4,DT,0.906,0.6273291925465838,0.7481481481481481,0.6824324324324323,0.8393919931492185
smote,0.2,95,LR,0.845,0.4322033898305085,0.3669064748201439,0.39688715953307396,0.8093483401432164
smote,0.2,95,SVM,0.926,0.8095238095238095,0.6115107913669064,0.6967213114754098,0.9046198581204723
smote,0.2,95,DT,0.921,0.7083333333333334,0.7338129496402878,0.7208480565371025,0.8425162309177048
smote,0.4,95,LR,0.824,0.39779005524861877,0.5179856115107914,0.44999999999999996,0.8145455760826878
smote,0.4,95,SVM,0.918,0.7317073170731707,0.6474820143884892,0.6870229007633588,0.9053635140667955
smote,0.4,95,DT,0.914,0.673202614379085,0.7410071942446043,0.7054794520547945,0.8414675924765413
smote,0.6,95,LR,0.813,0.39090909090909093,0.6187050359712231,0.479108635097493,0.8146291329305894
smote,0.6,95,SVM,0.924,0.7299270072992701,0.7194244604316546,0.7246376811594203,0.8996983597790758
smote,0.6,95,DT,0.898,0.6163522012578616,0.7050359712230215,0.6577181208053692,0.8170940599436827
smote,0.8,95,LR,0.798,0.37549407114624506,0.6834532374100719,0.4846938775510204,0.8155315468879253
smote,0.8,95,SVM,0.908,0.6598639455782312,0.697841726618705,0.6783216783216783,0.8976428613206995
smote,0.8,95,DT,0.918,0.6912751677852349,0.7410071942446043,0.7152777777777777,0.8437904728482022
smote,1.0,95,LR,0.783,0.3626760563380282,0.7410071942446043,0.4869976359338062,0.815122118333208
smote,1.0,95,SVM,0.902,0.6339869281045751,0.697841726618705,0.6643835616438355,0.8947100159593578
smote,1.0,95,DT,0.906,0.6573426573426573,0.6762589928057554,0.6666666666666666,0.8096742118500322
smote,0.2,36,LR,0.86,0.45614035087719296,0.4,0.42622950819672134,0.8437223695844386
