algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.845,0.7241379310344828,0.4772727272727273,0.5753424657534246,0.8259032634032635
RRP,0.2,82,SVM,0.84,0.75,0.4090909090909091,0.5294117647058824,0.791520979020979
RRP,0.2,82,DT,0.8,0.5526315789473685,0.4772727272727273,0.5121951219512196,0.6841491841491841
RRP,0.4,82,LR,0.825,0.6153846153846154,0.5454545454545454,0.5783132530120482,0.8173076923076923
RRP,0.4,82,SVM,0.845,0.696969696969697,0.5227272727272727,0.5974025974025974,0.7950174825174826
RRP,0.4,82,DT,0.755,0.42424242424242425,0.3181818181818182,0.36363636363636365,0.5981934731934732
RRP,0.6,82,LR,0.83,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.8225524475524475
RRP,0.6,82,SVM,0.835,0.6341463414634146,0.5909090909090909,0.611764705882353,0.8110431235431235
RRP,0.6,82,DT,0.775,0.4897959183673469,0.5454545454545454,0.5161290322580645,0.6925990675990676
RRP,0.8,82,LR,0.795,0.5272727272727272,0.6590909090909091,0.5858585858585857,0.8203671328671328
RRP,0.8,82,SVM,0.795,0.5283018867924528,0.6363636363636364,0.5773195876288659,0.8135198135198135
RRP,0.8,82,DT,0.805,0.5531914893617021,0.5909090909090909,0.5714285714285714,0.7281468531468531
RRP,1.0,82,LR,0.745,0.4461538461538462,0.6590909090909091,0.5321100917431192,0.8133741258741259
RRP,1.0,82,SVM,0.745,0.45454545454545453,0.7954545454545454,0.5785123966942148,0.7995337995337995
RRP,1.0,82,DT,0.745,0.4406779661016949,0.5909090909090909,0.5048543689320388,0.6896853146853147
RRP,0.2,15,LR,0.785,0.5454545454545454,0.391304347826087,0.4556962025316456,0.7970073404856013
RRP,0.2,15,SVM,0.8,0.6071428571428571,0.3695652173913043,0.45945945945945943,0.791501976284585
RRP,0.2,15,DT,0.775,0.5111111111111111,0.5,0.5054945054945055,0.6785714285714286
RRP,0.4,15,LR,0.76,0.47619047619047616,0.43478260869565216,0.4545454545454545,0.7896668548842461
RRP,0.4,15,SVM,0.785,0.5454545454545454,0.391304347826087,0.4556962025316456,0.7885375494071146
RRP,0.4,15,DT,0.745,0.4576271186440678,0.5869565217391305,0.5142857142857143,0.6895821569734613
RRP,0.6,15,LR,0.765,0.49056603773584906,0.5652173913043478,0.5252525252525252,0.7951722190852626
RRP,0.6,15,SVM,0.785,0.5333333333333333,0.5217391304347826,0.5274725274725275,0.7950310559006211
RRP,0.6,15,DT,0.785,0.5348837209302325,0.5,0.5168539325842696,0.685064935064935
RRP,0.8,15,LR,0.745,0.4603174603174603,0.6304347826086957,0.5321100917431192,0.7913608130999437
RRP,0.8,15,SVM,0.78,0.5208333333333334,0.5434782608695652,0.5319148936170214,0.7939017504234896
RRP,0.8,15,DT,0.755,0.46938775510204084,0.5,0.4842105263157895,0.6655844155844156
RRP,1.0,15,LR,0.715,0.4225352112676056,0.6521739130434783,0.5128205128205128,0.7840203274985884
RRP,1.0,15,SVM,0.76,0.48333333333333334,0.6304347826086957,0.5471698113207547,0.7967250141163185
RRP,1.0,15,DT,0.79,0.5384615384615384,0.6086956521739131,0.5714285714285715,0.7264257481648786
RRP,0.2,4,LR,0.845,0.6756756756756757,0.5681818181818182,0.617283950617284,0.7835081585081585
RRP,0.2,4,SVM,0.86,0.8076923076923077,0.4772727272727273,0.6000000000000001,0.8165792540792541
RRP,0.2,4,DT,0.79,0.5238095238095238,0.5,0.5116279069767442,0.6858974358974359
RRP,0.4,4,LR,0.825,0.6046511627906976,0.5909090909090909,0.5977011494252873,0.7636946386946387
RRP,0.4,4,SVM,0.855,0.6923076923076923,0.6136363636363636,0.6506024096385543,0.8076923076923077
RRP,0.4,4,DT,0.785,0.5087719298245614,0.6590909090909091,0.5742574257425743,0.7398018648018648
RRP,0.6,4,LR,0.785,0.5094339622641509,0.6136363636363636,0.556701030927835,0.7810314685314685
RRP,0.6,4,SVM,0.84,0.6304347826086957,0.6590909090909091,0.6444444444444444,0.7996794871794871
RRP,0.6,4,DT,0.78,0.5,0.5454545454545454,0.5217391304347826,0.6958041958041958
RRP,0.8,4,LR,0.75,0.45588235294117646,0.7045454545454546,0.5535714285714286,0.8018648018648018
RRP,0.8,4,SVM,0.74,0.4411764705882353,0.6818181818181818,0.5357142857142857,0.7950174825174825
RRP,0.8,4,DT,0.795,0.5294117647058824,0.6136363636363636,0.5684210526315789,0.7298951048951049
RRP,1.0,4,LR,0.74,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.7897727272727273
RRP,1.0,4,SVM,0.705,0.4025974025974026,0.7045454545454546,0.5123966942148761,0.787004662004662
RRP,1.0,4,DT,0.76,0.46,0.5227272727272727,0.4893617021276596,0.6748251748251748
RRP,0.2,95,LR,0.85,0.6829268292682927,0.6222222222222222,0.6511627906976744,0.8453046594982078
RRP,0.2,95,SVM,0.855,0.7352941176470589,0.5555555555555556,0.6329113924050633,0.8443010752688171
RRP,0.2,95,DT,0.79,0.5283018867924528,0.6222222222222222,0.5714285714285715,0.7304659498207886
RRP,0.4,95,LR,0.83,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.8425806451612904
RRP,0.4,95,SVM,0.855,0.7105263157894737,0.6,0.6506024096385543,0.8691039426523296
RRP,0.4,95,DT,0.77,0.49122807017543857,0.6222222222222222,0.5490196078431373,0.7175627240143369
RRP,0.6,95,LR,0.795,0.5357142857142857,0.6666666666666666,0.594059405940594,0.8394265232974911
RRP,0.6,95,SVM,0.845,0.6521739130434783,0.6666666666666666,0.6593406593406593,0.875268817204301
RRP,0.6,95,DT,0.81,0.5660377358490566,0.6666666666666666,0.6122448979591837,0.7591397849462365
RRP,0.8,95,LR,0.795,0.5357142857142857,0.6666666666666666,0.594059405940594,0.861505376344086
RRP,0.8,95,SVM,0.81,0.5573770491803278,0.7555555555555555,0.6415094339622641,0.8858781362007169
RRP,0.8,95,DT,0.78,0.509090909090909,0.6222222222222222,0.5599999999999999,0.7240143369175628
RRP,1.0,95,LR,0.775,0.5,0.8,0.6153846153846154,0.8531899641577062
RRP,1.0,95,SVM,0.77,0.49295774647887325,0.7777777777777778,0.603448275862069,0.8791397849462366
RRP,1.0,95,DT,0.795,0.5384615384615384,0.6222222222222222,0.577319587628866,0.7336917562724016
RRP,0.2,36,LR,0.865,0.7333333333333333,0.5365853658536586,0.6197183098591549,0.8166896763307255
RRP,0.2,36,SVM,0.855,0.7307692307692307,0.4634146341463415,0.5671641791044776,0.7927596257094646
RRP,0.2,36,DT,0.77,0.4528301886792453,0.5853658536585366,0.5106382978723404,0.7014879582758092
RRP,0.4,36,LR,0.84,0.6285714285714286,0.5365853658536586,0.5789473684210527,0.8016566958122412
RRP,0.4,36,SVM,0.835,0.6176470588235294,0.5121951219512195,0.56,0.7853965332106152
RRP,0.4,36,DT,0.755,0.42592592592592593,0.5609756097560976,0.4842105263157895,0.6830035281484892
RRP,0.6,36,LR,0.815,0.5434782608695652,0.6097560975609756,0.5747126436781609,0.8119343457585521
RRP,0.6,36,SVM,0.82,0.5555555555555556,0.6097560975609756,0.5813953488372093,0.7814081914404049
RRP,0.6,36,DT,0.75,0.42857142857142855,0.6585365853658537,0.5192307692307693,0.7160607455131156
RRP,0.8,36,LR,0.795,0.5,0.6097560975609756,0.5494505494505494,0.8030372756557755
RRP,0.8,36,SVM,0.775,0.46551724137931033,0.6585365853658537,0.5454545454545454,0.778953827274122
RRP,0.8,36,DT,0.8,0.5094339622641509,0.6585365853658537,0.574468085106383,0.7475072863936187
RRP,1.0,36,LR,0.74,0.4126984126984127,0.6341463414634146,0.5,0.8110139591961958
RRP,1.0,36,SVM,0.715,0.38571428571428573,0.6585365853658537,0.48648648648648646,0.7812547936800123
RRP,1.0,36,DT,0.735,0.39655172413793105,0.5609756097560976,0.4646464646464647,0.6704249117962878
RRP,0.2,32,LR,0.85,0.6296296296296297,0.4594594594594595,0.53125,0.8094843309567237
RRP,0.2,32,SVM,0.845,0.6363636363636364,0.3783783783783784,0.4745762711864407,0.7904161830542199
RRP,0.2,32,DT,0.8,0.46938775510204084,0.6216216216216216,0.5348837209302325,0.7310562095838169
RRP,0.4,32,LR,0.825,0.5238095238095238,0.5945945945945946,0.5569620253164557,0.8242414193334439
RRP,0.4,32,SVM,0.845,0.6,0.4864864864864865,0.5373134328358209,0.7817940640026529
RRP,0.4,32,DT,0.765,0.3958333333333333,0.5135135135135135,0.44705882352941173,0.6677997015420329
RRP,0.6,32,LR,0.815,0.5,0.6756756756756757,0.5747126436781609,0.8232465594428785
RRP,0.6,32,SVM,0.84,0.5714285714285714,0.5405405405405406,0.5555555555555556,0.7970485823246559
RRP,0.6,32,DT,0.77,0.4117647058823529,0.5675675675675675,0.47727272727272724,0.691759243906483
RRP,0.8,32,LR,0.78,0.43636363636363634,0.6486486486486487,0.5217391304347827,0.8200961697894213
