algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_pruning,0.2,82,LR,0.855,0.8,0.45454545454545453,0.5797101449275363,0.8202214452214451
random_pruning,0.2,82,SVM,0.84,0.8333333333333334,0.3409090909090909,0.4838709677419354,0.7805944055944056
random_pruning,0.2,82,DT,0.76,0.4473684210526316,0.38636363636363635,0.41463414634146345,0.6258741258741258
random_pruning,0.4,82,LR,0.84,0.6875,0.5,0.5789473684210527,0.8041958041958042
random_pruning,0.4,82,SVM,0.85,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.7792832167832168
random_pruning,0.4,82,DT,0.77,0.48,0.5454545454545454,0.5106382978723404,0.6893939393939393
random_pruning,0.6,82,LR,0.835,0.6486486486486487,0.5454545454545454,0.5925925925925926,0.8066724941724943
random_pruning,0.6,82,SVM,0.84,0.6764705882352942,0.5227272727272727,0.5897435897435898,0.7805944055944055
random_pruning,0.6,82,DT,0.74,0.42592592592592593,0.5227272727272727,0.46938775510204084,0.662004662004662
random_pruning,0.8,82,LR,0.81,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.8047785547785549
random_pruning,0.8,82,SVM,0.805,0.5531914893617021,0.5909090909090909,0.5714285714285714,0.7891899766899767
random_pruning,0.8,82,DT,0.71,0.3870967741935484,0.5454545454545454,0.45283018867924524,0.6509324009324009
random_pruning,1.0,82,LR,0.725,0.4098360655737705,0.5681818181818182,0.4761904761904762,0.7690850815850817
random_pruning,1.0,82,SVM,0.72,0.4166666666666667,0.6818181818181818,0.5172413793103449,0.7719988344988346
random_pruning,1.0,82,DT,0.64,0.3157894736842105,0.5454545454545454,0.39999999999999997,0.6060606060606062
random_pruning,0.2,15,LR,0.79,0.5666666666666667,0.3695652173913043,0.4473684210526315,0.807029926595144
random_pruning,0.2,15,SVM,0.81,0.6818181818181818,0.32608695652173914,0.4411764705882353,0.7796442687747036
random_pruning,0.2,15,DT,0.755,0.47058823529411764,0.5217391304347826,0.49484536082474223,0.6732072275550537
random_pruning,0.4,15,LR,0.785,0.5483870967741935,0.3695652173913043,0.44155844155844154,0.7989836250705815
random_pruning,0.4,15,SVM,0.81,0.6538461538461539,0.3695652173913043,0.4722222222222222,0.7814793901750423
random_pruning,0.4,15,DT,0.765,0.4857142857142857,0.3695652173913043,0.4197530864197531,0.6263410502540937
random_pruning,0.6,15,LR,0.795,0.5714285714285714,0.43478260869565216,0.49382716049382713,0.7989836250705815
random_pruning,0.6,15,SVM,0.785,0.5428571428571428,0.41304347826086957,0.46913580246913583,0.784867306606437
random_pruning,0.6,15,DT,0.77,0.5,0.5869565217391305,0.54,0.7058159232072275
random_pruning,0.8,15,LR,0.775,0.5121951219512195,0.45652173913043476,0.48275862068965514,0.791501976284585
random_pruning,0.8,15,SVM,0.775,0.5135135135135135,0.41304347826086957,0.4578313253012048,0.778514963297572
random_pruning,0.8,15,DT,0.75,0.46875,0.6521739130434783,0.5454545454545454,0.7156973461321288
random_pruning,1.0,15,LR,0.73,0.44285714285714284,0.6739130434782609,0.5344827586206895,0.7769621682665161
random_pruning,1.0,15,SVM,0.76,0.48214285714285715,0.5869565217391305,0.5294117647058824,0.7662337662337662
random_pruning,1.0,15,DT,0.755,0.4788732394366197,0.7391304347826086,0.5811965811965811,0.7494353472614341
random_pruning,0.2,4,LR,0.835,0.6571428571428571,0.5227272727272727,0.5822784810126581,0.7791375291375292
