algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.76,0.5,0.5625,0.5294117647058824,0.7665844298245614
gaussian_copula,0.2,82,SVM,0.765,0.5094339622641509,0.5625,0.5346534653465346,0.7260142543859649
gaussian_copula,0.2,82,DT,0.755,0.4915254237288136,0.6041666666666666,0.5420560747663552,0.7033991228070174
gaussian_copula,0.4,82,LR,0.765,0.5094339622641509,0.5625,0.5346534653465346,0.7708333333333334
gaussian_copula,0.4,82,SVM,0.765,0.5094339622641509,0.5625,0.5346534653465346,0.7330043859649122
gaussian_copula,0.4,82,DT,0.765,0.5084745762711864,0.625,0.5607476635514018,0.7171052631578948
gaussian_copula,0.6,82,LR,0.76,0.5,0.5625,0.5294117647058824,0.767406798245614
gaussian_copula,0.6,82,SVM,0.76,0.5,0.5416666666666666,0.52,0.7229989035087719
gaussian_copula,0.6,82,DT,0.76,0.5,0.6041666666666666,0.5471698113207547,0.706688596491228
gaussian_copula,0.8,82,LR,0.755,0.4909090909090909,0.5625,0.5242718446601942,0.7686403508771931
gaussian_copula,0.8,82,SVM,0.755,0.49056603773584906,0.5416666666666666,0.5148514851485149,0.723547149122807
gaussian_copula,0.8,82,DT,0.77,0.5172413793103449,0.625,0.5660377358490567,0.7203947368421052
gaussian_copula,1.0,82,LR,0.755,0.4909090909090909,0.5625,0.5242718446601942,0.7679550438596492
gaussian_copula,1.0,82,SVM,0.755,0.49056603773584906,0.5416666666666666,0.5148514851485149,0.7261513157894737
gaussian_copula,1.0,82,DT,0.76,0.5,0.625,0.5555555555555556,0.7138157894736842
gaussian_copula,0.2,15,LR,0.77,0.5217391304347826,0.5,0.5106382978723404,0.7402001096491228
gaussian_copula,0.2,15,SVM,0.76,0.5,0.4791666666666667,0.48936170212765956,0.6907894736842104
gaussian_copula,0.2,15,DT,0.75,0.48,0.5,0.4897959183673469,0.6644736842105263
gaussian_copula,0.4,15,LR,0.76,0.5,0.4791666666666667,0.48936170212765956,0.7297149122807017
gaussian_copula,0.4,15,SVM,0.76,0.5,0.4791666666666667,0.48936170212765956,0.6869517543859649
gaussian_copula,0.4,15,DT,0.75,0.4807692307692308,0.5208333333333334,0.5,0.6716008771929826
gaussian_copula,0.6,15,LR,0.765,0.5106382978723404,0.5,0.5052631578947369,0.7201891447368421
gaussian_copula,0.6,15,SVM,0.76,0.5,0.4791666666666667,0.48936170212765956,0.6853070175438597
gaussian_copula,0.6,15,DT,0.745,0.4716981132075472,0.5208333333333334,0.49504950495049505,0.668311403508772
gaussian_copula,0.8,15,LR,0.765,0.5106382978723404,0.5,0.5052631578947369,0.7198464912280701
gaussian_copula,0.8,15,SVM,0.755,0.48936170212765956,0.4791666666666667,0.4842105263157895,0.6862664473684209
gaussian_copula,0.8,15,DT,0.75,0.4807692307692308,0.5208333333333334,0.5,0.6716008771929826
gaussian_copula,1.0,15,LR,0.76,0.5,0.4791666666666667,0.48936170212765956,0.7214912280701755
gaussian_copula,1.0,15,SVM,0.755,0.48936170212765956,0.4791666666666667,0.4842105263157895,0.6920230263157896
gaussian_copula,1.0,15,DT,0.74,0.46153846153846156,0.5,0.48000000000000004,0.6578947368421052
gaussian_copula,0.2,4,LR,0.755,0.4915254237288136,0.6041666666666666,0.5420560747663552,0.7649396929824561
gaussian_copula,0.2,4,SVM,0.755,0.49122807017543857,0.5833333333333334,0.5333333333333333,0.7225877192982456
gaussian_copula,0.2,4,DT,0.765,0.5081967213114754,0.6458333333333334,0.5688073394495413,0.7242324561403509
gaussian_copula,0.4,4,LR,0.76,0.5,0.6041666666666666,0.5471698113207547,0.765625
gaussian_copula,0.4,4,SVM,0.755,0.49122807017543857,0.5833333333333334,0.5333333333333333,0.7249177631578948
gaussian_copula,0.4,4,DT,0.77,0.5166666666666667,0.6458333333333334,0.5740740740740741,0.7275219298245614
gaussian_copula,0.6,4,LR,0.755,0.49122807017543857,0.5833333333333334,0.5333333333333333,0.7654879385964911
gaussian_copula,0.6,4,SVM,0.76,0.5,0.5833333333333334,0.5384615384615384,0.7291666666666666
gaussian_copula,0.6,4,DT,0.765,0.5081967213114754,0.6458333333333334,0.5688073394495413,0.7242324561403509
