algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.665,0.379746835443038,0.625,0.47244094488188976,0.7630208333333333
RRP,0.2,82,SVM,0.67,0.38461538461538464,0.625,0.4761904761904762,0.7373903508771928
RRP,0.2,82,DT,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.6721491228070176
RRP,0.4,82,LR,0.65,0.36585365853658536,0.625,0.4615384615384615,0.765282346491228
RRP,0.4,82,SVM,0.66,0.375,0.625,0.46875,0.7520559210526315
RRP,0.4,82,DT,0.675,0.39759036144578314,0.6875,0.5038167938931297,0.6792763157894737
RRP,0.6,82,LR,0.66,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.7583607456140351
RRP,0.6,82,SVM,0.66,0.3780487804878049,0.6458333333333334,0.47692307692307695,0.7472587719298245
RRP,0.6,82,DT,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.6688596491228069
RRP,0.8,82,LR,0.655,0.37349397590361444,0.6458333333333334,0.47328244274809167,0.7602110745614035
RRP,0.8,82,SVM,0.66,0.3780487804878049,0.6458333333333334,0.47692307692307695,0.7435581140350878
RRP,0.8,82,DT,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.6655701754385964
RRP,1.0,82,LR,0.655,0.3793103448275862,0.6875,0.4888888888888889,0.7557565789473684
RRP,1.0,82,SVM,0.65,0.36904761904761907,0.6458333333333334,0.46969696969696967,0.7509594298245614
RRP,1.0,82,DT,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.6721491228070176
RRP,0.2,15,LR,0.59,0.3191489361702128,0.625,0.4225352112676056,0.7051123903508771
RRP,0.2,15,SVM,0.58,0.30851063829787234,0.6041666666666666,0.4084507042253521,0.6873629385964912
RRP,0.2,15,DT,0.575,0.31313131313131315,0.6458333333333334,0.4217687074829932,0.5992324561403508
RRP,0.4,15,LR,0.58,0.30851063829787234,0.6041666666666666,0.4084507042253521,0.6964089912280702
RRP,0.4,15,SVM,0.575,0.30526315789473685,0.6041666666666666,0.4055944055944056,0.6914747807017544
RRP,0.4,15,DT,0.58,0.32,0.6666666666666666,0.43243243243243246,0.6096491228070174
RRP,0.6,15,LR,0.585,0.3157894736842105,0.625,0.4195804195804196,0.7138843201754387
RRP,0.6,15,SVM,0.58,0.30851063829787234,0.6041666666666666,0.4084507042253521,0.6979166666666666
RRP,0.6,15,DT,0.585,0.32323232323232326,0.6666666666666666,0.435374149659864,0.6129385964912281
RRP,0.8,15,LR,0.585,0.31958762886597936,0.6458333333333334,0.4275862068965517,0.7180646929824561
RRP,0.8,15,SVM,0.58,0.30851063829787234,0.6041666666666666,0.4084507042253521,0.6988760964912281
RRP,0.8,15,DT,0.58,0.32,0.6666666666666666,0.43243243243243246,0.6096491228070174
RRP,1.0,15,LR,0.58,0.3125,0.625,0.4166666666666667,0.7108689692982455
RRP,1.0,15,SVM,0.58,0.3125,0.625,0.4166666666666667,0.7054550438596491
RRP,1.0,15,DT,0.575,0.31683168316831684,0.6666666666666666,0.4295302013422819,0.6063596491228069
RRP,0.2,4,LR,0.7,0.38,0.3958333333333333,0.3877551020408163,0.5479714912280702
RRP,0.2,4,SVM,0.715,0.4117647058823529,0.4375,0.42424242424242425,0.6539199561403508
RRP,0.2,4,DT,0.68,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.5899122807017544
RRP,0.4,4,LR,0.71,0.40384615384615385,0.4375,0.42000000000000004,0.5792214912280701
RRP,0.4,4,SVM,0.72,0.42,0.4375,0.4285714285714286,0.6474780701754386
RRP,0.4,4,DT,0.68,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.5899122807017544
RRP,0.6,4,LR,0.69,0.36,0.375,0.3673469387755102,0.548656798245614
RRP,0.6,4,SVM,0.72,0.42,0.4375,0.4285714285714286,0.647203947368421
RRP,0.6,4,DT,0.69,0.3793103448275862,0.4583333333333333,0.4150943396226415,0.6107456140350878
RRP,0.8,4,LR,0.665,0.32727272727272727,0.375,0.34951456310679613,0.5600328947368421
RRP,0.8,4,SVM,0.7,0.3888888888888889,0.4375,0.411764705882353,0.647203947368421
RRP,0.8,4,DT,0.68,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.5899122807017544
RRP,1.0,4,LR,0.675,0.34545454545454546,0.3958333333333333,0.3689320388349515,0.5512609649122807
RRP,1.0,4,SVM,0.705,0.39622641509433965,0.4375,0.4158415841584158,0.6481633771929824
RRP,1.0,4,DT,0.68,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.5899122807017544
RRP,0.2,95,LR,0.62,0.36,0.75,0.48648648648648657,0.7357456140350876
RRP,0.2,95,SVM,0.62,0.35106382978723405,0.6875,0.46478873239436624,0.7032620614035087
RRP,0.2,95,DT,0.61,0.3469387755102041,0.7083333333333334,0.4657534246575343,0.6436403508771931
RRP,0.4,95,LR,0.62,0.35714285714285715,0.7291666666666666,0.47945205479452063,0.7392406798245614
RRP,0.4,95,SVM,0.635,0.3711340206185567,0.75,0.496551724137931,0.7177905701754386
RRP,0.4,95,DT,0.62,0.3541666666666667,0.7083333333333334,0.47222222222222227,0.6502192982456141
RRP,0.6,95,LR,0.62,0.3627450980392157,0.7708333333333334,0.49333333333333335,0.7502741228070176
RRP,0.6,95,SVM,0.61,0.35294117647058826,0.75,0.48,0.7304002192982455
RRP,0.6,95,DT,0.63,0.3645833333333333,0.7291666666666666,0.486111111111111,0.663925438596491
RRP,0.8,95,LR,0.615,0.3592233009708738,0.7708333333333334,0.490066225165563,0.7354714912280701
RRP,0.8,95,SVM,0.605,0.34951456310679613,0.75,0.47682119205298007,0.7273848684210525
RRP,0.8,95,DT,0.625,0.35789473684210527,0.7083333333333334,0.4755244755244756,0.6535087719298246
RRP,1.0,95,LR,0.585,0.3364485981308411,0.75,0.464516129032258,0.7371847587719298
RRP,1.0,95,SVM,0.595,0.34285714285714286,0.75,0.47058823529411753,0.7324561403508772
RRP,1.0,95,DT,0.625,0.36082474226804123,0.7291666666666666,0.48275862068965525,0.6606359649122806
RRP,0.2,36,LR,0.715,0.44,0.6875,0.5365853658536586,0.7717927631578947
RRP,0.2,36,SVM,0.73,0.4594594594594595,0.7083333333333334,0.5573770491803279,0.7501370614035089
RRP,0.2,36,DT,0.7,0.4268292682926829,0.7291666666666666,0.5384615384615384,0.7099780701754386
RRP,0.4,36,LR,0.7,0.4268292682926829,0.7291666666666666,0.5384615384615384,0.7652138157894737
RRP,0.4,36,SVM,0.72,0.4473684210526316,0.7083333333333334,0.5483870967741936,0.7586348684210525
RRP,0.4,36,DT,0.7,0.4268292682926829,0.7291666666666666,0.5384615384615384,0.7099780701754386
RRP,0.6,36,LR,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.7735060307017543
RRP,0.6,36,SVM,0.715,0.44155844155844154,0.7083333333333334,0.5439999999999999,0.7654879385964913
RRP,0.6,36,DT,0.705,0.43209876543209874,0.7291666666666666,0.5426356589147286,0.7132675438596492
RRP,0.8,36,LR,0.675,0.4,0.7083333333333334,0.5112781954887219,0.7648026315789473
RRP,0.8,36,SVM,0.71,0.4358974358974359,0.7083333333333334,0.5396825396825398,0.7605537280701754
RRP,0.8,36,DT,0.705,0.43209876543209874,0.7291666666666666,0.5426356589147286,0.7132675438596492
RRP,1.0,36,LR,0.69,0.4146341463414634,0.7083333333333334,0.523076923076923,0.7711759868421053
RRP,1.0,36,SVM,0.71,0.4358974358974359,0.7083333333333334,0.5396825396825398,0.7613760964912282
