algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
svm_smote,0.2,82,LR,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.7656249999999999
svm_smote,0.2,82,SVM,0.66,0.375,0.625,0.46875,0.7246436403508771
svm_smote,0.2,82,DT,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.6655701754385964
svm_smote,0.4,82,LR,0.67,0.3875,0.6458333333333334,0.48437500000000006,0.7624725877192982
svm_smote,0.4,82,SVM,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7188870614035087
svm_smote,0.4,82,DT,0.66,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.662280701754386
svm_smote,0.6,82,LR,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.762061403508772
svm_smote,0.6,82,SVM,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7161458333333334
svm_smote,0.6,82,DT,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.6721491228070176
svm_smote,0.8,82,LR,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7637746710526316
svm_smote,0.8,82,SVM,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.7124451754385965
svm_smote,0.8,82,DT,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.6655701754385964
svm_smote,1.0,82,LR,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7624725877192984
svm_smote,1.0,82,SVM,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.7155975877192983
svm_smote,1.0,82,DT,0.655,0.37349397590361444,0.6458333333333334,0.47328244274809167,0.6518640350877194
svm_smote,0.2,15,LR,0.6,0.32978723404255317,0.6458333333333334,0.43661971830985913,0.6959978070175438
svm_smote,0.2,15,SVM,0.59,0.31521739130434784,0.6041666666666666,0.4142857142857143,0.6573464912280702
svm_smote,0.2,15,DT,0.59,0.32653061224489793,0.6666666666666666,0.43835616438356156,0.6162280701754386
svm_smote,0.4,15,LR,0.605,0.3368421052631579,0.6666666666666666,0.4475524475524475,0.7005208333333333
