algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
svm_smote,0.2,82,LR,0.835,0.6774193548387096,0.4772727272727273,0.5599999999999999,0.8259032634032634
svm_smote,0.2,82,SVM,0.84,0.7307692307692307,0.4318181818181818,0.5428571428571428,0.800990675990676
svm_smote,0.2,82,DT,0.8,0.5526315789473685,0.4772727272727273,0.5121951219512196,0.6841491841491841
svm_smote,0.4,82,LR,0.83,0.6470588235294118,0.5,0.5641025641025642,0.8111888111888113
svm_smote,0.4,82,SVM,0.835,0.6666666666666666,0.5,0.5714285714285715,0.787441724941725
svm_smote,0.4,82,DT,0.775,0.4883720930232558,0.4772727272727273,0.4827586206896552,0.6681235431235432
svm_smote,0.6,82,LR,0.815,0.5897435897435898,0.5227272727272727,0.5542168674698795,0.8123543123543123
svm_smote,0.6,82,SVM,0.82,0.6052631578947368,0.5227272727272727,0.5609756097560975,0.7886072261072261
svm_smote,0.6,82,DT,0.775,0.4857142857142857,0.38636363636363635,0.4303797468354431,0.6354895104895104
svm_smote,0.8,82,LR,0.805,0.5581395348837209,0.5454545454545454,0.5517241379310344,0.8187645687645687
svm_smote,0.8,82,SVM,0.82,0.5952380952380952,0.5681818181818182,0.5813953488372093,0.7974941724941725
svm_smote,0.8,82,DT,0.77,0.4782608695652174,0.5,0.4888888888888889,0.673076923076923
svm_smote,1.0,82,LR,0.785,0.5102040816326531,0.5681818181818182,0.5376344086021506,0.8193473193473193
svm_smote,1.0,82,SVM,0.805,0.5555555555555556,0.5681818181818182,0.5617977528089888,0.8052156177156177
svm_smote,1.0,82,DT,0.83,0.6190476190476191,0.5909090909090909,0.6046511627906977,0.7441724941724941
svm_smote,0.2,15,LR,0.805,0.6060606060606061,0.43478260869565216,0.5063291139240507,0.8178994918125353
svm_smote,0.2,15,SVM,0.8,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.8005364201016374
svm_smote,0.2,15,DT,0.8,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.7024280067758328
svm_smote,0.4,15,LR,0.805,0.5945945945945946,0.4782608695652174,0.5301204819277109,0.821005081874647
svm_smote,0.4,15,SVM,0.795,0.5714285714285714,0.43478260869565216,0.49382716049382713,0.7923489553924336
svm_smote,0.4,15,DT,0.76,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.6612083568605307
svm_smote,0.6,15,LR,0.795,0.5609756097560976,0.5,0.5287356321839081,0.8224167137210615
svm_smote,0.6,15,SVM,0.81,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.7982778091473743
svm_smote,0.6,15,DT,0.79,0.5476190476190477,0.5,0.5227272727272727,0.6883116883116884
svm_smote,0.8,15,LR,0.785,0.5319148936170213,0.5434782608695652,0.5376344086021505,0.8087238848108413
svm_smote,0.8,15,SVM,0.8,0.5625,0.5869565217391305,0.5744680851063831,0.7988424618859402
svm_smote,0.8,15,DT,0.76,0.4791666666666667,0.5,0.48936170212765956,0.6688311688311689
svm_smote,1.0,15,LR,0.76,0.48148148148148145,0.5652173913043478,0.52,0.8077357425183512
svm_smote,1.0,15,SVM,0.795,0.5531914893617021,0.5652173913043478,0.5591397849462365,0.7878317334839073
svm_smote,1.0,15,DT,0.815,0.6046511627906976,0.5652173913043478,0.5842696629213482,0.7274138904573687
svm_smote,0.2,4,LR,0.83,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7842365967365966
svm_smote,0.2,4,SVM,0.87,0.8,0.5454545454545454,0.6486486486486486,0.8031759906759907
svm_smote,0.2,4,DT,0.82,0.5869565217391305,0.6136363636363636,0.6,0.745920745920746
svm_smote,0.4,4,LR,0.835,0.627906976744186,0.6136363636363636,0.6206896551724139,0.7797202797202797
svm_smote,0.4,4,SVM,0.85,0.6944444444444444,0.5681818181818182,0.625,0.8020104895104895
svm_smote,0.4,4,DT,0.76,0.46551724137931033,0.6136363636363636,0.5294117647058822,0.7074592074592075
svm_smote,0.6,4,LR,0.805,0.5510204081632653,0.6136363636363636,0.5806451612903225,0.777972027972028
svm_smote,0.6,4,SVM,0.845,0.6511627906976745,0.6363636363636364,0.6436781609195402,0.8066724941724942
svm_smote,0.6,4,DT,0.805,0.5490196078431373,0.6363636363636364,0.5894736842105264,0.7444638694638694
svm_smote,0.8,4,LR,0.81,0.56,0.6363636363636364,0.5957446808510639,0.7871503496503497
svm_smote,0.8,4,SVM,0.82,0.58,0.6590909090909091,0.6170212765957446,0.7961829836829837
svm_smote,0.8,4,DT,0.765,0.4716981132075472,0.5681818181818182,0.5154639175257733,0.6943473193473194
svm_smote,1.0,4,LR,0.775,0.49122807017543857,0.6363636363636364,0.5544554455445544,0.7826340326340326
svm_smote,1.0,4,SVM,0.805,0.5454545454545454,0.6818181818181818,0.6060606060606061,0.7902097902097902
svm_smote,1.0,4,DT,0.75,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.692890442890443
svm_smote,0.2,95,LR,0.835,0.65,0.5777777777777777,0.6117647058823529,0.8605017921146954
svm_smote,0.2,95,SVM,0.865,0.8,0.5333333333333333,0.64,0.8553405017921146
svm_smote,0.2,95,DT,0.785,0.5217391304347826,0.5333333333333333,0.5274725274725275,0.6956989247311827
svm_smote,0.4,95,LR,0.835,0.6363636363636364,0.6222222222222222,0.6292134831460675,0.8607885304659498
svm_smote,0.4,95,SVM,0.865,0.7647058823529411,0.5777777777777777,0.6582278481012658,0.869820788530466
svm_smote,0.4,95,DT,0.775,0.5,0.6,0.5454545454545454,0.7129032258064516
svm_smote,0.6,95,LR,0.835,0.625,0.6666666666666666,0.6451612903225806,0.8633691756272401
svm_smote,0.6,95,SVM,0.865,0.7045454545454546,0.6888888888888889,0.6966292134831461,0.872258064516129
svm_smote,0.6,95,DT,0.815,0.5740740740740741,0.6888888888888889,0.6262626262626262,0.7702508960573476
svm_smote,0.8,95,LR,0.82,0.5849056603773585,0.6888888888888889,0.6326530612244898,0.8594982078853047
svm_smote,0.8,95,SVM,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8732616487455197
svm_smote,0.8,95,DT,0.8,0.543859649122807,0.6888888888888889,0.6078431372549019,0.760573476702509
svm_smote,1.0,95,LR,0.82,0.5818181818181818,0.7111111111111111,0.64,0.8622222222222222
svm_smote,1.0,95,SVM,0.835,0.625,0.6666666666666666,0.6451612903225806,0.8676702508960573
svm_smote,1.0,95,DT,0.815,0.5714285714285714,0.7111111111111111,0.6336633663366337,0.778136200716846
svm_smote,0.2,36,LR,0.865,0.7333333333333333,0.5365853658536586,0.6197183098591549,0.8192974382574015
svm_smote,0.2,36,SVM,0.865,0.7692307692307693,0.4878048780487805,0.5970149253731344,0.7935266145114281
svm_smote,0.2,36,DT,0.78,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.6625249271360638
svm_smote,0.4,36,LR,0.86,0.6857142857142857,0.5853658536585366,0.6315789473684211,0.8208314158613285
svm_smote,0.4,36,SVM,0.86,0.7096774193548387,0.5365853658536586,0.6111111111111112,0.7844761466482588
svm_smote,0.4,36,DT,0.75,0.41818181818181815,0.5609756097560976,0.47916666666666663,0.6798588740604388
svm_smote,0.6,36,LR,0.85,0.6410256410256411,0.6097560975609756,0.625,0.8277343150789999
svm_smote,0.6,36,SVM,0.845,0.6388888888888888,0.5609756097560976,0.5974025974025975,0.7899984660223961
svm_smote,0.6,36,DT,0.74,0.3877551020408163,0.4634146341463415,0.4222222222222223,0.6373676944316613
svm_smote,0.8,36,LR,0.83,0.5777777777777777,0.6341463414634146,0.6046511627906976,0.8329498389323516
svm_smote,0.8,36,SVM,0.84,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.794600398834177
svm_smote,0.8,36,DT,0.785,0.475,0.4634146341463415,0.4691358024691358,0.6656695812241141
svm_smote,1.0,36,LR,0.815,0.5416666666666666,0.6341463414634146,0.5842696629213483,0.84138671575395
svm_smote,1.0,36,SVM,0.825,0.5625,0.6585365853658537,0.6067415730337078,0.8021168890934193
svm_smote,1.0,36,DT,0.785,0.4782608695652174,0.5365853658536586,0.5057471264367817,0.6928209848136218
svm_smote,0.2,32,LR,0.84,0.5862068965517241,0.4594594594594595,0.5151515151515151,0.8018570717957221
svm_smote,0.2,32,SVM,0.85,0.6521739130434783,0.40540540540540543,0.5,0.7826231139114577
svm_smote,0.2,32,DT,0.765,0.3958333333333333,0.5135135135135135,0.44705882352941173,0.6677997015420329
svm_smote,0.4,32,LR,0.83,0.5384615384615384,0.5675675675675675,0.5526315789473685,0.8033493616315702
svm_smote,0.4,32,SVM,0.86,0.6551724137931034,0.5135135135135135,0.5757575757575758,0.7754932846957386
svm_smote,0.4,32,DT,0.765,0.4,0.5405405405405406,0.45977011494252873,0.6782457303929696
svm_smote,0.6,32,LR,0.815,0.5,0.5945945945945946,0.5432098765432098,0.8018570717957223
svm_smote,0.6,32,SVM,0.83,0.5384615384615384,0.5675675675675675,0.5526315789473685,0.7875974133642845
svm_smote,0.6,32,DT,0.8,0.4666666666666667,0.5675675675675675,0.5121951219512195,0.7101641518819433
svm_smote,0.8,32,LR,0.795,0.4583333333333333,0.5945945945945946,0.5176470588235293,0.8094843309567237
svm_smote,0.8,32,SVM,0.82,0.5121951219512195,0.5675675675675675,0.5384615384615384,0.7963853423976124
svm_smote,0.8,32,DT,0.75,0.3898305084745763,0.6216216216216216,0.4791666666666667,0.70038136295805
svm_smote,1.0,32,LR,0.79,0.45098039215686275,0.6216216216216216,0.5227272727272727,0.8068313712485491
svm_smote,1.0,32,SVM,0.81,0.4883720930232558,0.5675675675675675,0.525,0.7925717128171116
svm_smote,1.0,32,DT,0.755,0.38,0.5135135135135135,0.4367816091954023,0.6616647322168794
svm_smote,0.2,29,LR,0.81,0.6428571428571429,0.391304347826087,0.4864864864864865,0.8080180688876342
svm_smote,0.2,29,SVM,0.805,0.6521739130434783,0.32608695652173914,0.43478260869565216,0.7881140598531904
svm_smote,0.2,29,DT,0.74,0.4423076923076923,0.5,0.4693877551020408,0.6558441558441558
svm_smote,0.4,29,LR,0.815,0.6451612903225806,0.43478260869565216,0.5194805194805194,0.8125352907961604
svm_smote,0.4,29,SVM,0.81,0.6333333333333333,0.41304347826086957,0.5,0.7895256916996047
svm_smote,0.4,29,DT,0.81,0.6,0.5217391304347826,0.5581395348837209,0.7089215132693394
svm_smote,0.6,29,LR,0.795,0.5641025641025641,0.4782608695652174,0.5176470588235293,0.8107001693958216
svm_smote,0.6,29,SVM,0.81,0.6176470588235294,0.45652173913043476,0.5249999999999999,0.7923489553924336
svm_smote,0.6,29,DT,0.75,0.4583333333333333,0.4782608695652174,0.4680851063829787,0.6547148503670243
svm_smote,0.8,29,LR,0.785,0.5348837209302325,0.5,0.5168539325842696,0.8108413325804631
svm_smote,0.8,29,SVM,0.8,0.5833333333333334,0.45652173913043476,0.5121951219512195,0.8036420101637493
svm_smote,0.8,29,DT,0.775,0.5098039215686274,0.5652173913043478,0.5360824742268041,0.7014398644833426
svm_smote,1.0,29,LR,0.77,0.5,0.5,0.5,0.8101355166572558
svm_smote,1.0,29,SVM,0.785,0.5365853658536586,0.4782608695652174,0.5057471264367817,0.812111801242236
svm_smote,1.0,29,DT,0.775,0.5094339622641509,0.5869565217391305,0.5454545454545454,0.7090626764539808
svm_smote,0.2,18,LR,0.815,0.6785714285714286,0.40425531914893614,0.5066666666666666,0.7577527464886664
svm_smote,0.2,18,SVM,0.82,0.6896551724137931,0.425531914893617,0.5263157894736842,0.7930746766791823
svm_smote,0.2,18,DT,0.725,0.4090909090909091,0.3829787234042553,0.39560439560439564,0.6065220414406897
svm_smote,0.4,18,LR,0.82,0.6666666666666666,0.46808510638297873,0.55,0.7619246280072313
svm_smote,0.4,18,SVM,0.825,0.6875,0.46808510638297873,0.5569620253164557,0.7857043526630509
svm_smote,0.4,18,DT,0.77,0.5106382978723404,0.5106382978723404,0.5106382978723404,0.6801557502433596
svm_smote,0.6,18,LR,0.8,0.5945945945945946,0.46808510638297873,0.5238095238095238,0.7644277569183702
svm_smote,0.6,18,SVM,0.83,0.6756756756756757,0.5319148936170213,0.5952380952380952,0.7826449728827702
svm_smote,0.6,18,DT,0.715,0.41379310344827586,0.5106382978723404,0.4571428571428571,0.644208037825059
svm_smote,0.8,18,LR,0.8,0.5813953488372093,0.5319148936170213,0.5555555555555555,0.7651230705047977
svm_smote,0.8,18,SVM,0.81,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.7808371575580587
svm_smote,0.8,18,DT,0.74,0.4528301886792453,0.5106382978723404,0.48,0.6605479071061048
svm_smote,1.0,18,LR,0.785,0.5416666666666666,0.5531914893617021,0.5473684210526316,0.7578918092059519
svm_smote,1.0,18,SVM,0.81,0.5882352941176471,0.6382978723404256,0.6122448979591838,0.7692949520233625
svm_smote,1.0,18,DT,0.755,0.48,0.5106382978723404,0.49484536082474223,0.6703518286747321
svm_smote,0.2,14,LR,0.84,0.6875,0.5,0.5789473684210527,0.7963286713286715
svm_smote,0.2,14,SVM,0.83,0.7083333333333334,0.38636363636363635,0.5,0.8090034965034965
svm_smote,0.2,14,DT,0.785,0.5121951219512195,0.4772727272727273,0.49411764705882355,0.6745337995337995
svm_smote,0.4,14,LR,0.82,0.6,0.5454545454545454,0.5714285714285713,0.8004079254079254
svm_smote,0.4,14,SVM,0.84,0.7,0.4772727272727273,0.5675675675675677,0.824009324009324
svm_smote,0.4,14,DT,0.775,0.48717948717948717,0.4318181818181818,0.45783132530120485,0.6518065268065268
svm_smote,0.6,14,LR,0.815,0.5853658536585366,0.5454545454545454,0.5647058823529411,0.8085664335664335
svm_smote,0.6,14,SVM,0.82,0.6111111111111112,0.5,0.55,0.8186188811188811
svm_smote,0.6,14,DT,0.795,0.5306122448979592,0.5909090909090909,0.5591397849462366,0.7217365967365967
svm_smote,0.8,14,LR,0.805,0.5531914893617021,0.5909090909090909,0.5714285714285714,0.8076923076923077
svm_smote,0.8,14,SVM,0.805,0.5581395348837209,0.5454545454545454,0.5517241379310344,0.8001165501165501
svm_smote,0.8,14,DT,0.79,0.5238095238095238,0.5,0.5116279069767442,0.6858974358974359
svm_smote,1.0,14,LR,0.785,0.5094339622641509,0.6136363636363636,0.556701030927835,0.8030303030303031
svm_smote,1.0,14,SVM,0.73,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.8004079254079254
svm_smote,1.0,14,DT,0.765,0.46511627906976744,0.45454545454545453,0.45977011494252873,0.6535547785547785
svm_smote,0.2,87,LR,0.795,0.5897435897435898,0.4791666666666667,0.5287356321839081,0.770422149122807
svm_smote,0.2,87,SVM,0.785,0.5641025641025641,0.4583333333333333,0.5057471264367815,0.7733004385964912
svm_smote,0.2,87,DT,0.765,0.5135135135135135,0.3958333333333333,0.44705882352941173,0.6387061403508771
svm_smote,0.4,87,LR,0.78,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.7741228070175439
svm_smote,0.4,87,SVM,0.795,0.5777777777777777,0.5416666666666666,0.5591397849462364,0.7791940789473684
svm_smote,0.4,87,DT,0.765,0.5094339622641509,0.5625,0.5346534653465346,0.6957236842105263
svm_smote,0.6,87,LR,0.765,0.509090909090909,0.5833333333333334,0.5436893203883495,0.7743969298245614
svm_smote,0.6,87,SVM,0.79,0.5625,0.5625,0.5625,0.7881030701754386
svm_smote,0.6,87,DT,0.785,0.543859649122807,0.6458333333333334,0.5904761904761905,0.7373903508771931
svm_smote,0.8,87,LR,0.77,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.7738486842105262
svm_smote,0.8,87,SVM,0.795,0.5660377358490566,0.625,0.594059405940594,0.7926260964912282
svm_smote,0.8,87,DT,0.775,0.5272727272727272,0.6041666666666666,0.5631067961165047,0.7165570175438596
svm_smote,1.0,87,LR,0.75,0.4838709677419355,0.625,0.5454545454545454,0.7746710526315789
svm_smote,1.0,87,SVM,0.78,0.5370370370370371,0.6041666666666666,0.5686274509803922,0.796875
svm_smote,1.0,87,DT,0.75,0.4807692307692308,0.5208333333333334,0.5,0.6716008771929826
