algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.845,0.8095238095238095,0.38636363636363635,0.523076923076923,0.8301282051282052
No_Sampling,0,82,SVM,0.825,0.9090909090909091,0.22727272727272727,0.36363636363636365,0.7721445221445221
No_Sampling,0,82,DT,0.765,0.4666666666666667,0.4772727272727273,0.4719101123595506,0.6617132867132867
No_Sampling,0,15,LR,0.79,0.5769230769230769,0.32608695652173914,0.41666666666666663,0.8109824957651044
No_Sampling,0,15,SVM,0.8,0.6875,0.2391304347826087,0.3548387096774194,0.7747035573122529
No_Sampling,0,15,DT,0.765,0.4883720930232558,0.45652173913043476,0.47191011235955055,0.656832298136646
No_Sampling,0,4,LR,0.85,0.71875,0.5227272727272727,0.6052631578947368,0.7763694638694638
No_Sampling,0,4,SVM,0.845,0.8421052631578947,0.36363636363636365,0.5079365079365079,0.787878787878788
No_Sampling,0,4,DT,0.775,0.4883720930232558,0.4772727272727273,0.4827586206896552,0.6681235431235432
No_Sampling,0,95,LR,0.855,0.7352941176470589,0.5555555555555556,0.6329113924050633,0.8498924731182795
No_Sampling,0,95,SVM,0.82,0.8461538461538461,0.24444444444444444,0.37931034482758624,0.8498924731182796
No_Sampling,0,95,DT,0.81,0.5853658536585366,0.5333333333333333,0.5581395348837209,0.7118279569892474
No_Sampling,0,36,LR,0.86,0.7407407407407407,0.4878048780487805,0.588235294117647,0.8222119957048627
No_Sampling,0,36,SVM,0.85,0.7894736842105263,0.36585365853658536,0.4999999999999999,0.7912256481055377
No_Sampling,0,36,DT,0.745,0.38636363636363635,0.4146341463414634,0.39999999999999997,0.6224114127933732
No_Sampling,0,32,LR,0.855,0.6818181818181818,0.40540540540540543,0.5084745762711864,0.8018570717957222
No_Sampling,0,32,SVM,0.83,0.5882352941176471,0.2702702702702703,0.37037037037037035,0.7708506052064334
No_Sampling,0,32,DT,0.775,0.4,0.43243243243243246,0.4155844155844156,0.6425965843143757
No_Sampling,0,29,LR,0.81,0.6666666666666666,0.34782608695652173,0.4571428571428571,0.8005364201016375
No_Sampling,0,29,SVM,0.8,0.6666666666666666,0.2608695652173913,0.37500000000000006,0.7598814229249012
No_Sampling,0,29,DT,0.745,0.4418604651162791,0.41304347826086957,0.4269662921348315,0.6285996612083569
No_Sampling,0,18,LR,0.825,0.8,0.3404255319148936,0.47761194029850745,0.77555277430121
No_Sampling,0,18,SVM,0.81,0.8,0.2553191489361702,0.3870967741935484,0.7533027395355306
No_Sampling,0,18,DT,0.755,0.4722222222222222,0.3617021276595745,0.40963855421686746,0.6187595605618134
No_Sampling,0,14,LR,0.845,0.7407407407407407,0.45454545454545453,0.5633802816901408,0.7811771561771562
No_Sampling,0,14,SVM,0.825,0.9090909090909091,0.22727272727272727,0.36363636363636365,0.7956002331002331
No_Sampling,0,14,DT,0.785,0.5106382978723404,0.5454545454545454,0.5274725274725275,0.6990093240093239
No_Sampling,0,87,LR,0.8,0.625,0.4166666666666667,0.5,0.7674067982456141
No_Sampling,0,87,SVM,0.8,0.6333333333333333,0.3958333333333333,0.4871794871794872,0.7669956140350876
No_Sampling,0,87,DT,0.785,0.5531914893617021,0.5416666666666666,0.5473684210526316,0.7017543859649121
