algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.785,0.5531914893617021,0.5416666666666666,0.5473684210526316,0.7582236842105263
RRP,0.2,82,SVM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7077850877192982
RRP,0.2,82,DT,0.76,0.5,0.5625,0.5294117647058824,0.6924342105263158
RRP,0.2,82,GB,0.775,0.5365853658536586,0.4583333333333333,0.4943820224719101,0.7516447368421053
RRP,0.2,82,lightGBM,0.78,0.5454545454545454,0.5,0.5217391304347826,0.745202850877193
RRP,0.4,82,LR,0.775,0.5294117647058824,0.5625,0.5454545454545454,0.7645285087719297
RRP,0.4,82,SVM,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7225877192982456
RRP,0.4,82,DT,0.755,0.4909090909090909,0.5625,0.5242718446601942,0.6891447368421053
RRP,0.4,82,GB,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7450657894736842
RRP,0.4,82,lightGBM,0.785,0.5609756097560976,0.4791666666666667,0.5168539325842697,0.7438322368421053
RRP,0.6,82,LR,0.775,0.5283018867924528,0.5833333333333334,0.5544554455445545,0.7343064692982456
RRP,0.6,82,SVM,0.78,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.7186129385964912
RRP,0.6,82,DT,0.77,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.7061403508771931
RRP,0.6,82,GB,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.7600054824561403
RRP,0.6,82,lightGBM,0.78,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.7467105263157895
RRP,0.8,82,LR,0.76,0.5,0.5833333333333334,0.5384615384615384,0.7529468201754386
RRP,0.8,82,SVM,0.76,0.5,0.5208333333333334,0.5102040816326531,0.7256030701754386
RRP,0.8,82,DT,0.785,0.5490196078431373,0.5833333333333334,0.5656565656565656,0.7160087719298247
RRP,0.8,82,GB,0.775,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.7524671052631579
RRP,0.8,82,lightGBM,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7294407894736842
RRP,1.0,82,LR,0.76,0.5,0.5833333333333334,0.5384615384615384,0.7476014254385965
RRP,1.0,82,SVM,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.7266995614035088
RRP,1.0,82,DT,0.72,0.4375,0.5833333333333334,0.5,0.6732456140350878
RRP,1.0,82,GB,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.7505482456140351
RRP,1.0,82,lightGBM,0.79,0.5714285714285714,0.5,0.5333333333333333,0.753700657894737
RRP,0.2,15,LR,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7593887061403508
RRP,0.2,15,SVM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7198464912280702
RRP,0.2,15,DT,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.6913377192982457
RRP,0.2,15,GB,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7518503289473684
RRP,0.2,15,lightGBM,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7457510964912281
RRP,0.4,15,LR,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.7509594298245613
RRP,0.4,15,SVM,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7143640350877193
RRP,0.4,15,DT,0.77,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.6847587719298247
RRP,0.4,15,GB,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.7567160087719298
RRP,0.4,15,lightGBM,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7531524122807017
RRP,0.6,15,LR,0.76,0.5,0.5625,0.5294117647058824,0.7462993421052632
RRP,0.6,15,SVM,0.77,0.52,0.5416666666666666,0.5306122448979592,0.7202576754385965
RRP,0.6,15,DT,0.76,0.5,0.6041666666666666,0.5471698113207547,0.706688596491228
RRP,0.6,15,GB,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7520559210526316
RRP,0.6,15,lightGBM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7468475877192983
RRP,0.8,15,LR,0.765,0.509090909090909,0.5833333333333334,0.5436893203883495,0.7468475877192983
RRP,0.8,15,SVM,0.765,0.5102040816326531,0.5208333333333334,0.5154639175257731,0.7145010964912281
RRP,0.8,15,DT,0.765,0.5098039215686274,0.5416666666666666,0.5252525252525253,0.6885964912280701
RRP,0.8,15,GB,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.7556195175438597
RRP,0.8,15,lightGBM,0.795,0.5777777777777777,0.5416666666666666,0.5591397849462365,0.7275219298245614
RRP,1.0,15,LR,0.76,0.5,0.5833333333333334,0.5384615384615384,0.7454084429824562
RRP,1.0,15,SVM,0.77,0.5192307692307693,0.5625,0.54,0.724780701754386
RRP,1.0,15,DT,0.73,0.44642857142857145,0.5208333333333334,0.4807692307692308,0.6584429824561403
RRP,1.0,15,GB,0.77,0.5217391304347826,0.5,0.5106382978723404,0.7491776315789472
RRP,1.0,15,lightGBM,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7375274122807017
RRP,0.2,4,LR,0.78,0.5454545454545454,0.5,0.5217391304347826,0.744654605263158
RRP,0.2,4,SVM,0.765,0.5121951219512195,0.4375,0.47191011235955055,0.7090186403508771
RRP,0.2,4,DT,0.75,0.4772727272727273,0.4375,0.45652173913043476,0.643092105263158
RRP,0.2,4,GB,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7456825657894737
RRP,0.2,4,lightGBM,0.785,0.5609756097560976,0.4791666666666667,0.5168539325842697,0.7394462719298246
RRP,0.4,4,LR,0.775,0.5294117647058824,0.5625,0.5454545454545454,0.7401315789473684
RRP,0.4,4,SVM,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7225877192982455
RRP,0.4,4,DT,0.735,0.45454545454545453,0.5208333333333334,0.4854368932038835,0.6617324561403509
RRP,0.4,4,GB,0.775,0.5333333333333333,0.5,0.5161290322580645,0.757469846491228
RRP,0.4,4,lightGBM,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7430098684210527
RRP,0.6,4,LR,0.77,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.7409539473684211
RRP,0.6,4,SVM,0.77,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.7131304824561403
RRP,0.6,4,DT,0.75,0.48214285714285715,0.5625,0.5192307692307693,0.6858552631578947
RRP,0.6,4,GB,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7569901315789472
RRP,0.6,4,lightGBM,0.79,0.5714285714285714,0.5,0.5333333333333333,0.7294407894736842
RRP,0.8,4,LR,0.765,0.509090909090909,0.5833333333333334,0.5436893203883495,0.7508223684210527
RRP,0.8,4,SVM,0.765,0.5102040816326531,0.5208333333333334,0.5154639175257731,0.7221765350877193
RRP,0.8,4,DT,0.77,0.5185185185185185,0.5833333333333334,0.5490196078431373,0.7061403508771931
RRP,0.8,4,GB,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.7597313596491228
RRP,0.8,4,lightGBM,0.79,0.5681818181818182,0.5208333333333334,0.5434782608695652,0.7493146929824561
RRP,1.0,4,LR,0.755,0.49122807017543857,0.5833333333333334,0.5333333333333333,0.7449972587719298
RRP,1.0,4,SVM,0.775,0.5294117647058824,0.5625,0.5454545454545454,0.7220394736842104
RRP,1.0,4,DT,0.76,0.5,0.5,0.5,0.6710526315789473
RRP,1.0,4,GB,0.77,0.5217391304347826,0.5,0.5106382978723404,0.7664473684210525
RRP,1.0,4,lightGBM,0.78,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.7598684210526316
RRP,0.2,95,LR,0.775,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.7455455043859648
RRP,0.2,95,SVM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7102521929824562
RRP,0.2,95,DT,0.76,0.5,0.5416666666666666,0.52,0.6853070175438596
RRP,0.2,95,GB,0.785,0.5609756097560976,0.4791666666666667,0.5168539325842697,0.7484923245614035
RRP,0.2,95,lightGBM,0.78,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.7338267543859649
RRP,0.4,95,LR,0.76,0.5,0.5,0.5,0.73828125
RRP,0.4,95,SVM,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7162828947368421
RRP,0.4,95,DT,0.755,0.49056603773584906,0.5416666666666666,0.5148514851485149,0.6820175438596492
RRP,0.4,95,GB,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7532894736842105
RRP,0.4,95,lightGBM,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7510964912280701
RRP,0.6,95,LR,0.76,0.5,0.5625,0.5294117647058824,0.7414336622807016
RRP,0.6,95,SVM,0.77,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.7231359649122807
RRP,0.6,95,DT,0.745,0.47368421052631576,0.5625,0.5142857142857142,0.6825657894736842
RRP,0.6,95,GB,0.775,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.7538377192982456
RRP,0.6,95,lightGBM,0.795,0.5813953488372093,0.5208333333333334,0.5494505494505495,0.7478070175438597
