algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7316337719298246
gaussian_copula,0.2,82,SVM,0.765,0.5121951219512195,0.4375,0.47191011235955055,0.6907894736842105
gaussian_copula,0.2,82,DT,0.79,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.7050438596491228
gaussian_copula,0.2,82,GB,0.79,0.5714285714285714,0.5,0.5333333333333333,0.7515762061403508
gaussian_copula,0.2,82,lightGBM,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7345120614035088
gaussian_copula,0.4,82,LR,0.765,0.5111111111111111,0.4791666666666667,0.4946236559139785,0.7287554824561403
gaussian_copula,0.4,82,SVM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.6848958333333333
gaussian_copula,0.4,82,DT,0.805,0.5918367346938775,0.6041666666666666,0.5979381443298969,0.7362938596491228
gaussian_copula,0.4,82,GB,0.785,0.5581395348837209,0.5,0.5274725274725275,0.7294407894736842
gaussian_copula,0.4,82,lightGBM,0.785,0.5581395348837209,0.5,0.5274725274725275,0.7213541666666666
gaussian_copula,0.6,82,LR,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7197094298245613
gaussian_copula,0.6,82,SVM,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.678453947368421
gaussian_copula,0.6,82,DT,0.755,0.4909090909090909,0.5625,0.5242718446601942,0.6891447368421053
gaussian_copula,0.6,82,GB,0.79,0.5714285714285714,0.5,0.5333333333333333,0.7264254385964912
gaussian_copula,0.6,82,lightGBM,0.78,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.7276589912280701
gaussian_copula,0.8,82,LR,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7225877192982456
gaussian_copula,0.8,82,SVM,0.76,0.5,0.4583333333333333,0.4782608695652174,0.6787280701754385
gaussian_copula,0.8,82,DT,0.785,0.5510204081632653,0.5625,0.5567010309278351,0.7088815789473685
gaussian_copula,0.8,82,GB,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7238898026315789
gaussian_copula,0.8,82,lightGBM,0.785,0.5581395348837209,0.5,0.5274725274725275,0.7421875
gaussian_copula,1.0,82,LR,0.77,0.5227272727272727,0.4791666666666667,0.5,0.7225877192982456
