algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_oversampling,0.2,82,LR,0.85,0.7333333333333333,0.5,0.5945945945945945,0.8317307692307693
random_oversampling,0.2,82,SVM,0.84,0.75,0.4090909090909091,0.5294117647058824,0.8036130536130536
random_oversampling,0.2,82,DT,0.815,0.5897435897435898,0.5227272727272727,0.5542168674698795,0.7100815850815851
random_oversampling,0.4,82,LR,0.84,0.6578947368421053,0.5681818181818182,0.6097560975609756,0.8180361305361306
random_oversampling,0.4,82,SVM,0.86,0.7352941176470589,0.5681818181818182,0.641025641025641,0.8117715617715618
random_oversampling,0.4,82,DT,0.815,0.5853658536585366,0.5454545454545454,0.5647058823529411,0.7182400932400932
random_oversampling,0.6,82,LR,0.82,0.5869565217391305,0.6136363636363636,0.6,0.8152680652680653
random_oversampling,0.6,82,SVM,0.82,0.5952380952380952,0.5681818181818182,0.5813953488372093,0.8053613053613053
random_oversampling,0.6,82,DT,0.81,0.575,0.5227272727272727,0.5476190476190476,0.7068764568764568
random_oversampling,0.8,82,LR,0.8,0.54,0.6136363636363636,0.574468085106383,0.814102564102564
random_oversampling,0.8,82,SVM,0.79,0.5208333333333334,0.5681818181818182,0.5434782608695652,0.7938519813519813
random_oversampling,0.8,82,DT,0.79,0.5277777777777778,0.4318181818181818,0.47500000000000003,0.6614219114219114
random_oversampling,1.0,82,LR,0.775,0.49122807017543857,0.6363636363636364,0.5544554455445544,0.8187645687645688
random_oversampling,1.0,82,SVM,0.765,0.4745762711864407,0.6363636363636364,0.5436893203883495,0.7963286713286714
random_oversampling,1.0,82,DT,0.795,0.5384615384615384,0.4772727272727273,0.5060240963855421,0.6809440559440559
random_oversampling,0.2,15,LR,0.795,0.5757575757575758,0.41304347826086957,0.48101265822784817,0.8122529644268776
random_oversampling,0.2,15,SVM,0.805,0.6206896551724138,0.391304347826087,0.48,0.786420101637493
random_oversampling,0.2,15,DT,0.745,0.4358974358974359,0.3695652173913043,0.39999999999999997,0.6133540372670807
random_oversampling,0.4,15,LR,0.8,0.575,0.5,0.5348837209302325,0.8147939017504235
random_oversampling,0.4,15,SVM,0.79,0.5588235294117647,0.41304347826086957,0.475,0.7868435911914172
random_oversampling,0.4,15,DT,0.765,0.4864864864864865,0.391304347826087,0.43373493975903615,0.6339638622247318
random_oversampling,0.6,15,LR,0.785,0.5306122448979592,0.5652173913043478,0.5473684210526316,0.8171936758893281
random_oversampling,0.6,15,SVM,0.795,0.5641025641025641,0.4782608695652174,0.5176470588235293,0.7954545454545454
random_oversampling,0.6,15,DT,0.78,0.53125,0.3695652173913043,0.4358974358974359,0.6360813099943534
random_oversampling,0.8,15,LR,0.76,0.48148148148148145,0.5652173913043478,0.52,0.812111801242236
random_oversampling,0.8,15,SVM,0.785,0.5348837209302325,0.5,0.5168539325842696,0.7898080180688877
random_oversampling,0.8,15,DT,0.79,0.5476190476190477,0.5,0.5227272727272727,0.6883116883116884
random_oversampling,1.0,15,LR,0.76,0.48333333333333334,0.6304347826086957,0.5471698113207547,0.8050536420101637
random_oversampling,1.0,15,SVM,0.765,0.4897959183673469,0.5217391304347826,0.5052631578947369,0.7906549971767364
random_oversampling,1.0,15,DT,0.79,0.55,0.4782608695652174,0.5116279069767442,0.6806888763410501
random_oversampling,0.2,4,LR,0.83,0.625,0.5681818181818182,0.5952380952380952,0.7744755244755245
random_oversampling,0.2,4,SVM,0.855,0.7586206896551724,0.5,0.6027397260273972,0.7970571095571095
random_oversampling,0.2,4,DT,0.775,0.4883720930232558,0.4772727272727273,0.4827586206896552,0.6681235431235432
random_oversampling,0.4,4,LR,0.82,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7736013986013985
