algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_pruning,0.2,82,LR,0.79,0.575,0.4791666666666667,0.5227272727272727,0.7571271929824561
random_pruning,0.2,82,SVM,0.765,0.5128205128205128,0.4166666666666667,0.45977011494252873,0.6995614035087719
random_pruning,0.2,82,DT,0.77,0.525,0.4375,0.4772727272727273,0.65625
random_pruning,0.2,82,GB,0.785,0.5641025641025641,0.4583333333333333,0.5057471264367817,0.7528782894736842
random_pruning,0.2,82,lightGBM,0.775,0.5384615384615384,0.4375,0.4827586206896552,0.7368421052631577
random_pruning,0.4,82,LR,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7593201754385966
random_pruning,0.4,82,SVM,0.785,0.5581395348837209,0.5,0.5274725274725275,0.6965460526315789
random_pruning,0.4,82,DT,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.6951754385964912
random_pruning,0.4,82,GB,0.775,0.5365853658536586,0.4583333333333333,0.4943820224719101,0.765967653508772
random_pruning,0.4,82,lightGBM,0.78,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.7301260964912281
random_pruning,0.6,82,LR,0.79,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.7528782894736843
random_pruning,0.6,82,SVM,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7046326754385964
random_pruning,0.6,82,DT,0.76,0.5,0.6041666666666666,0.5471698113207547,0.706688596491228
random_pruning,0.6,82,GB,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.7496573464912281
random_pruning,0.6,82,lightGBM,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7462993421052632
random_pruning,0.8,82,LR,0.785,0.5510204081632653,0.5625,0.5567010309278351,0.7502741228070176
random_pruning,0.8,82,SVM,0.775,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.7077850877192982
random_pruning,0.8,82,DT,0.725,0.43859649122807015,0.5208333333333334,0.47619047619047616,0.6551535087719299
random_pruning,0.8,82,GB,0.755,0.49019607843137253,0.5208333333333334,0.5050505050505051,0.7311540570175437
random_pruning,0.8,82,lightGBM,0.785,0.5510204081632653,0.5625,0.5567010309278351,0.7424616228070176
random_pruning,1.0,82,LR,0.765,0.509090909090909,0.5833333333333334,0.5436893203883495,0.7546600877192983
random_pruning,1.0,82,SVM,0.755,0.49056603773584906,0.5416666666666666,0.5148514851485149,0.715049342105263
random_pruning,1.0,82,DT,0.665,0.37662337662337664,0.6041666666666666,0.464,0.644188596491228
random_pruning,1.0,82,GB,0.75,0.4827586206896552,0.5833333333333334,0.5283018867924528,0.7391721491228069
random_pruning,1.0,82,lightGBM,0.76,0.5,0.5416666666666666,0.52,0.7410910087719298
random_pruning,0.2,15,LR,0.79,0.575,0.4791666666666667,0.5227272727272727,0.7648026315789473
random_pruning,0.2,15,SVM,0.765,0.5121951219512195,0.4375,0.47191011235955055,0.7091557017543859
random_pruning,0.2,15,DT,0.785,0.5555555555555556,0.5208333333333334,0.5376344086021505,0.6946271929824562
random_pruning,0.2,15,GB,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7419819078947368
random_pruning,0.2,15,lightGBM,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7419133771929824
