algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.785,0.5581395348837209,0.5,0.5274725274725275,0.7610334429824562
smote,0.2,82,SVM,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7177905701754387
smote,0.2,82,DT,0.76,0.5,0.5208333333333334,0.5102040816326531,0.6781798245614036
smote,0.2,82,GB,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7472587719298246
smote,0.2,82,lightGBM,0.795,0.5853658536585366,0.5,0.5393258426966292,0.7572642543859649
smote,0.4,82,LR,0.77,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.7573327850877194
smote,0.4,82,SVM,0.79,0.5681818181818182,0.5208333333333334,0.5434782608695652,0.7208059210526316
smote,0.4,82,DT,0.78,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.6984649122807017
smote,0.4,82,GB,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7502055921052632
smote,0.4,82,lightGBM,0.78,0.55,0.4583333333333333,0.5,0.729577850877193
smote,0.6,82,LR,0.77,0.5192307692307693,0.5625,0.54,0.7587719298245614
smote,0.6,82,SVM,0.79,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.717516447368421
smote,0.6,82,DT,0.8,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.7116228070175438
smote,0.6,82,GB,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7554824561403508
smote,0.6,82,lightGBM,0.775,0.5365853658536586,0.4583333333333333,0.4943820224719101,0.7465734649122808
smote,0.8,82,LR,0.775,0.5283018867924528,0.5833333333333334,0.5544554455445545,0.7606907894736842
smote,0.8,82,SVM,0.785,0.5510204081632653,0.5625,0.5567010309278351,0.7253289473684211
smote,0.8,82,DT,0.76,0.5,0.5208333333333334,0.5102040816326531,0.6781798245614036
smote,0.8,82,GB,0.765,0.5106382978723404,0.5,0.5052631578947369,0.7665844298245613
smote,0.8,82,lightGBM,0.8,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.7571271929824562
smote,1.0,82,LR,0.78,0.5370370370370371,0.6041666666666666,0.5686274509803921,0.7553453947368421
smote,1.0,82,SVM,0.785,0.5490196078431373,0.5833333333333334,0.5656565656565656,0.7203947368421053
smote,1.0,82,DT,0.73,0.44,0.4583333333333333,0.4489795918367347,0.6370614035087718
smote,1.0,82,GB,0.78,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.764391447368421
smote,1.0,82,lightGBM,0.79,0.5681818181818182,0.5208333333333334,0.5434782608695652,0.7545230263157895
smote,0.2,15,LR,0.785,0.5581395348837209,0.5,0.5274725274725275,0.7610334429824562
smote,0.2,15,SVM,0.78,0.5454545454545454,0.5,0.5217391304347826,0.7177905701754387
smote,0.2,15,DT,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.6951754385964912
smote,0.2,15,GB,0.775,0.5348837209302325,0.4791666666666667,0.5054945054945055,0.7468475877192982
smote,0.2,15,lightGBM,0.795,0.5853658536585366,0.5,0.5393258426966292,0.7572642543859649
smote,0.4,15,LR,0.77,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.7573327850877194
smote,0.4,15,SVM,0.79,0.5681818181818182,0.5208333333333334,0.5434782608695652,0.7208059210526316
smote,0.4,15,DT,0.755,0.4897959183673469,0.5,0.4948453608247423,0.667763157894737
smote,0.4,15,GB,0.77,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.7499314692982456
smote,0.4,15,lightGBM,0.78,0.55,0.4583333333333333,0.5,0.729577850877193
smote,0.6,15,LR,0.77,0.5192307692307693,0.5625,0.54,0.7587719298245614
smote,0.6,15,SVM,0.79,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.717516447368421
smote,0.6,15,DT,0.775,0.5306122448979592,0.5416666666666666,0.5360824742268041,0.6951754385964912
smote,0.6,15,GB,0.775,0.5333333333333333,0.5,0.5161290322580645,0.7546600877192982
smote,0.6,15,lightGBM,0.775,0.5365853658536586,0.4583333333333333,0.4943820224719101,0.7465734649122808
smote,0.8,15,LR,0.775,0.5283018867924528,0.5833333333333334,0.5544554455445545,0.7606907894736842
smote,0.8,15,SVM,0.785,0.5510204081632653,0.5625,0.5567010309278351,0.7253289473684211
smote,0.8,15,DT,0.77,0.5192307692307693,0.5625,0.54,0.6990131578947368
smote,0.8,15,GB,0.765,0.5106382978723404,0.5,0.5052631578947369,0.7663103070175438
