algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
No_Sampling,0,82,LR,0.8233333333333334,0.23809523809523808,0.11904761904761904,0.15873015873015875,0.5847176079734219
No_Sampling,0,82,SVM,0.8233333333333334,0.23809523809523808,0.11904761904761904,0.15873015873015875,0.6017903285345145
No_Sampling,0,82,DT,0.8366666666666667,0.36,0.21428571428571427,0.26865671641791045,0.5761351052048727
No_Sampling,0,15,LR,0.82,0.2692307692307692,0.16666666666666666,0.20588235294117643,0.7078257659653008
No_Sampling,0,15,SVM,0.8366666666666667,0.34782608695652173,0.19047619047619047,0.24615384615384614,0.6578073089700996
No_Sampling,0,15,DT,0.8566666666666667,0.4864864864864865,0.42857142857142855,0.4556962025316456,0.6774640088593576
No_Sampling,0,4,LR,0.84,0.125,0.023809523809523808,0.04,0.6247692875599853
No_Sampling,0,4,SVM,0.8533333333333334,0.25,0.023809523809523808,0.04347826086956521,0.6181247692875599
No_Sampling,0,4,DT,0.86,0.5,0.19047619047619047,0.27586206896551724,0.579734219269103
No_Sampling,0,95,LR,0.6,0.18548387096774194,0.5476190476190477,0.27710843373493976,0.6602990033222591
No_Sampling,0,95,SVM,0.6133333333333333,0.20161290322580644,0.5952380952380952,0.3012048192771084,0.6484865263935031
No_Sampling,0,95,DT,0.63,0.21008403361344538,0.5952380952380952,0.3105590062111801,0.6154485049833888
No_Sampling,0,36,LR,0.8233333333333334,0.28,0.16666666666666666,0.20895522388059704,0.7042266519010705
No_Sampling,0,36,SVM,0.8333333333333334,0.3,0.14285714285714285,0.19354838709677416,0.6340900701365817
No_Sampling,0,36,DT,0.83,0.36363636363636365,0.2857142857142857,0.32,0.6021594684385382
No_Sampling,0,32,LR,0.8033333333333333,0.3333333333333333,0.40476190476190477,0.3655913978494623,0.6894610557401254
No_Sampling,0,32,SVM,0.81,0.3076923076923077,0.2857142857142857,0.29629629629629634,0.6773717238833518
No_Sampling,0,32,DT,0.82,0.38461538461538464,0.47619047619047616,0.42553191489361697,0.676079734219269
No_Sampling,0,29,LR,0.7266666666666667,0.25,0.47619047619047616,0.32786885245901637,0.6536544850498338
No_Sampling,0,29,SVM,0.75,0.273972602739726,0.47619047619047616,0.34782608695652173,0.6474713916574381
No_Sampling,0,29,DT,0.7333333333333333,0.2625,0.5,0.34426229508196726,0.6356589147286822
No_Sampling,0,18,LR,0.7533333333333333,0.2647058823529412,0.42857142857142855,0.32727272727272727,0.6386120339608713
No_Sampling,0,18,SVM,0.75,0.22950819672131148,0.3333333333333333,0.2718446601941748,0.6332595053525286
No_Sampling,0,18,DT,0.7466666666666667,0.2638888888888889,0.4523809523809524,0.3333333333333333,0.6234772978959024
No_Sampling,0,14,LR,0.84,0.3125,0.11904761904761904,0.17241379310344826,0.7005352528608342
No_Sampling,0,14,SVM,0.8366666666666667,0.26666666666666666,0.09523809523809523,0.14035087719298245,0.6101882613510522
No_Sampling,0,14,DT,0.85,0.43478260869565216,0.23809523809523808,0.30769230769230765,0.5938538205980066
No_Sampling,0,87,LR,0.7733333333333333,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.7047803617571059
No_Sampling,0,87,SVM,0.7933333333333333,0.3,0.35714285714285715,0.32608695652173914,0.6822628276116649
No_Sampling,0,87,DT,0.75,0.22033898305084745,0.30952380952380953,0.25742574257425743,0.5656146179401994
