algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.8166666666666667,0.21739130434782608,0.11904761904761904,0.15384615384615383,0.598468069398302
gaussian_copula,0.2,82,SVM,0.8233333333333334,0.21052631578947367,0.09523809523809523,0.13114754098360656,0.5542635658914727
gaussian_copula,0.2,82,DT,0.8333333333333334,0.34615384615384615,0.21428571428571427,0.2647058823529412,0.5741971207087485
gaussian_copula,0.4,82,LR,0.82,0.22727272727272727,0.11904761904761904,0.15624999999999997,0.5895164267257291
gaussian_copula,0.4,82,SVM,0.8233333333333334,0.21052631578947367,0.09523809523809523,0.13114754098360656,0.5799187892211148
gaussian_copula,0.4,82,DT,0.8333333333333334,0.34615384615384615,0.21428571428571427,0.2647058823529412,0.5741971207087485
gaussian_copula,0.6,82,LR,0.8133333333333334,0.20833333333333334,0.11904761904761904,0.15151515151515152,0.5888704318936877
gaussian_copula,0.6,82,SVM,0.8233333333333334,0.21052631578947367,0.09523809523809523,0.13114754098360656,0.5733665559246953
gaussian_copula,0.6,82,DT,0.8333333333333334,0.34615384615384615,0.21428571428571427,0.2647058823529412,0.5741971207087485
gaussian_copula,0.8,82,LR,0.8133333333333334,0.20833333333333334,0.11904761904761904,0.15151515151515152,0.5882244370616463
gaussian_copula,0.8,82,SVM,0.8233333333333334,0.21052631578947367,0.09523809523809523,0.13114754098360656,0.5774270948689554
gaussian_copula,0.8,82,DT,0.8333333333333334,0.34615384615384615,0.21428571428571427,0.2647058823529412,0.5741971207087485
gaussian_copula,1.0,82,LR,0.8133333333333334,0.20833333333333334,0.11904761904761904,0.15151515151515152,0.5906238464378
gaussian_copula,1.0,82,SVM,0.8233333333333334,0.21052631578947367,0.09523809523809523,0.13114754098360656,0.5754891103728313
gaussian_copula,1.0,82,DT,0.8333333333333334,0.34615384615384615,0.21428571428571427,0.2647058823529412,0.5741971207087485
gaussian_copula,0.2,15,LR,0.8266666666666667,0.3076923076923077,0.19047619047619047,0.23529411764705882,0.694905869324474
gaussian_copula,0.2,15,SVM,0.83,0.32,0.19047619047619047,0.2388059701492537,0.6490402362495385
gaussian_copula,0.2,15,DT,0.8533333333333334,0.47368421052631576,0.42857142857142855,0.45,0.6755260243632336
gaussian_copula,0.4,15,LR,0.8233333333333334,0.3103448275862069,0.21428571428571427,0.2535211267605634,0.6866002214839425
gaussian_copula,0.4,15,SVM,0.83,0.30434782608695654,0.16666666666666666,0.2153846153846154,0.6305832410483573
gaussian_copula,0.4,15,DT,0.8533333333333334,0.47368421052631576,0.42857142857142855,0.45,0.6755260243632336
gaussian_copula,0.6,15,LR,0.83,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.682078257659653
gaussian_copula,0.6,15,SVM,0.83,0.30434782608695654,0.16666666666666666,0.2153846153846154,0.6225544481358434
gaussian_copula,0.6,15,DT,0.85,0.46153846153846156,0.42857142857142855,0.4444444444444445,0.6735880398671097
gaussian_copula,0.8,15,LR,0.83,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.6769102990033223
gaussian_copula,0.8,15,SVM,0.8333333333333334,0.3181818181818182,0.16666666666666666,0.21874999999999997,0.6204318936877077
gaussian_copula,0.8,15,DT,0.8466666666666667,0.45,0.42857142857142855,0.4390243902439024,0.6716500553709855
gaussian_copula,1.0,15,LR,0.83,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.6715577703949797
