algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.8033333333333333,0.38461538461538464,0.3,0.33707865168539325,0.7836799999999999
smote,0.2,82,SVM,0.83,0.47619047619047616,0.2,0.2816901408450704,0.7420800000000001
smote,0.2,82,DT,0.7833333333333333,0.35294117647058826,0.36,0.3564356435643565,0.614
smote,0.4,82,LR,0.79,0.38181818181818183,0.42,0.4000000000000001,0.78064
smote,0.4,82,SVM,0.7966666666666666,0.3225806451612903,0.2,0.24691358024691357,0.71776
smote,0.4,82,DT,0.7333333333333333,0.23214285714285715,0.26,0.24528301886792453,0.544
smote,0.6,82,LR,0.77,0.3582089552238806,0.48,0.4102564102564103,0.77928
smote,0.6,82,SVM,0.7866666666666666,0.3541666666666667,0.34,0.34693877551020413,0.7112
smote,0.6,82,DT,0.7666666666666667,0.32142857142857145,0.36,0.33962264150943394,0.604
smote,0.8,82,LR,0.7666666666666667,0.3717948717948718,0.58,0.453125,0.77616
smote,0.8,82,SVM,0.7866666666666666,0.36,0.36,0.36,0.7062400000000001
smote,0.8,82,DT,0.7866666666666666,0.390625,0.5,0.43859649122807015,0.672
smote,1.0,82,LR,0.76,0.375,0.66,0.4782608695652173,0.78368
smote,1.0,82,SVM,0.7766666666666666,0.3333333333333333,0.34,0.33663366336633666,0.71472
smote,1.0,82,DT,0.77,0.32075471698113206,0.34,0.3300970873786408,0.598
smote,0.2,15,LR,0.84,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.740530303030303
smote,0.2,15,SVM,0.8833333333333333,0.5294117647058824,0.25,0.33962264150943394,0.7900883838383839
smote,0.2,15,DT,0.8,0.2692307692307692,0.3888888888888889,0.3181818181818182,0.6224747474747475
smote,0.4,15,LR,0.77,0.2537313432835821,0.4722222222222222,0.3300970873786408,0.7384259259259259
smote,0.4,15,SVM,0.84,0.35,0.3888888888888889,0.36842105263157887,0.7913510101010102
smote,0.4,15,DT,0.78,0.25,0.4166666666666667,0.3125,0.6231060606060607
smote,0.6,15,LR,0.7266666666666667,0.21951219512195122,0.5,0.3050847457627119,0.7311658249158248
smote,0.6,15,SVM,0.7933333333333333,0.27586206896551724,0.4444444444444444,0.3404255319148936,0.7707281144781144
smote,0.6,15,DT,0.7766666666666666,0.21818181818181817,0.3333333333333333,0.26373626373626374,0.5852272727272727
smote,0.8,15,LR,0.6966666666666667,0.21052631578947367,0.5555555555555556,0.30534351145038163,0.7367424242424243
smote,0.8,15,SVM,0.7566666666666667,0.2318840579710145,0.4444444444444444,0.30476190476190473,0.7658880471380471
smote,0.8,15,DT,0.7533333333333333,0.1935483870967742,0.3333333333333333,0.24489795918367346,0.5719696969696969
smote,1.0,15,LR,0.6733333333333333,0.20192307692307693,0.5833333333333334,0.3,0.7313762626262627
smote,1.0,15,SVM,0.7433333333333333,0.2191780821917808,0.4444444444444444,0.29357798165137616,0.7497895622895623
smote,1.0,15,DT,0.7666666666666667,0.21666666666666667,0.3611111111111111,0.2708333333333333,0.5915404040404041
smote,0.2,4,LR,0.84,0.46153846153846156,0.4,0.42857142857142855,0.785446623093682
smote,0.2,4,SVM,0.8366666666666667,0.375,0.13333333333333333,0.19672131147540986,0.7792592592592592
smote,0.2,4,DT,0.75,0.25806451612903225,0.35555555555555557,0.29906542056074764,0.5875816993464053
smote,0.4,4,LR,0.8166666666666667,0.4074074074074074,0.4888888888888889,0.4444444444444444,0.7851851851851852
smote,0.4,4,SVM,0.83,0.40625,0.28888888888888886,0.3376623376623376,0.7715904139433551
smote,0.4,4,DT,0.72,0.2328767123287671,0.37777777777777777,0.28813559322033894,0.5790849673202614
smote,0.6,4,LR,0.77,0.34210526315789475,0.5777777777777777,0.4297520661157025,0.7811764705882354
smote,0.6,4,SVM,0.7866666666666666,0.30612244897959184,0.3333333333333333,0.3191489361702127,0.766884531590414
smote,0.6,4,DT,0.7333333333333333,0.2535211267605634,0.4,0.3103448275862069,0.596078431372549
smote,0.8,4,LR,0.73,0.3163265306122449,0.6888888888888889,0.4335664335664336,0.7787363834422657
smote,0.8,4,SVM,0.7766666666666666,0.328125,0.4666666666666667,0.3853211009174312,0.7615686274509804
smote,0.8,4,DT,0.8,0.3684210526315789,0.4666666666666667,0.4117647058823529,0.6627450980392158
smote,1.0,4,LR,0.7133333333333334,0.3119266055045872,0.7555555555555555,0.4415584415584416,0.7772549019607844
smote,1.0,4,SVM,0.7566666666666667,0.3157894736842105,0.5333333333333333,0.39669421487603307,0.7507625272331155
smote,1.0,4,DT,0.7933333333333333,0.36507936507936506,0.5111111111111111,0.4259259259259259,0.677124183006536
smote,0.2,95,LR,0.88,0.4,0.4,0.4000000000000001,0.8103703703703704
smote,0.2,95,SVM,0.9,0.5,0.23333333333333334,0.3181818181818182,0.7890123456790124
smote,0.2,95,DT,0.8033333333333333,0.17777777777777778,0.26666666666666666,0.21333333333333337,0.5648148148148148
