algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
smote,0.2,82,LR,0.9611650485436893,0.0,0.0,0.0,0.7218137254901961
smote,0.2,82,SVM,0.970873786407767,0.0,0.0,0.0,0.5649509803921569
smote,0.2,82,DT,0.9538834951456311,0.058823529411764705,0.25,0.09523809523809523,0.6053921568627451
smote,0.4,82,LR,0.9344660194174758,0.0,0.0,0.0,0.7261029411764706
smote,0.4,82,SVM,0.9611650485436893,0.0,0.0,0.0,0.7769607843137255
smote,0.4,82,DT,0.9514563106796117,0.05555555555555555,0.25,0.0909090909090909,0.6041666666666667
smote,0.6,82,LR,0.8883495145631068,0.022727272727272728,0.25,0.04166666666666667,0.7322303921568627
smote,0.6,82,SVM,0.9320388349514563,0.0,0.0,0.0,0.8223039215686274
smote,0.6,82,DT,0.9538834951456311,0.058823529411764705,0.25,0.09523809523809523,0.6053921568627451
smote,0.8,82,LR,0.8543689320388349,0.017241379310344827,0.25,0.03225806451612903,0.7334558823529411
smote,0.8,82,SVM,0.9101941747572816,0.0,0.0,0.0,0.8247549019607844
smote,0.8,82,DT,0.9466019417475728,0.09090909090909091,0.5,0.15384615384615385,0.7254901960784312
smote,1.0,82,LR,0.8033980582524272,0.024691358024691357,0.5,0.047058823529411764,0.7340686274509804
smote,1.0,82,SVM,0.8762135922330098,0.02040816326530612,0.25,0.037735849056603765,0.829656862745098
smote,1.0,82,DT,0.9441747572815534,0.047619047619047616,0.25,0.08,0.6004901960784313
smote,0.2,15,LR,0.9514563106796117,0.0,0.0,0.0,0.5977011494252873
smote,0.2,15,SVM,0.970873786407767,0.0,0.0,0.0,0.7894088669950738
smote,0.2,15,DT,0.9538834951456311,0.0,0.0,0.0,0.4839901477832512
smote,0.4,15,LR,0.9150485436893204,0.0,0.0,0.0,0.5788177339901477
smote,0.4,15,SVM,0.9271844660194175,0.0,0.0,0.0,0.7742200328407225
smote,0.4,15,DT,0.9296116504854369,0.0,0.0,0.0,0.47167487684729065
smote,0.6,15,LR,0.8859223300970874,0.0,0.0,0.0,0.5812807881773399
smote,0.6,15,SVM,0.912621359223301,0.0,0.0,0.0,0.7528735632183907
smote,0.6,15,DT,0.9563106796116505,0.0,0.0,0.0,0.4852216748768473
smote,0.8,15,LR,0.8567961165048543,0.01818181818181818,0.16666666666666666,0.032786885245901634,0.5738916256157636
smote,0.8,15,SVM,0.9029126213592233,0.0,0.0,0.0,0.7413793103448276
smote,0.8,15,DT,0.9368932038834952,0.0,0.0,0.0,0.4753694581280788
smote,1.0,15,LR,0.8179611650485437,0.014084507042253521,0.16666666666666666,0.025974025974025976,0.5792282430213465
smote,1.0,15,SVM,0.8883495145631068,0.045454545454545456,0.3333333333333333,0.08,0.7393267651888342
smote,1.0,15,DT,0.9441747572815534,0.0,0.0,0.0,0.479064039408867
smote,0.2,4,LR,0.9466019417475728,0.0,0.0,0.0,0.5583774250440916
smote,0.2,4,SVM,0.970873786407767,0.0,0.0,0.0,0.7047619047619047
smote,0.2,4,DT,0.9514563106796117,0.0,0.0,0.0,0.4839506172839506
smote,0.4,4,LR,0.9247572815533981,0.0,0.0,0.0,0.5576719576719578
smote,0.4,4,SVM,0.9587378640776699,0.0,0.0,0.0,0.7305114638447971
smote,0.4,4,DT,0.9611650485436893,0.0,0.0,0.0,0.4888888888888889
smote,0.6,4,LR,0.8786407766990292,0.0,0.0,0.0,0.5375661375661375
smote,0.6,4,SVM,0.9247572815533981,0.038461538461538464,0.14285714285714285,0.060606060606060615,0.7199294532627866
smote,0.6,4,DT,0.9538834951456311,0.0,0.0,0.0,0.48518518518518516
smote,0.8,4,LR,0.8592233009708737,0.05263157894736842,0.42857142857142855,0.09375,0.5305114638447972
smote,0.8,4,SVM,0.9101941747572816,0.058823529411764705,0.2857142857142857,0.0975609756097561,0.7160493827160495
smote,0.8,4,DT,0.9587378640776699,0.0,0.0,0.0,0.4876543209876543
smote,1.0,4,LR,0.8349514563106796,0.04477611940298507,0.42857142857142855,0.08108108108108107,0.5298059964726631
smote,1.0,4,SVM,0.8907766990291263,0.047619047619047616,0.2857142857142857,0.08163265306122448,0.7089947089947091
smote,1.0,4,DT,0.9660194174757282,0.0,0.0,0.0,0.49135802469135803
smote,0.2,95,LR,0.9635922330097088,0.1,0.14285714285714285,0.11764705882352941,0.6402116402116402
