algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.9660194174757282,0.0,0.0,0.0,0.6881127450980391
RRP,0.2,82,SVM,0.9781553398058253,0.0,0.0,0.0,0.5465686274509804
RRP,0.2,82,DT,0.9466019417475728,0.05,0.25,0.08333333333333334,0.6017156862745098
RRP,0.4,82,LR,0.9296116504854369,0.0,0.0,0.0,0.696078431372549
RRP,0.4,82,SVM,0.9587378640776699,0.0,0.0,0.0,0.8002450980392156
RRP,0.4,82,DT,0.9466019417475728,0.05,0.25,0.08333333333333334,0.6017156862745098
RRP,0.6,82,LR,0.8956310679611651,0.024390243902439025,0.25,0.04444444444444444,0.6991421568627452
RRP,0.6,82,SVM,0.9368932038834952,0.0,0.0,0.0,0.8155637254901961
RRP,0.6,82,DT,0.9441747572815534,0.047619047619047616,0.25,0.08,0.6004901960784313
RRP,0.8,82,LR,0.8495145631067961,0.016666666666666666,0.25,0.03125,0.7064950980392157
RRP,0.8,82,SVM,0.8907766990291263,0.023255813953488372,0.25,0.0425531914893617,0.8069852941176472
RRP,0.8,82,DT,0.9320388349514563,0.0,0.0,0.0,0.47058823529411764
RRP,1.0,82,LR,0.8033980582524272,0.024691358024691357,0.5,0.047058823529411764,0.7218137254901961
RRP,1.0,82,SVM,0.8737864077669902,0.038461538461538464,0.5,0.07142857142857144,0.8014705882352942
RRP,1.0,82,DT,0.9587378640776699,0.06666666666666667,0.25,0.10526315789473685,0.6078431372549019
RRP,0.2,15,LR,0.9514563106796117,0.0,0.0,0.0,0.577175697865353
RRP,0.2,15,SVM,0.9733009708737864,0.0,0.0,0.0,0.7602627257799672
RRP,0.2,15,DT,0.9563106796116505,0.0,0.0,0.0,0.4852216748768473
RRP,0.4,15,LR,0.9101941747572816,0.0,0.0,0.0,0.5706075533661741
RRP,0.4,15,SVM,0.9296116504854369,0.0,0.0,0.0,0.7483579638752053
RRP,0.4,15,DT,0.9368932038834952,0.0,0.0,0.0,0.4753694581280788
RRP,0.6,15,LR,0.8762135922330098,0.0,0.0,0.0,0.5866174055829227
RRP,0.6,15,SVM,0.9029126213592233,0.0,0.0,0.0,0.7327586206896551
RRP,0.6,15,DT,0.9514563106796117,0.0,0.0,0.0,0.4827586206896552
RRP,0.8,15,LR,0.8495145631067961,0.017241379310344827,0.16666666666666666,0.03125,0.5788177339901477
RRP,0.8,15,SVM,0.8859223300970874,0.0,0.0,0.0,0.7352216748768472
RRP,0.8,15,DT,0.9466019417475728,0.0,0.0,0.0,0.4802955665024631
RRP,1.0,15,LR,0.8155339805825242,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.5845648604269293
RRP,1.0,15,SVM,0.8446601941747572,0.0,0.0,0.0,0.7241379310344828
RRP,1.0,15,DT,0.941747572815534,0.0,0.0,0.0,0.4778325123152709
RRP,0.2,4,LR,0.9563106796116505,0.0,0.0,0.0,0.5499118165784832
RRP,0.2,4,SVM,0.970873786407767,0.0,0.0,0.0,0.6303350970017636
RRP,0.2,4,DT,0.970873786407767,0.0,0.0,0.0,0.49382716049382713
