algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
RRP,0.2,82,LR,0.9611650485436893,0.0,0.0,0.0,0.6850490196078431
RRP,0.2,82,SVM,0.9781553398058253,0.0,0.0,0.0,0.5600490196078431
RRP,0.2,82,DT,0.9587378640776699,0.0,0.0,0.0,0.4840686274509804
RRP,0.4,82,LR,0.9296116504854369,0.0,0.0,0.0,0.6893382352941176
RRP,0.4,82,SVM,0.9660194174757282,0.0,0.0,0.0,0.8026960784313725
RRP,0.4,82,DT,0.9514563106796117,0.0,0.0,0.0,0.4803921568627451
RRP,0.6,82,LR,0.883495145631068,0.021739130434782608,0.25,0.04,0.6966911764705883
RRP,0.6,82,SVM,0.9368932038834952,0.0,0.0,0.0,0.8082107843137255
RRP,0.6,82,DT,0.9514563106796117,0.05555555555555555,0.25,0.0909090909090909,0.6041666666666667
RRP,0.8,82,LR,0.8446601941747572,0.016129032258064516,0.25,0.030303030303030304,0.6979166666666666
RRP,0.8,82,SVM,0.8786407766990292,0.020833333333333332,0.25,0.038461538461538464,0.7984068627450981
RRP,0.8,82,DT,0.941747572815534,0.0,0.0,0.0,0.47549019607843135
RRP,1.0,82,LR,0.808252427184466,0.02531645569620253,0.5,0.048192771084337345,0.7089460784313726
RRP,1.0,82,SVM,0.8713592233009708,0.0196078431372549,0.25,0.03636363636363636,0.7947303921568628
RRP,1.0,82,DT,0.9466019417475728,0.0,0.0,0.0,0.47794117647058826
RRP,0.2,15,LR,0.9563106796116505,0.0,0.0,0.0,0.5779967159277504
RRP,0.2,15,SVM,0.9660194174757282,0.0,0.0,0.0,0.7783251231527094
RRP,0.2,15,DT,0.941747572815534,0.0,0.0,0.0,0.4778325123152709
RRP,0.4,15,LR,0.912621359223301,0.0,0.0,0.0,0.5751231527093595
RRP,0.4,15,SVM,0.9320388349514563,0.0,0.0,0.0,0.7680623973727422
RRP,0.4,15,DT,0.9563106796116505,0.0,0.0,0.0,0.4852216748768473
RRP,0.6,15,LR,0.8737864077669902,0.0,0.0,0.0,0.5833333333333333
RRP,0.6,15,SVM,0.9077669902912622,0.0,0.0,0.0,0.7491789819376027
RRP,0.6,15,DT,0.9490291262135923,0.0,0.0,0.0,0.4815270935960591
RRP,0.8,15,LR,0.8519417475728155,0.017543859649122806,0.16666666666666666,0.031746031746031744,0.5857963875205254
RRP,0.8,15,SVM,0.883495145631068,0.0,0.0,0.0,0.7454844006568144
RRP,0.8,15,DT,0.9441747572815534,0.0,0.0,0.0,0.479064039408867
RRP,1.0,15,LR,0.8131067961165048,0.0136986301369863,0.16666666666666666,0.02531645569620253,0.5825123152709359
RRP,1.0,15,SVM,0.866504854368932,0.0196078431372549,0.16666666666666666,0.03508771929824561,0.7323481116584565
RRP,1.0,15,DT,0.9441747572815534,0.0,0.0,0.0,0.479064039408867
RRP,0.2,4,LR,0.9563106796116505,0.0,0.0,0.0,0.5809523809523809
RRP,0.2,4,SVM,0.9733009708737864,0.0,0.0,0.0,0.6511463844797177
RRP,0.2,4,DT,0.9611650485436893,0.0,0.0,0.0,0.4888888888888889
RRP,0.4,4,LR,0.9247572815533981,0.0,0.0,0.0,0.563668430335097
RRP,0.4,4,SVM,0.9587378640776699,0.0,0.0,0.0,0.7164021164021163
RRP,0.4,4,DT,0.9563106796116505,0.07692307692307693,0.14285714285714285,0.1,0.5566137566137566
RRP,0.6,4,LR,0.8907766990291263,0.0,0.0,0.0,0.543562610229277
RRP,0.6,4,SVM,0.9320388349514563,0.0,0.0,0.0,0.690299823633157
RRP,0.6,4,DT,0.9563106796116505,0.0,0.0,0.0,0.48641975308641977
RRP,0.8,4,LR,0.8567961165048543,0.03571428571428571,0.2857142857142857,0.06349206349206349,0.5682539682539682
RRP,0.8,4,SVM,0.9004854368932039,0.027777777777777776,0.14285714285714285,0.046511627906976744,0.6864197530864198
RRP,0.8,4,DT,0.9466019417475728,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.5516754850088182
RRP,1.0,4,LR,0.8325242718446602,0.04411764705882353,0.42857142857142855,0.08,0.5552028218694885
RRP,1.0,4,SVM,0.8932038834951457,0.04878048780487805,0.2857142857142857,0.08333333333333334,0.6835978835978836
RRP,1.0,4,DT,0.9466019417475728,0.0,0.0,0.0,0.4814814814814815
RRP,0.2,95,LR,0.9635922330097088,0.1,0.14285714285714285,0.11764705882352941,0.728395061728395
RRP,0.2,95,SVM,0.970873786407767,0.0,0.0,0.0,0.5686067019400353
RRP,0.2,95,DT,0.9611650485436893,0.0,0.0,0.0,0.4888888888888889
RRP,0.4,95,LR,0.9320388349514563,0.043478260869565216,0.14285714285714285,0.06666666666666667,0.7164021164021164
RRP,0.4,95,SVM,0.9466019417475728,0.0,0.0,0.0,0.6194003527336861
RRP,0.4,95,DT,0.9660194174757282,0.0,0.0,0.0,0.49135802469135803
RRP,0.6,95,LR,0.9077669902912622,0.030303030303030304,0.14285714285714285,0.05,0.6955908289241624
RRP,0.6,95,SVM,0.9223300970873787,0.037037037037037035,0.14285714285714285,0.058823529411764705,0.6021164021164022
RRP,0.6,95,DT,0.9563106796116505,0.0,0.0,0.0,0.48641975308641977
RRP,0.8,95,LR,0.8810679611650486,0.0625,0.42857142857142855,0.10909090909090909,0.6987654320987655
RRP,0.8,95,SVM,0.8907766990291263,0.047619047619047616,0.2857142857142857,0.08163265306122448,0.580599647266314
RRP,0.8,95,DT,0.9587378640776699,0.0,0.0,0.0,0.4876543209876543
RRP,1.0,95,LR,0.8228155339805825,0.041666666666666664,0.42857142857142855,0.0759493670886076,0.6962962962962962
RRP,1.0,95,SVM,0.7766990291262136,0.02247191011235955,0.2857142857142857,0.041666666666666664,0.5957671957671957
RRP,1.0,95,DT,0.9660194174757282,0.0,0.0,0.0,0.49135802469135803
RRP,0.2,36,LR,0.9611650485436893,0.0,0.0,0.0,0.4540441176470588
RRP,0.2,36,SVM,0.9660194174757282,0.0,0.0,0.0,0.7377450980392157
RRP,0.2,36,DT,0.9490291262135923,0.0,0.0,0.0,0.4791666666666667
RRP,0.4,36,LR,0.912621359223301,0.0,0.0,0.0,0.4638480392156863
RRP,0.4,36,SVM,0.9174757281553398,0.0,0.0,0.0,0.5600490196078431
RRP,0.4,36,DT,0.9733009708737864,0.0,0.0,0.0,0.49142156862745096
RRP,0.6,36,LR,0.8713592233009708,0.0,0.0,0.0,0.48100490196078427
RRP,0.6,36,SVM,0.8737864077669902,0.0,0.0,0.0,0.5379901960784313
RRP,0.6,36,DT,0.9684466019417476,0.0,0.0,0.0,0.4889705882352941
RRP,0.8,36,LR,0.8179611650485437,0.0,0.0,0.0,0.4742647058823529
RRP,0.8,36,SVM,0.8543689320388349,0.0,0.0,0.0,0.514093137254902
RRP,0.8,36,DT,0.9466019417475728,0.0,0.0,0.0,0.47794117647058826
RRP,1.0,36,LR,0.7669902912621359,0.010638297872340425,0.25,0.02040816326530612,0.47549019607843135
RRP,1.0,36,SVM,0.808252427184466,0.0,0.0,0.0,0.5012254901960784
RRP,1.0,36,DT,0.9538834951456311,0.0,0.0,0.0,0.48161764705882354
RRP,0.2,32,LR,0.9538834951456311,0.0625,0.2,0.09523809523809523,0.6491400491400492
RRP,0.2,32,SVM,0.9781553398058253,0.0,0.0,0.0,0.7174447174447175
RRP,0.2,32,DT,0.9441747572815534,0.0,0.0,0.0,0.47788697788697787
RRP,0.4,32,LR,0.9150485436893204,0.058823529411764705,0.4,0.10256410256410256,0.6638820638820638
RRP,0.4,32,SVM,0.9344660194174758,0.041666666666666664,0.2,0.06896551724137931,0.742014742014742
RRP,0.4,32,DT,0.9393203883495146,0.045454545454545456,0.2,0.07407407407407407,0.5742014742014742
RRP,0.6,32,LR,0.8592233009708737,0.05084745762711865,0.6,0.09375000000000001,0.6732186732186731
RRP,0.6,32,SVM,0.883495145631068,0.0425531914893617,0.4,0.07692307692307691,0.6791154791154791
RRP,0.6,32,DT,0.9320388349514563,0.0,0.0,0.0,0.47174447174447176
RRP,0.8,32,LR,0.8203883495145631,0.04,0.6,0.075,0.6751842751842752
RRP,0.8,32,SVM,0.8592233009708737,0.03508771929824561,0.4,0.06451612903225806,0.6545454545454545
RRP,0.8,32,DT,0.9101941747572816,0.0,0.0,0.0,0.4606879606879607
RRP,1.0,32,LR,0.7839805825242718,0.03333333333333333,0.6,0.06315789473684211,0.6727272727272727
RRP,1.0,32,SVM,0.8131067961165048,0.02631578947368421,0.4,0.04938271604938271,0.6476658476658477
RRP,1.0,32,DT,0.9101941747572816,0.029411764705882353,0.2,0.05128205128205128,0.5594594594594594
RRP,0.2,29,LR,0.970873786407767,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6557319223985889
RRP,0.2,29,SVM,0.9757281553398058,0.0,0.0,0.0,0.7456790123456789
RRP,0.2,29,DT,0.9635922330097088,0.1,0.14285714285714285,0.11764705882352941,0.5603174603174602
RRP,0.4,29,LR,0.9247572815533981,0.038461538461538464,0.14285714285714285,0.060606060606060615,0.6472663139329806
RRP,0.4,29,SVM,0.9393203883495146,0.0,0.0,0.0,0.6804232804232804
RRP,0.4,29,DT,0.9538834951456311,0.0,0.0,0.0,0.48518518518518516
RRP,0.6,29,LR,0.8810679611650486,0.022727272727272728,0.14285714285714285,0.0392156862745098,0.6472663139329806
RRP,0.6,29,SVM,0.9150485436893204,0.03333333333333333,0.14285714285714285,0.05405405405405406,0.6624338624338624
RRP,0.6,29,DT,0.9587378640776699,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.5578483245149912
RRP,0.8,29,LR,0.866504854368932,0.038461538461538464,0.2857142857142857,0.06779661016949154,0.6497354497354497
RRP,0.8,29,SVM,0.9004854368932039,0.027777777777777776,0.14285714285714285,0.046511627906976744,0.6691358024691358
RRP,0.8,29,DT,0.9538834951456311,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.555379188712522
RRP,1.0,29,LR,0.837378640776699,0.03125,0.2857142857142857,0.056338028169014086,0.6335097001763668
RRP,1.0,29,SVM,0.8616504854368932,0.019230769230769232,0.14285714285714285,0.03389830508474577,0.6462081128747795
RRP,1.0,29,DT,0.9441747572815534,0.0,0.0,0.0,0.4802469135802469
RRP,0.2,18,LR,0.9684466019417476,0.125,0.14285714285714285,0.13333333333333333,0.8021164021164021
RRP,0.2,18,SVM,0.9757281553398058,0.0,0.0,0.0,0.4634920634920635
RRP,0.2,18,DT,0.9466019417475728,0.0,0.0,0.0,0.4814814814814815
RRP,0.4,18,LR,0.9174757281553398,0.09090909090909091,0.42857142857142855,0.15000000000000002,0.8112874779541446
RRP,0.4,18,SVM,0.9101941747572816,0.0,0.0,0.0,0.47619047619047616
RRP,0.4,18,DT,0.941747572815534,0.0,0.0,0.0,0.47901234567901235
RRP,0.6,18,LR,0.8519417475728155,0.06451612903225806,0.5714285714285714,0.11594202898550726,0.8042328042328042
RRP,0.6,18,SVM,0.8762135922330098,0.021739130434782608,0.14285714285714285,0.03773584905660378,0.5968253968253968
RRP,0.6,18,DT,0.9660194174757282,0.1111111111111111,0.14285714285714285,0.125,0.5615520282186949
RRP,0.8,18,LR,0.7912621359223301,0.056179775280898875,0.7142857142857143,0.10416666666666666,0.8239858906525572
RRP,0.8,18,SVM,0.8446601941747572,0.0,0.0,0.0,0.5456790123456791
RRP,0.8,18,DT,0.9490291262135923,0.0,0.0,0.0,0.48271604938271606
RRP,1.0,18,LR,0.7014563106796117,0.03968253968253968,0.7142857142857143,0.07518796992481203,0.8081128747795414
RRP,1.0,18,SVM,0.7985436893203883,0.0,0.0,0.0,0.5365079365079365
RRP,1.0,18,DT,0.9441747572815534,0.05555555555555555,0.14285714285714285,0.08,0.5504409171075838
RRP,0.2,14,LR,0.9611650485436893,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.746384479717813
RRP,0.2,14,SVM,0.9587378640776699,0.0,0.0,0.0,0.6525573192239859
RRP,0.2,14,DT,0.9441747572815534,0.0,0.0,0.0,0.4802469135802469
RRP,0.4,14,LR,0.9368932038834952,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.7619047619047619
RRP,0.4,14,SVM,0.9538834951456311,0.0,0.0,0.0,0.6716049382716048
RRP,0.4,14,DT,0.9538834951456311,0.0,0.0,0.0,0.48518518518518516
RRP,0.6,14,LR,0.8907766990291263,0.047619047619047616,0.2857142857142857,0.08163265306122448,0.7679012345679013
RRP,0.6,14,SVM,0.9296116504854369,0.07692307692307693,0.2857142857142857,0.12121212121212123,0.6663139329805996
RRP,0.6,14,DT,0.941747572815534,0.0,0.0,0.0,0.47901234567901235
RRP,0.8,14,LR,0.8616504854368932,0.05357142857142857,0.42857142857142855,0.09523809523809523,0.7682539682539682
RRP,0.8,14,SVM,0.9077669902912622,0.05714285714285714,0.2857142857142857,0.09523809523809522,0.6730158730158731
RRP,0.8,14,DT,0.9611650485436893,0.0,0.0,0.0,0.4888888888888889
RRP,1.0,14,LR,0.8325242718446602,0.04411764705882353,0.42857142857142855,0.08,0.7788359788359789
RRP,1.0,14,SVM,0.9004854368932039,0.05263157894736842,0.2857142857142857,0.08888888888888889,0.6821869488536154
RRP,1.0,14,DT,0.9563106796116505,0.0,0.0,0.0,0.48641975308641977
RRP,0.2,87,LR,0.9757281553398058,0.14285714285714285,0.2,0.16666666666666666,0.7803439803439802
RRP,0.2,87,SVM,0.9854368932038835,0.0,0.0,0.0,0.41081081081081083
RRP,0.2,87,DT,0.970873786407767,0.0,0.0,0.0,0.4914004914004914
RRP,0.4,87,LR,0.9514563106796117,0.058823529411764705,0.2,0.0909090909090909,0.769041769041769
RRP,0.4,87,SVM,0.9563106796116505,0.0,0.0,0.0,0.5729729729729729
RRP,0.4,87,DT,0.970873786407767,0.23076923076923078,0.6,0.33333333333333337,0.7877149877149878
